No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
74,Isaiah Adams,24,OL,15,5,316,6-4,"Wilfrid Laurier , Garden City (KS) , Illinois",7/21/2000,Rook,3,Arizona Cardinals / 3rd / 71st pick / 2024
41,Markus Bailey,27,LB,1,0,235,6-1,Purdue,3/7/1997,4,0,Cincinnati Bengals / 7th / 215th pick / 2020
3,Budda Baker,28,S,17,17,195,5-10,Washington,1/10/1996,7,9,Arizona Cardinals / 2nd / 36th pick / 2017
51,Krys Barnes,26,LB,17,0,229,6-2,UCLA,4/2/1998,4,1,
66,Jackson Barton,29,OL,4,2,302,6-7,Utah,8/8/1995,3,1,Indianapolis Colts / 7th / 240th pick / 2019
68,Kelvin Beachum,35,OL,16,12,308,6-3,SMU,6/8/1989,12,6,Pittsburgh Steelers / 7th / 248th pick / 2012
33,Trey Benson,21,RB,13,1,223,6-1,"Oregon , Florida St.",7/21/2003,Rook,2,Arizona Cardinals / 3rd / 66th pick / 2024
90,Angelo Blackson,32,DL,1,0,318,6-4,Auburn,11/14/1992,9,0,Tennessee Titans / 4th / 100th pick / 2015
32,Joey Blount,26,S,15,0,201,6-1,Virginia,11/16/1998,2,1,
46,Aaron Brewer,34,LS,17,0,232,6-5,San Diego St.,7/5/1990,12,1,
62,Evan Brown,28,OL,17,17,320,6-3,SMU,9/16/1996,5,8,
,Baron Browning,25,OLB,8,1,240,6-3,Ohio St.,2/19/1999,3,1,Denver Broncos / 3rd / 105th pick / 2021
22,Michael Carter,25,RB,3,1,201,5-8,North Carolina,5/7/1999,3,1,New York Jets / 4th / 107th pick / 2021
36,Andre Chachere,28,S,3,0,197,6-0,San Jose St.,2/10/1996,3,0,
13,Kei'Trel Clark,23,CB,15,1,181,5-10,"Liberty , Louisville",3/19/2001,1,1,Arizona Cardinals / 6th / 180th pick / 2023
91,L.J. Collier,29,DL,17,15,291,6-2,TCU,9/12/1995,5,7,Seattle Seahawks / 1st / 29th pick / 2019
25,Zaven Collins,25,OLB,17,17,260,6-4,Tulsa,5/19/1999,3,7,Arizona Cardinals / 1st / 16th pick / 2021
