Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,,Pittsburgh Steelers,10,18,15,226,137,89,3,16,270,133,137,,-13.70,6.25,-2.05
2,Mon,September 16,8:15PM ET,boxscore,W,,1-1,@,Philadelphia Eagles,22,21,22,385,233,152,,22,365,179,186,1,8.72,-7.13,-1.28
3,Sun,September 22,8:20PM ET,boxscore,L,,1-2,,Kansas City Chiefs,17,22,19,311,229,82,1,22,345,217,128,1,2.09,-5.90,1.56
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,,New Orleans Saints,26,24,14,315,227,88,1,25,366,235,131,2,-0.48,-5.66,7.11
5,Thu,October 3,8:15PM ET,boxscore,W,OT,3-2,,Tampa Bay Buccaneers,36,30,28,550,477,73,1,21,333,173,160,1,22.44,-9.87,-5.72
6,Sun,October 13,4:25PM ET,boxscore,W,,4-2,@,Carolina Panthers,38,20,25,423,225,198,1,21,335,221,114,2,12.46,3.27,-0.54
7,Sun,October 20,1:00PM ET,boxscore,L,,4-3,,Seattle Seahawks,14,34,22,369,214,155,3,20,339,236,103,,-0.56,-13.35,-3.91
8,Sun,October 27,1:00PM ET,boxscore,W,,5-3,@,Tampa Bay Buccaneers,31,26,20,394,265,129,,24,432,330,102,3,19.02,-6.89,-8.11
9,Sun,November 3,1:00PM ET,boxscore,W,,6-3,,Dallas Cowboys,27,21,17,310,210,100,1,23,378,241,137,,3.85,-0.36,0.45
10,Sun,November 10,1:00PM ET,boxscore,L,,6-4,@,New Orleans Saints,17,20,25,468,287,181,1,14,365,269,96,,12.88,-3.82,-10.26
11,Sun,November 17,4:05PM ET,boxscore,L,,6-5,@,Denver Broncos,6,38,13,226,176,50,1,22,400,295,105,,-7.97,-22.98,4.61
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,December 1,1:00PM ET,boxscore,L,,6-6,,Los Angeles Chargers,13,17,24,350,234,116,4,10,187,131,56,1,-7.49,12.32,-6.16
14,Sun,December 8,1:00PM ET,boxscore,L,,6-7,@,Minnesota Vikings,21,42,25,496,338,158,3,23,433,318,115,,9.92,-29.04,-1.49
15,Mon,December 16,8:30PM ET,boxscore,W,,7-7,@,Las Vegas Raiders,15,9,14,261,93,168,1,16,249,184,65,3,-6.96,12.24,1.41
16,Sun,December 22,1:00PM ET,boxscore,W,,8-7,,New York Giants,34,7,22,329,202,127,1,14,234,189,45,3,8.36,24.48,-7.50
17,Sun,December 29,8:20PM ET,boxscore,L,OT,8-8,@,Washington Commanders,24,30,23,337,211,126,1,29,412,196,216,1,10.20,-14.05,-2.41
18,Sun,January 5,1:00PM ET,boxscore,L,OT,8-9,,Carolina Panthers,38,44,31,537,310,227,1,25,425,270,155,,26.85,-25.36,-7.75
