Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,@,New Orleans Saints,10,47,11,193,135,58,3,22,379,199,180,1,-17.04,-19.08,0.61
2,Sun,September 15,1:00PM ET,boxscore,L,,0-2,,Los Angeles Chargers,3,26,7,159,69,90,1,21,349,130,219,2,-22.45,-6.70,5.45
3,Sun,September 22,4:05PM ET,boxscore,W,,1-2,@,Las Vegas Raiders,36,22,24,437,306,131,,20,331,276,55,1,15.32,-1.38,-0.97
4,Sun,September 29,1:00PM ET,boxscore,L,,1-3,,Cincinnati Bengals,24,34,24,375,220,155,1,24,373,232,141,1,6.20,-13.19,-0.49
5,Sun,October 6,1:00PM ET,boxscore,L,,1-4,@,Chicago Bears,10,36,14,292,172,120,3,24,424,296,128,,-10.09,-13.90,2.68
6,Sun,October 13,4:25PM ET,boxscore,L,,1-5,,Atlanta Falcons,20,38,21,335,221,114,2,25,423,225,198,1,-3.27,-12.46,0.54
7,Sun,October 20,4:05PM ET,boxscore,L,,1-6,@,Washington Commanders,7,40,10,180,85,95,2,26,421,207,214,,-17.78,-20.00,5.00
8,Sun,October 27,4:25PM ET,boxscore,L,,1-7,@,Denver Broncos,14,28,16,284,215,69,2,23,400,298,102,2,-10.80,-9.09,4.01
9,Sun,November 3,1:00PM ET,boxscore,W,,2-7,,New Orleans Saints,23,22,15,246,166,80,1,25,427,230,197,,3.79,-8.56,3.89
10,Sun,November 10,9:30AM ET,boxscore,W,OT,3-7,,New York Giants,20,17,15,306,118,188,1,24,342,175,167,3,-3.90,2.48,5.27
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 24,1:00PM ET,boxscore,L,,3-8,,Kansas City Chiefs,27,30,21,334,249,85,,27,391,226,165,,12.51,-20.35,2.84
13,Sun,December 1,4:05PM ET,boxscore,L,OT,3-9,,Tampa Bay Buccaneers,23,26,19,367,289,78,1,27,445,209,236,2,1.71,-0.85,-5.13
14,Sun,December 8,1:00PM ET,boxscore,L,,3-10,@,Philadelphia Eagles,16,22,20,302,184,118,1,18,292,83,209,,0.46,-9.76,1.25
15,Sun,December 15,1:00PM ET,boxscore,L,,3-11,,Dallas Cowboys,14,30,16,235,175,60,4,24,410,199,211,1,-5.80,-13.16,-1.21
16,Sun,December 22,1:00PM ET,boxscore,W,OT,4-11,,Arizona Cardinals,36,30,22,392,149,243,,23,382,176,206,2,17.92,-12.40,0.74
17,Sun,December 29,1:00PM ET,boxscore,L,,4-12,@,Tampa Bay Buccaneers,14,48,13,204,165,39,,33,551,349,202,,-1.67,-35.23,2.32
18,Sun,January 5,1:00PM ET,boxscore,W,OT,5-12,@,Atlanta Falcons,44,38,25,425,270,155,,31,537,310,227,1,25.36,-26.85,7.75
