Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,,New England Patriots,10,16,13,224,154,70,2,17,290,120,170,,-3.62,-0.36,-2.22
2,Sun,September 15,4:25PM ET,boxscore,L,,0-2,@,Kansas City Chiefs,25,26,18,320,246,74,1,19,286,137,149,3,0.29,-0.08,-0.99
3,Mon,September 23,8:15PM ET,boxscore,L,,0-3,,Washington Commanders,33,38,30,436,312,124,,22,356,248,108,,27.31,-27.28,-8.79
4,Sun,September 29,1:00PM ET,boxscore,W,,1-3,@,Carolina Panthers,34,24,24,373,232,141,1,24,375,220,155,1,13.19,-6.20,0.49
5,Sun,October 6,1:00PM ET,boxscore,L,OT,1-4,,Baltimore Ravens,38,41,23,442,371,71,1,30,520,345,175,1,19.24,-24.97,2.47
6,Sun,October 13,8:20PM ET,boxscore,W,,2-4,@,New York Giants,17,7,13,304,183,121,1,24,309,190,119,1,-0.57,2.73,8.07
7,Sun,October 20,1:00PM ET,boxscore,W,,3-4,@,Cleveland Browns,21,14,12,223,164,59,,18,336,259,77,2,-10.00,10.33,8.50
8,Sun,October 27,1:00PM ET,boxscore,L,,3-5,,Philadelphia Eagles,17,37,18,280,222,58,2,24,397,236,161,,5.05,-20.95,-3.99
9,Sun,November 3,1:00PM ET,boxscore,W,,4-5,,Las Vegas Raiders,41,24,26,373,243,130,1,16,217,157,60,2,12.75,10.19,-7.06
10,Thu,November 7,8:15PM ET,boxscore,L,,4-6,@,Baltimore Ravens,34,35,27,470,421,49,1,20,389,290,99,,18.28,-18.95,-4.77
11,Sun,November 17,8:20PM ET,boxscore,L,,4-7,@,Los Angeles Chargers,27,34,24,452,342,110,,24,435,280,155,1,14.21,-16.01,-3.71
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,December 1,1:00PM ET,boxscore,L,,4-8,,Pittsburgh Steelers,38,44,25,375,282,93,3,28,520,410,110,1,8.56,-23.17,6.73
14,Mon,December 9,8:15PM ET,boxscore,W,,5-8,@,Dallas Cowboys,27,20,23,433,359,74,1,17,322,166,156,2,10.83,-0.91,-2.06
15,Sun,December 15,1:00PM ET,boxscore,W,,6-8,@,Tennessee Titans,37,27,24,370,269,101,4,25,374,291,83,6,12.25,1.11,-5.63
16,Sun,December 22,1:00PM ET,boxscore,W,,7-8,,Cleveland Browns,24,6,21,326,210,116,1,18,273,125,148,3,6.78,12.37,0.89
17,Sat,December 28,4:30PM ET,boxscore,W,OT,8-8,,Denver Broncos,30,24,34,499,384,115,1,19,329,206,123,1,18.79,-8.06,-4.41
18,Sat,January 4,8:00PM ET,boxscore,W,,9-8,@,Pittsburgh Steelers,19,17,21,314,246,68,2,16,193,119,74,1,-2.49,8.27,-0.72
