Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:25PM ET,boxscore,L,,0-1,,Dallas Cowboys,17,33,15,230,137,93,2,15,265,163,102,,-19.86,5.45,-3.02
2,Sun,September 15,1:00PM ET,boxscore,W,,1-1,@,Jacksonville Jaguars,18,13,17,297,172,125,,18,323,196,127,,0.32,-6.78,8.92
3,Sun,September 22,1:00PM ET,boxscore,L,,1-2,,New York Giants,15,21,16,217,148,69,2,21,340,228,112,2,-17.99,2.96,8.29
4,Sun,September 29,4:25PM ET,boxscore,L,,1-3,@,Las Vegas Raiders,16,20,16,241,149,92,1,17,268,116,152,1,-6.26,4.09,1.12
5,Sun,October 6,1:00PM ET,boxscore,L,,1-4,@,Washington Commanders,13,34,12,212,108,104,1,19,434,219,215,2,-16.08,-12.01,10.61
6,Sun,October 13,1:00PM ET,boxscore,L,,1-5,@,Philadelphia Eagles,16,20,14,244,144,100,,19,372,256,116,,-4.19,-10.40,7.89
7,Sun,October 20,1:00PM ET,boxscore,L,,1-6,,Cincinnati Bengals,14,21,18,336,259,77,2,12,223,164,59,,-10.33,10.00,-8.50
8,Sun,October 27,1:00PM ET,boxscore,W,,2-6,,Baltimore Ravens,29,24,22,401,321,80,1,22,387,263,124,,9.15,-9.18,3.48
9,Sun,November 3,1:00PM ET,boxscore,L,,2-7,,Los Angeles Chargers,10,27,21,292,213,79,3,13,342,246,96,,-16.12,-7.05,2.49
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 17,1:00PM ET,boxscore,L,,2-8,@,New Orleans Saints,14,35,22,443,377,66,,19,473,259,214,2,4.80,-22.72,-3.00
12,Thu,November 21,8:15PM ET,boxscore,W,,3-8,,Pittsburgh Steelers,24,19,17,304,219,85,3,17,368,248,120,1,1.55,1.41,1.69
13,Mon,December 2,8:15PM ET,boxscore,L,,3-9,@,Denver Broncos,32,41,28,552,475,77,3,19,400,294,106,2,-1.27,-9.38,-1.39
14,Sun,December 8,1:00PM ET,boxscore,L,,3-10,@,Pittsburgh Steelers,14,27,20,300,196,104,3,15,267,147,120,1,-8.83,3.82,-12.07
15,Sun,December 15,1:00PM ET,boxscore,L,,3-11,,Kansas City Chiefs,7,21,16,266,127,139,6,18,311,179,132,,-22.38,4.31,0.74
16,Sun,December 22,1:00PM ET,boxscore,L,,3-12,@,Cincinnati Bengals,6,24,18,273,125,148,3,21,326,210,116,1,-12.37,-6.78,-0.89
17,Sun,December 29,4:05PM ET,boxscore,L,,3-13,,Miami Dolphins,3,20,18,276,162,114,2,18,280,206,74,,-23.73,4.50,2.96
18,Sat,January 4,4:30PM ET,boxscore,L,,3-14,@,Baltimore Ravens,10,35,13,230,174,56,2,20,437,217,220,,-17.79,-14.19,4.39
