No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
31,Kris Abrams-Draine,23,CB,5,1,178,5-11,Missouri,10/4/2001,Rook,1,Denver Broncos / 5th / 145th pick / 2024
45,Nate Adkins,25,TE,17,10,252,6-3,"East Tennessee St. , South Carolina",7/9/1999,1,1,
12,Kwon Alexander,30,LB,3,2,227,6-1,LSU,8/3/1994,9,1,Tampa Bay Buccaneers / 4th / 124th pick / 2015
99,Zach Allen,27,DL,16,16,285,6-5,Boston Col.,8/20/1997,5,15,Arizona Cardinals / 3rd / 65th pick / 2019
28,Tyler Badie,24,RB,3,0,197,5-8,Missouri,2/7/2000,2,1,Baltimore Ravens / 6th / 196th pick / 2022
56,Levelle Bailey,24,LB,10,0,225,6-2,Fresno St.,12/4/2000,Rook,1,
55,Cody Barton,28,LB,17,14,237,6-2,Utah,11/13/1996,5,8,Seattle Seahawks / 3rd / 88th pick / 2019
72,Garett Bolles,32,T,17,17,300,6-5,"Snow College (UT) , Utah",5/27/1992,7,7,Denver Broncos / 1st / 20th pick / 2017
15,Nik Bonitto,25,OLB,17,15,240,6-3,Oklahoma,9/26/1999,2,16,Denver Broncos / 2nd / 64th pick / 2022
5,Baron Browning,25,OLB,5,2,240,6-3,Ohio St.,2/19/1999,3,1,Denver Broncos / 3rd / 105th pick / 2021
,Michael Burton,32,FB,17,2,247,6-0,Rutgers,2/1/1992,9,1,Detroit Lions / 5th / 168th pick / 2015
0,Jonathon Cooper,26,OLB,17,17,257,6-4,Ohio St.,1/8/1998,3,9,Denver Broncos / 7th / 239th pick / 2021
73,Frank Crum,24,OT,6,0,315,6-7,Wyoming,5/14/2000,Rook,0,
42,Zach Cunningham,30,LB,7,0,238,6-3,Vanderbilt,12/12/1994,7,1,Houston Texans / 2nd / 57th pick / 2017
9,Riley Dixon,31,P,17,0,221,6-4,Syracuse,8/24/1993,8,4,Denver Broncos / 7th / 228th pick / 2016
80,Greg Dulcich,24,TE,4,3,245,6-4,UCLA,3/26/2000,2,0,Denver Broncos / 3rd / 80th pick / 2022
52,Jonah Elliss,21,OLB,17,0,246,6-2,Utah,4/3/2003,Rook,2,Denver Broncos / 3rd / 76th pick / 2024
23,Audric Estime,21,RB,13,1,227,5-11,Notre Dame,9/6/2003,Rook,2,Denver Broncos / 5th / 147th pick / 2024
71,Cameron Fleming,32,T,1,0,320,6-5,Stanford,9/3/1992,10,0,New England Patriots / 4th / 140th pick / 2014
54,Alex Forsyth,25,C,17,4,312,6-4,Oregon,2/13/1999,1,2,Denver Broncos / 7th / 257th pick / 2023
,Mitchell Fraboni,28,LS,17,0,223,6-2,Arizona St.,10/28/1996,2,1,
16,Troy Franklin,21,WR,16,6,180,6-3,Oregon,2/6/2003,Rook,2,Denver Broncos / 4th / 102nd pick / 2024
98,John Franklin-Myers,28,DL,17,16,288,6-4,S.F. Austin,9/26/1996,6,8,Los Angeles Rams / 4th / 135th pick / 2018
84,Lil'Jordan Humphrey,26,WR,17,7,225,6-4,Texas,4/19/1998,5,3,
94,Jordan Jackson,26,DL,17,0,294,6-4,Air Force,1/30/1998,1,1,New Orleans Saints / 6th / 194th pick / 2022
22,Brandon Jones,26,S,16,15,191,6-0,Texas,4/2/1998,4,6,Miami Dolphins / 3rd / 70th pick / 2020
93,D.J. Jones,29,DT,17,17,305,6-0,"East Mississippi CC , Mississippi",1/19/1995,7,8,San Francisco 49ers / 6th / 198th pick / 2017
26,Devon Key,27,DB,17,2,208,6-0,Western Kentucky,10/28/1997,1,1,
85,Lucas Krull,26,TE,13,2,260,6-6,"Jefferson , Florida , Pittsburgh",7/11/1998,2,1,
6,P.J. Locke,27,S,15,15,202,5-10,Texas,2/12/1997,4,5,
3,Wil Lutz,30,K,17,0,184,5-11,Georgia St.,7/7/1994,8,5,
27,Damarri Mathis,25,CB,10,1,195,5-11,Pittsburgh,4/12/1999,2,1,Denver Broncos / 4th / 115th pick / 2022
30,Tanner McCalister,24,S,3,0,191,5-11,"Oklahoma St. , Ohio St.",1/27/2000,1,0,
69,Mike McGlinchey,30,T,13,13,315,6-8,Notre Dame,8/29/1994,6,6,San Francisco 49ers / 1st / 9th pick / 2018
38,Jaleel McLaughlin,24,RB,16,5,187,5-7,"Notre Dame (OH) , Youngstown St.",9/13/2000,1,4,
29,Ja'Quan McMillian,24,CB,17,9,183,5-10,East Carolina,6/4/2000,2,4,
77,Quinn Meinerz,26,OL,17,17,320,6-3,Wisconsin–Whitewater,11/15/1998,3,11,Denver Broncos / 3rd / 98th pick / 2021
19,Marvin Mims,22,WR,17,2,182,5-11,Oklahoma,3/19/2002,1,5,Denver Broncos / 2nd / 63rd pick / 2023
21,Riley Moss,24,CB,14,14,193,6-0,Iowa,3/3/2000,1,5,Denver Broncos / 3rd / 83rd pick / 2023
10,Bo Nix,24,QB,17,17,217,6-2,"Auburn , Oregon",2/25/2000,Rook,13,Denver Broncos / 1st / 12th pick / 2024
63,Alex Palczewski,25,T,14,3,314,6-6,Illinois,8/3/1999,1,2,
79,Matt Peart,27,T,17,2,318,6-7,Connecticut,6/11/1997,4,2,New York Giants / 3rd / 99th pick / 2020
74,Ben Powers,28,G,17,17,310,6-4,Oklahoma,10/29/1996,5,6,Baltimore Ravens / 4th / 123rd pick / 2019
11,Josh Reynolds,29,WR,5,1,192,6-3,Texas A&M,2/16/1995,7,2,Los Angeles Rams / 4th / 117th pick / 2017
97,Malcolm Roach,26,DT,17,1,290,6-3,Texas,6/9/1998,4,2,
41,Drew Sanders,24,LB,4,0,233,6-5,"Alabama , Arkansas",12/31/2000,1,0,Denver Broncos / 3rd / 67th pick / 2023
49,Alex Singleton,31,LB,3,3,240,6-2,Montana St.,12/7/1993,5,2,
34,JL Skinner,23,S,14,0,220,6-4,Boise St.,4/16/2001,1,1,Denver Broncos / 6th / 183rd pick / 2023
43,Keidron Smith,25,DB,9,0,210,6-2,"Mississippi , Kentucky",11/1/1999,1,0,
1,Tremon Smith,28,CB,17,0,190,6-0,Central Arkansas,7/20/1996,6,1,Kansas City Chiefs / 6th / 196th pick / 2018
8,Jarrett Stidham,28,QB,3,0,215,6-3,"Baylor , Auburn",8/8/1996,5,0,New England Patriots / 4th / 133rd pick / 2019
40,Justin Strnad,28,LB,17,8,235,6-3,Wake Forest,8/21/1996,3,5,Denver Broncos / 5th / 178th pick / 2020
2,Patrick Surtain II,24,CB,16,16,202,6-2,Alabama,4/14/2000,3,15,Denver Broncos / 1st / 9th pick / 2021
14,Courtland Sutton,29,WR,17,13,216,6-4,SMU,10/10/1995,6,10,Denver Broncos / 2nd / 40th pick / 2018
35,Reese Taylor,25,CB,1,0,188,5-9,"Indiana , Purdue",8/27/1999,1,0,
76,Calvin Throckmorton,28,OG,2,0,311,6-5,Oregon,8/16/1996,3,0,
92,Dondrea Tillman,26,OLB,12,0,270,6-3,Indiana (PA),4/30/1998,1,1,
82,Adam Trautman,27,TE,17,14,253,6-5,Dayton,2/5/1997,4,2,New Orleans Saints / 3rd / 105th pick / 2020
96,Eyioma Uwazurike,26,DL,4,0,320,6-6,Iowa St.,5/6/1998,2,0,Denver Broncos / 4th / 116th pick / 2022
17,Devaughn Vele,27,WR,13,7,210,6-5,Utah,12/12/1997,Rook,4,Denver Broncos / 7th / 235th pick / 2024
39,Levi Wallace,29,CB,13,2,179,6-0,Alabama,6/12/1995,6,1,
25,Blake Watson,25,RB,2,0,195,5-9,"Old Dominion , Memphis",10/14/1999,Rook,0,
60,Luke Wattenberg,27,C,13,13,300,6-5,Washington,9/10/1997,2,5,Denver Broncos / 5th / 171st pick / 2022
57,Kristian Welch,26,LB,6,1,240,6-3,Iowa,5/24/1998,4,1,
33,Javonte Williams,24,RB,17,11,220,5-10,North Carolina,4/25/2000,3,6,Denver Broncos / 2nd / 35th pick / 2021
