No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
25,Jamal Adams,29,DB,2,2,213,6-1,LSU,10/17/1995,7,1,New York Jets / 1st / 6th pick / 2017
,Myles Adams,26,DL,4,0,290,6-2,Rice,3/9/1998,3,0,
50,Mitchell Agude,25,LB,4,0,245,6-4,"Riverside CC , UCLA , Miami (FL)",3/10/1999,1,0,
,Kwon Alexander,30,LB,2,2,227,6-1,LSU,8/3/1994,9,1,Tampa Bay Buccaneers / 4th / 124th pick / 2015
1,Maurice Alexander,27,WR,3,0,174,5-11,Florida International,1/10/1997,2,0,
34,Alex Anzalone,30,LB,10,10,238,6-3,Florida,9/22/1994,7,5,New Orleans Saints / 3rd / 76th pick / 2017
0,Terrion Arnold,21,CB,16,15,199,6-0,Alabama,3/22/2003,Rook,5,Detroit Lions / 1st / 24th pick / 2024
74,Kayode Awosika,26,G,11,2,315,6-3,Buffalo,10/27/1998,3,2,
55,Derrick Barnes,25,LB,3,3,240,6-0,Purdue,5/29/1999,3,1,Detroit Lions / 4th / 113th pick / 2021
39,Jake Bates,25,K,17,0,202,5-10,"Texas St. , Arkansas",3/3/1999,1,4,
48,Abraham Beauplan,24,LB,3,0,235,6-2,"Navarro , Marshall",2/3/2000,1,0,
32,Brian Branch,23,DB,16,16,203,6-0,Alabama,10/22/2001,1,8,Detroit Lions / 2nd / 45th pick / 2023
12,Teddy Bridgewater,32,QB,0,0,212,6-2,Louisville,11/10/1992,10,0,Minnesota Vikings / 1st / 32nd pick / 2014
46,Jack Campbell,24,LB,17,17,243,6-5,Iowa,8/22/2000,1,8,Detroit Lions / 1st / 18th pick / 2023
92,Marcus Davenport,28,DL,2,1,265,6-6,Texas-San Antonio,9/4/1996,6,1,New Orleans Saints / 1st / 14th pick / 2018
23,Carlton Davis,28,CB,13,13,206,6-1,Auburn,12/31/1996,6,5,Tampa Bay Buccaneers / 2nd / 63rd pick / 2018
68,Taylor Decker,31,T,14,14,318,6-7,Ohio St.,8/23/1993,8,10,Detroit Lions / 1st / 16th pick / 2016
30,Khalil Dorsey,26,CB,14,1,185,5-8,Northern Arizona,3/31/1998,4,1,
3,Jack Fox,28,P,17,0,218,6-2,Rice,9/1/1996,4,3,
