No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
8,Ameer Abdullah,31,RB,16,3,203,5-9,Nebraska,6/13/1993,9,4,Detroit Lions / 2nd / 54th pick / 2015
17,Davante Adams,32,WR,3,3,215,6-1,Fresno St.,12/24/1992,10,2,Green Bay Packers / 2nd / 53rd pick / 2014
,Alex Bachman,28,WR,6,1,190,6-0,Wake Forest,5/29/1996,4,0,
0,Jakorian Bennett,24,CB,10,7,195,5-11,"Hutchinson (KS) , Maryland",8/23/2000,1,3,Las Vegas Raiders / 4th / 104th pick / 2023
50,Jacob Bobenmoyer,27,LS,17,0,235,6-2,Northern Colorado,5/28/1997,4,1,
89,Brock Bowers,22,TE,17,16,230,6-4,Georgia,12/13/2002,Rook,9,Las Vegas Raiders / 1st / 13th pick / 2024
84,Harrison Bryant,26,TE,13,3,230,6-5,Florida Atlantic,4/23/1998,4,1,Cleveland Browns / 4th / 115th pick / 2020
56,Amari Burney,24,LB,17,0,228,6-2,Florida,6/12/2000,1,1,Las Vegas Raiders / 6th / 203rd pick / 2023
69,Adam Butler,30,DT,17,16,300,6-5,Vanderbilt,4/12/1994,7,7,
91,Matthew Butler,25,DT,7,1,290,6-3,Tennessee,6/10/1999,2,1,Las Vegas Raiders / 5th / 175th pick / 2022
2,Daniel Carlson,29,K,17,0,215,6-5,Auburn,1/23/1995,6,3,Minnesota Vikings / 5th / 167th pick / 2018
99,Andre Carter II,24,DE,3,0,256,6-6,Army,6/2/2000,1,0,
93,Zachary Carter,25,DT,8,0,290,6-4,Florida,4/7/1999,2,1,Cincinnati Bengals / 3rd / 95th pick / 2022
44,K'Lavon Chaisson,25,DE,15,4,254,6-3,LSU,7/25/1999,4,3,Jacksonville Jaguars / 1st / 20th pick / 2020
6,AJ Cole III,29,P,17,0,220,6-4,North Carolina St.,11/27/1995,5,4,
33,Chris Collier,24,RB,3,0,210,5-11,"Nassau CC , Wagner , Lock Haven",3/24/2000,Rook,0,
98,Maxx Crosby,27,DE,12,12,255,6-5,Eastern Michigan,8/22/1997,5,9,Oakland Raiders / 4th / 106th pick / 2019
5,Divine Deablo,26,LB,14,14,223,6-3,Virginia Tech,8/17/1998,3,6,Las Vegas Raiders / 3rd / 80th pick / 2021
45,Tommy Eichenberg,23,LB,14,1,239,6-2,Ohio St.,1/11/2001,Rook,1,Las Vegas Raiders / 5th / 148th pick / 2024
1,Marcus Epps,28,S,3,3,191,6-0,Wyoming,1/27/1996,5,1,Minnesota Vikings / 6th / 191st pick / 2019
53,Amari Gainer,24,LB,17,0,236,6-3,"Florida St. , North Carolina",6/22/2000,Rook,1,
71,Delmar Glaze,22,OT,17,14,323,6-4,Maryland,8/4/2002,Rook,5,Las Vegas Raiders / 3rd / 77th pick / 2024
34,Thomas Harper,24,S,15,5,195,5-10,"Oklahoma St. , Notre Dame",11/5/2000,Rook,3,
