Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:05PM ET,boxscore,W,,1-0,,Las Vegas Raiders,22,10,11,316,140,176,,14,296,225,71,3,-5.13,14.87,-0.65
2,Sun,September 15,1:00PM ET,boxscore,W,,2-0,@,Carolina Panthers,26,3,21,349,130,219,2,7,159,69,90,1,6.70,22.45,-5.45
3,Sun,September 22,1:00PM ET,boxscore,L,,2-1,@,Pittsburgh Steelers,10,20,10,166,105,61,,20,346,232,114,1,-6.58,-10.48,4.19
4,Sun,September 29,4:25PM ET,boxscore,L,,2-2,,Kansas City Chiefs,10,17,12,224,169,55,,16,329,228,101,2,-10.62,4.00,-0.87
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 13,4:05PM ET,boxscore,W,,3-2,@,Denver Broncos,23,16,22,350,222,128,,17,316,206,110,2,8.10,0.86,-0.01
7,Mon,October 21,9:00PM ET,boxscore,L,,3-3,@,Arizona Cardinals,15,17,20,395,336,59,2,22,326,145,181,1,3.92,-9.33,3.41
8,Sun,October 27,4:05PM ET,boxscore,W,,4-3,,New Orleans Saints,26,8,19,378,256,122,,15,366,249,117,,8.93,4.86,-1.06
9,Sun,November 3,1:00PM ET,boxscore,W,,5-3,@,Cleveland Browns,27,10,13,342,246,96,,21,292,213,79,3,7.05,16.12,-2.49
10,Sun,November 10,4:05PM ET,boxscore,W,,6-3,,Tennessee Titans,27,17,23,309,164,145,,19,289,157,132,,14.29,-7.48,0.84
11,Sun,November 17,8:20PM ET,boxscore,W,,7-3,,Cincinnati Bengals,34,27,24,435,280,155,1,24,452,342,110,,16.01,-14.21,3.71
12,Mon,November 25,8:15PM ET,boxscore,L,,7-4,,Baltimore Ravens,23,30,19,285,202,83,,19,389,177,212,,8.34,-17.12,1.62
13,Sun,December 1,1:00PM ET,boxscore,W,,8-4,@,Atlanta Falcons,17,13,10,187,131,56,1,24,350,234,116,4,-12.32,7.49,6.16
14,Sun,December 8,8:20PM ET,boxscore,L,,8-5,@,Kansas City Chiefs,17,19,20,288,194,94,,20,298,202,96,,10.64,-4.46,-5.79
15,Sun,December 15,4:25PM ET,boxscore,L,,8-6,,Tampa Bay Buccaneers,17,40,14,206,174,32,2,24,506,283,223,2,-7.54,-19.94,0.61
16,Thu,December 19,8:15PM ET,boxscore,W,,9-6,,Denver Broncos,34,27,23,380,263,117,1,22,355,245,110,,17.32,-12.91,1.66
17,Sat,December 28,1:00PM ET,boxscore,W,,10-6,@,New England Patriots,40,7,29,428,281,147,,11,181,85,96,1,24.19,14.04,-10.62
18,Sun,January 5,4:25PM ET,boxscore,W,,11-6,@,Las Vegas Raiders,34,20,26,473,336,137,,16,264,225,39,1,21.79,-0.48,-6.53
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
19,Sat,January 11,4:30PM ET,boxscore,L,,11-7,@,Houston Texans,12,32,15,261,211,50,4,20,429,261,168,3,-21.81,-0.59,6.04
