No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
3,Jordan Addison,22,WR,15,15,175,5-11,"Pittsburgh , USC",1/27/2002,1,8,Minnesota Vikings / 1st / 23rd pick / 2023
,Cam Akers,25,RB,12,0,217,5-10,Florida St.,6/22/1999,4,2,Los Angeles Rams / 2nd / 52nd pick / 2020
2,Brian Asamoah,24,LB,17,0,226,6-0,Oklahoma,3/29/2000,2,1,Minnesota Vikings / 3rd / 66th pick / 2022
56,Garrett Bradbury,29,C,17,17,300,6-3,North Carolina St.,6/20/1995,5,7,Minnesota Vikings / 1st / 18th pick / 2019
64,Blake Brandel,27,G,17,17,315,6-7,Oregon St.,1/23/1997,3,7,Minnesota Vikings / 6th / 203rd pick / 2020
90,Jonathan Bullard,31,DL,17,17,290,6-3,Florida,10/22/1993,8,8,Chicago Bears / 3rd / 72nd pick / 2016
24,Camryn Bynum,26,S,17,17,200,6-0,California,7/19/1998,3,7,Minnesota Vikings / 4th / 125th pick / 2021
51,Blake Cashman,28,LB,14,14,235,6-1,Minnesota,5/10/1996,5,7,New York Jets / 5th / 157th pick / 2019
32,Ty Chandler,26,RB,17,0,204,5-11,"Tennessee , North Carolina",5/12/1998,2,2,Minnesota Vikings / 5th / 169th pick / 2022
14,Sam Darnold,27,QB,17,17,225,6-3,USC,6/5/1997,6,14,New York Jets / 1st / 3rd pick / 2018
71,Christian Darrisaw,25,T,7,7,315,6-5,Virginia Tech,6/2/1999,3,4,Minnesota Vikings / 1st / 23rd pick / 2021
57,Jamin Davis,26,LB,4,0,234,6-3,Kentucky,12/12/1998,3,0,Washington Football Team / 1st / 19th pick / 2021
42,Andrew DePaola,37,LS,13,0,229,6-1,Rutgers,7/28/1987,10,2,
21,Akayleb Evans,25,CB,7,0,198,6-2,"Tulsa , Missouri",6/22/1999,2,0,Minnesota Vikings / 4th / 118th pick / 2022
69,Dan Feeney,30,C,8,0,305,6-4,Indiana,5/29/1994,7,1,Los Angeles Chargers / 3rd / 71st pick / 2017
37,Myles Gaskin,27,RB,5,0,199,5-10,Washington,2/15/1997,5,0,Miami Dolphins / 7th / 234th pick / 2019
2,Stephon Gilmore,34,CB,15,15,190,6-0,South Carolina,9/19/1990,12,6,Buffalo Bills / 1st / 10th pick / 2012
58,Jonathan Greenard,27,OLB,17,17,259,6-3,"Louisville , Florida",5/25/1997,4,12,Houston Texans / 3rd / 90th pick / 2020
1,Shaquill Griffin,29,CB,17,3,198,6-0,Central Florida,7/20/1995,7,2,Seattle Seahawks / 3rd / 90th pick / 2017
54,Kamu Grugier-Hill,30,LB,17,1,230,6-2,Eastern Illinois,5/16/1994,8,2,New England Patriots / 6th / 208th pick / 2016
30,C.J. Ham,31,FB,17,3,250,5-11,Augustana (SD),7/22/1993,7,0,
87,T.J. Hockenson,27,TE,10,9,248,6-5,Iowa,7/3/1997,5,4,Detroit Lions / 1st / 8th pick / 2019
67,Ed Ingram,25,G,16,9,307,6-3,LSU,2/11/1999,2,4,Minnesota Vikings / 2nd / 59th pick / 2022
25,Theo Jackson,26,S,17,0,198,6-1,Tennessee,10/2/1998,2,1,Tennessee Titans / 6th / 204th pick / 2022
8,Trishton Jackson,26,WR,2,0,191,6-1,"Michigan St. , Syracuse",3/9/1998,1,0,
18,Justin Jefferson,25,WR,17,17,195,6-1,LSU,6/16/1999,4,14,Minnesota Vikings / 1st / 22nd pick / 2020
33,Aaron Jones,30,RB,17,17,208,5-9,Texas-El Paso,12/2/1994,7,11,Green Bay Packers / 5th / 182nd pick / 2017
91,Patrick Jones II,26,OLB,15,1,264,6-4,Pittsburgh,9/29/1998,3,2,Minnesota Vikings / 3rd / 90th pick / 2021
65,Michael Jurgens,24,G,3,0,311,6-5,Wake Forest,1/1/2000,Rook,0,Minnesota Vikings / 7th / 230th pick / 2024
28,Bobby McCain,31,S,3,0,196,5-9,Memphis,8/18/1993,9,0,Miami Dolphins / 5th / 145th pick / 2015
29,Dwight McGlothern,22,CB,5,0,185,6-2,"LSU , Arkansas",2/6/2002,Rook,0,
47,Jake McQuaide,37,LS,4,0,247,6-2,Ohio St.,12/7/1987,13,0,
44,Josh Metellus,26,S,17,10,207,5-11,Michigan,1/21/1998,4,4,Minnesota Vikings / 6th / 205th pick / 2020
23,Fabian Moreau,30,CB,7,0,204,6-0,UCLA,4/9/1994,7,0,Washington Redskins / 3rd / 81st pick / 2017
12,Nick Mullens,29,QB,4,0,210,6-0,Southern Miss,3/21/1995,6,0,
86,Johnny Mundt,30,TE,17,3,233,6-4,Oregon,11/23/1994,7,1,
7,Byron Murphy,26,CB,17,17,190,5-11,Washington,1/18/1998,5,11,Arizona Cardinals / 2nd / 33rd pick / 2019
,Gabriel Murphy,24,OLB,2,0,247,6-2,"North Texas , UCLA",10/13/2000,Rook,0,
34,Nick Muse,26,TE,4,0,252,6-5,"William & Mary , South Carolina",11/25/1998,2,0,Minnesota Vikings / 7th / 227th pick / 2022
83,Jalen Nailor,25,WR,17,7,190,6-0,Michigan St.,3/2/1999,2,4,Minnesota Vikings / 6th / 191st pick / 2022
75,Brian O'Neill,29,T,17,17,310,6-7,Pittsburgh,9/15/1995,6,12,Minnesota Vikings / 2nd / 62nd pick / 2018
84,Josh Oliver,27,TE,15,12,259,6-5,San Jose St.,3/21/1997,5,2,Jacksonville Jaguars / 3rd / 69th pick / 2019
0,Ivan Pace,24,LB,11,10,231,5-10,"Miami (OH) , Cincinnati",12/16/2000,1,6,
97,Harrison Phillips,28,DL,17,17,307,6-3,Stanford,1/25/1996,6,8,Buffalo Bills / 3rd / 96th pick / 2018
4,Brandon Powell,29,WR,17,1,181,5-8,Florida,9/12/1995,6,1,
76,David Quessenberry,34,T,17,0,310,6-5,San Jose St.,8/24/1990,7,1,Houston Texans / 6th / 176th pick / 2013
61,Jalen Redmond,25,DL,13,2,291,6-2,Oklahoma,3/12/1999,1,2,
16,Will Reichard,23,K,13,0,187,6-1,Alabama,1/9/2001,Rook,2,Minnesota Vikings / 6th / 203rd pick / 2024
98,Bo Richter,24,OLB,14,0,248,6-1,Air Force,8/13/2000,Rook,1,
66,Dalton Risner,29,G,10,8,312,6-5,Kansas St.,7/13/1995,5,4,Denver Broncos / 2nd / 41st pick / 2019
,Cam Robinson,29,OT,10,10,335,6-6,Alabama,10/9/1995,7,5,Jacksonville Jaguars / 2nd / 34th pick / 2017
50,Levi Drake Rodriguez,24,DL,2,0,306,6-2,"Southwestern Assemblies of God , Texas A&M-Commerce",8/4/2000,Rook,0,Minnesota Vikings / 7th / 232nd pick / 2024
,John Parker Romo,27,K,4,0,188,5-11,"Central Arkansas , Tulsa , Virginia Tech",8/27/1997,1,1,
78,Walter Rouse,23,T,1,0,313,6-6,"Stanford , Oklahoma",3/9/2001,Rook,0,Minnesota Vikings / 6th / 177th pick / 2024
11,Trent Sherfield,28,WR,17,1,206,6-1,Vanderbilt,2/25/1996,6,1,
22,Harrison Smith,35,S,16,16,211,6-2,Notre Dame,2/2/1989,12,7,Minnesota Vikings / 1st / 29th pick / 2012
94,Taki Taimani,25,DL,7,0,309,6-1,"Washington , Oregon",10/6/1999,Rook,1,
99,Jerry Tillery,28,DL,17,11,295,6-6,Notre Dame,10/8/1996,5,6,Los Angeles Chargers / 1st / 28th pick / 2019
,Robert Tonyan,30,TE,5,0,240,6-5,Indiana St.,4/30/1994,6,0,
15,Dallas Turner,21,OLB,16,0,247,6-3,Alabama,2/2/2003,Rook,2,Minnesota Vikings / 1st / 17th pick / 2024
43,Andrew Van Ginkel,29,OLB,17,17,242,6-4,Wisconsin,7/1/1995,5,16,Miami Dolphins / 5th / 151st pick / 2019
20,Jay Ward,24,S,16,0,188,6-1,LSU,7/13/2000,1,1,Minnesota Vikings / 4th / 134th pick / 2023
52,Jihad Ward,30,OLB,17,2,285,6-5,Illinois,5/11/1994,8,2,Oakland Raiders / 2nd / 44th pick / 2016
92,Jonah Williams,29,DL,1,0,275,6-5,Weber St.,8/17/1995,3,0,
25,Nahshon Wright,26,CB,1,0,200,6-4,"Laney , Oregon St.",9/23/1998,3,0,Dallas Cowboys / 3rd / 99th pick / 2021
17,Ryan Wright,24,P,17,0,245,6-3,Tulane,6/1/2000,2,2,
