Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,,Minnesota Vikings,6,28,14,240,166,74,2,17,312,201,111,2,-21.12,-8.23,7.83
2,Sun,September 15,1:00PM ET,boxscore,L,,0-2,@,Washington Commanders,18,21,18,304,175,129,1,22,425,210,215,,6.93,-11.88,-0.31
3,Sun,September 22,1:00PM ET,boxscore,W,,1-2,@,Cleveland Browns,21,15,21,340,228,112,2,16,217,148,69,2,-2.96,17.99,-8.29
4,Thu,September 26,8:15PM ET,boxscore,L,,1-3,,Dallas Cowboys,15,20,16,303,277,26,1,14,293,213,80,,-0.76,-5.38,2.25
5,Sun,October 6,4:25PM ET,boxscore,W,,2-3,@,Seattle Seahawks,29,20,24,420,245,175,1,17,333,231,102,1,-1.17,5.39,7.07
6,Sun,October 13,8:20PM ET,boxscore,L,,2-4,,Cincinnati Bengals,7,17,24,309,190,119,1,13,304,183,121,1,-2.73,0.57,-8.07
7,Sun,October 20,1:00PM ET,boxscore,L,,2-5,,Philadelphia Eagles,3,28,10,119,43,76,,20,339,70,269,,-19.97,-6.49,2.06
8,Mon,October 28,8:15PM ET,boxscore,L,,2-6,@,Pittsburgh Steelers,18,26,17,394,237,157,2,20,426,259,167,1,-3.87,-6.78,0.04
9,Sun,November 3,1:00PM ET,boxscore,L,,2-7,,Washington Commanders,22,27,25,326,162,164,1,21,358,209,149,,10.44,-18.49,-0.72
10,Sun,November 10,9:30AM ET,boxscore,L,OT,2-8,@,Carolina Panthers,17,20,24,342,175,167,3,15,306,118,188,1,-2.48,3.90,-5.27
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 24,1:00PM ET,boxscore,L,,2-9,,Tampa Bay Buccaneers,7,30,17,245,169,76,1,24,451,294,157,1,-7.28,-19.82,7.47
13,Thu,November 28,4:30PM ET,boxscore,L,,2-10,@,Dallas Cowboys,20,27,17,247,131,116,2,21,317,195,122,,-12.90,-3.74,9.17
14,Sun,December 8,1:00PM ET,boxscore,L,,2-11,,New Orleans Saints,11,14,16,325,213,112,1,18,292,200,92,1,-10.58,2.53,1.93
15,Sun,December 15,1:00PM ET,boxscore,L,,2-12,,Baltimore Ravens,14,35,19,236,181,55,1,25,445,275,170,1,2.16,-25.89,-2.10
16,Sun,December 22,1:00PM ET,boxscore,L,,2-13,@,Atlanta Falcons,7,34,14,234,189,45,3,22,329,202,127,1,-24.48,-8.36,7.50
17,Sun,December 29,1:00PM ET,boxscore,W,,3-13,,Indianapolis Colts,45,33,15,389,309,80,,25,446,320,126,3,14.78,-10.15,10.37
18,Sun,January 5,1:00PM ET,boxscore,L,,3-14,@,Philadelphia Eagles,13,20,10,238,138,100,1,21,303,252,51,,-6.93,-2.77,2.71
