Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 9,8:15PM ET,boxscore,L,,0-1,@,San Francisco 49ers,19,32,14,266,198,68,2,24,401,221,180,,-2.83,-11.24,-0.93
2,Sun,September 15,1:00PM ET,boxscore,W,,1-1,@,Tennessee Titans,24,17,16,265,164,101,,20,300,170,130,2,5.83,-1.62,1.94
3,Thu,September 19,8:15PM ET,boxscore,W,,2-1,,New England Patriots,24,3,27,400,267,133,,11,139,61,78,1,18.80,8.75,-11.93
4,Sun,September 29,1:00PM ET,boxscore,L,,2-2,,Denver Broncos,9,10,16,248,184,64,1,12,186,60,126,1,-17.17,15.24,1.09
5,Sun,October 6,9:30AM ET,boxscore,L,,2-3,@,Minnesota Vikings,17,23,17,254,218,36,3,17,253,171,82,2,-20.20,11.27,6.06
6,Mon,October 14,8:15PM ET,boxscore,L,,2-4,,Buffalo Bills,20,23,20,393,272,121,1,24,359,210,149,,13.81,-14.90,-0.34
7,Sun,October 20,8:20PM ET,boxscore,L,,2-5,@,Pittsburgh Steelers,15,37,17,323,269,54,2,21,409,260,149,,-3.83,-16.09,-1.12
8,Sun,October 27,1:00PM ET,boxscore,L,,2-6,@,New England Patriots,22,25,22,336,224,112,,19,248,136,112,,14.41,-5.93,-7.05
9,Thu,October 31,8:15PM ET,boxscore,W,,3-6,,Houston Texans,21,13,17,293,193,100,1,21,322,135,187,1,7.00,2.89,0.61
10,Sun,November 10,4:25PM ET,boxscore,L,,3-7,@,Arizona Cardinals,6,31,17,207,128,79,1,28,406,259,147,,-2.78,-30.29,6.95
11,Sun,November 17,1:00PM ET,boxscore,L,,3-8,,Indianapolis Colts,27,28,10,253,162,91,,18,332,241,91,1,-2.47,-0.71,1.15
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,December 1,1:00PM ET,boxscore,L,,3-9,,Seattle Seahawks,21,26,17,258,169,89,2,16,259,175,84,2,-14.98,-6.51,14.94
14,Sun,December 8,1:00PM ET,boxscore,L,OT,3-10,@,Miami Dolphins,26,32,23,402,319,83,,28,375,331,44,,14.47,-16.40,-1.80
15,Sun,December 15,1:00PM ET,boxscore,W,,4-10,@,Jacksonville Jaguars,32,25,22,400,275,125,,27,421,285,136,2,23.94,-14.36,-3.35
16,Sun,December 22,1:00PM ET,boxscore,L,,4-11,,Los Angeles Rams,9,19,17,321,246,75,2,17,242,110,132,1,-3.81,-3.87,-4.63
17,Sun,December 29,1:00PM ET,boxscore,L,,4-12,@,Buffalo Bills,14,40,20,281,169,112,3,23,348,251,97,,-10.40,-14.14,-1.56
18,Sun,January 5,4:25PM ET,boxscore,W,,5-12,,Miami Dolphins,32,20,22,375,257,118,1,21,334,199,135,4,9.16,4.67,-4.05
