No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
26,Saquon Barkley,27,RB,16,16,233,6-0,Penn St.,2/9/1997,6,18,New York Giants / 1st / 2nd pick / 2018
53,Zack Baun,28,LB,16,16,225,6-3,Wisconsin,12/30/1996,4,18,New Orleans Saints / 3rd / 74th pick / 2020
77,Mekhi Becton,25,T,15,15,363,6-7,Louisville,4/18/1999,4,7,New York Jets / 1st / 11th pick / 2020
32,Reed Blankenship,25,S,15,15,203,6-1,Middle Tenn. St.,3/2/1999,2,7,
48,Khari Blasingame,28,FB,3,0,233,6-0,Vanderbilt,7/1/1996,5,0,
59,Thomas Booker,25,DT,17,1,301,6-3,Stanford,11/11/1999,2,2,Houston Texans / 5th / 150th pick / 2022
11,A.J. Brown,27,WR,13,13,226,6-1,Mississippi,6/30/1997,5,12,Tennessee Titans / 2nd / 51st pick / 2019
21,Sydney Brown,24,S,11,0,211,5-10,Illinois,3/21/2000,1,1,Philadelphia Eagles / 3rd / 66th pick / 2023
42,Oren Burks,29,LB,17,2,233,6-3,Vanderbilt,3/21/1995,6,2,Green Bay Packers / 3rd / 88th pick / 2018
81,Grant Calcaterra,26,TE,17,13,240,6-4,"Oklahoma , SMU",12/4/1998,2,3,Philadelphia Eagles / 6th / 198th pick / 2022
80,Parris Campbell,27,WR,5,0,208,6-0,Ohio St.,7/16/1997,5,0,Indianapolis Colts / 2nd / 59th pick / 2019
98,Jalen Carter,23,DT,16,15,314,6-3,Georgia,4/4/2001,1,14,Philadelphia Eagles / 1st / 9th pick / 2023
18,Britain Covey,27,WR,5,1,173,5-8,Utah,3/18/1997,2,0,
90,Jordan Davis,24,DT,17,17,336,6-6,Georgia,1/12/2000,2,8,Philadelphia Eagles / 1st / 13th pick / 2022
35,Tyrion Davis-Price,24,RB,1,0,219,6-1,LSU,10/23/2000,2,0,San Francisco 49ers / 3rd / 93rd pick / 2022
17,Nakobe Dean,24,LB,15,15,231,5-11,Georgia,12/13/2000,2,8,Philadelphia Eagles / 3rd / 83rd pick / 2022
33,Cooper DeJean,21,DB,16,9,198,6-0,Iowa,2/9/2003,Rook,5,Philadelphia Eagles / 2nd / 40th pick / 2024
69,Landon Dickerson,26,G,16,16,332,6-6,"Florida St. , Alabama",9/30/1998,3,9,Philadelphia Eagles / 2nd / 37th pick / 2021
83,Jahan Dotson,24,WR,17,6,182,5-11,Penn St.,3/22/2000,2,3,Washington Commanders / 1st / 16th pick / 2022
75,Jack Driscoll,27,OL,13,1,312,6-5,"Massachusetts , Auburn",4/1/1997,4,1,Philadelphia Eagles / 4th / 145th pick / 2020
4,Jake Elliott,29,K,17,0,167,5-9,Memphis,1/21/1995,7,2,Cincinnati Bengals / 5th / 153rd pick / 2017
14,Kenneth Gainwell,25,RB,17,1,200,5-9,Memphis,3/14/1999,3,3,Philadelphia Eagles / 5th / 150th pick / 2021
52,Dallas Gant,24,LB,2,0,224,6-2,Toledo,5/16/2000,Rook,0,
8,C.J. Gardner-Johnson,27,S,16,16,210,5-11,Florida,12/20/1997,5,8,New Orleans Saints / 4th / 105th pick / 2019
61,Nick Gates,29,OL,9,1,312,6-5,Nebraska,11/27/1995,5,1,
88,Dallas Goedert,29,TE,10,10,256,6-5,South Dakota St.,1/3/1995,6,6,Philadelphia Eagles / 2nd / 49th pick / 2018
55,Brandon Graham,36,DE,11,1,265,6-2,Michigan,4/3/1988,14,2,Philadelphia Eagles / 1st / 13th pick / 2010
,Charles Harris,29,DE,4,0,250,6-3,Missouri,3/6/1995,7,0,Miami Dolphins / 1st / 22nd pick / 2017
0,Bryce Huff,26,DE,12,6,255,6-3,Memphis,4/17/1998,4,4,
58,Jalyx Hunt,23,OLB,16,1,252,6-3,"Cornell , Houston Christian",3/13/2001,Rook,2,Philadelphia Eagles / 3rd / 94th pick / 2024
1,Jalen Hurts,26,QB,15,15,223,6-1,"Alabama , Oklahoma",8/7/1998,4,16,Philadelphia Eagles / 2nd / 53rd pick / 2020
84,E.J. Jenkins,26,TE,8,0,245,6-6,"St. Francis (PA) , South Carolina , Georgia Tech",11/3/1998,1,0,
74,Fred Johnson,27,T,17,6,326,6-7,Florida,6/5/1997,5,4,
65,Lane Johnson,34,T,15,15,325,6-6,"Kilgore College , Oklahoma",5/8/1990,11,12,Philadelphia Eagles / 1st / 4th pick / 2013
48,Patrick Johnson,26,OLB,1,0,248,6-2,Tulane,1/10/1998,3,0,Philadelphia Eagles / 7th / 234th pick / 2021
51,Cam Jurgens,25,OL,16,16,303,6-3,Nebraska,8/21/1999,2,9,Philadelphia Eagles / 2nd / 51st pick / 2022
79,Trevor Keegan,24,G,1,0,306,6-5,Michigan,8/30/2000,Rook,0,Philadelphia Eagles / 5th / 172nd pick / 2024
72,Darian Kinnard,25,G,2,1,322,6-5,Kentucky,12/29/1999,2,0,Kansas City Chiefs / 5th / 145th pick / 2022
49,Rick Lovato,32,LS,17,0,249,6-2,Old Dominion,9/9/1992,9,1,
