No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
95,Myles Adams,26,DE,3,0,290,6-2,Rice,3/9/1998,3,0,
17,Jerome Baker,28,LB,5,5,232,6-2,Ohio St.,12/25/1996,6,3,Miami Dolphins / 3rd / 73rd pick / 2018
88,AJ Barner,22,TE,17,6,251,6-6,"Indiana , Michigan",5/3/2002,Rook,2,Seattle Seahawks / 4th / 121st pick / 2024
13,Marquise Blair,27,FS,1,0,196,6-1,Utah,7/18/1997,5,0,Seattle Seahawks / 2nd / 47th pick / 2019
19,Jake Bobo,26,WR,17,3,207,6-4,"Duke , UCLA",8/4/1998,1,1,
92,Quinton Bohanna,25,DT,1,0,360,6-4,Kentucky,3/16/1999,3,0,Dallas Cowboys / 6th / 192nd pick / 2021
56,Tyus Bowser,29,OLB,2,1,250,6-3,Houston,5/23/1995,7,1,Baltimore Ravens / 2nd / 47th pick / 2017
75,Anthony Bradford,23,G,11,11,332,6-5,LSU,4/28/2001,1,4,Seattle Seahawks / 4th / 108th pick / 2023
86,Pharaoh Brown,30,TE,15,7,246,6-5,Oregon,5/4/1994,7,0,
22,Tre Brown,27,CB,13,3,185,5-10,Oklahoma,9/24/1997,3,2,Seattle Seahawks / 4th / 137th pick / 2021
8,Coby Bryant,25,CB,17,11,193,6-1,Cincinnati,3/29/1999,2,5,Seattle Seahawks / 4th / 109th pick / 2022
23,Artie Burns,29,CB,4,0,187,6-0,Miami (FL),5/1/1995,8,0,Pittsburgh Steelers / 1st / 25th pick / 2016
26,Zach Charbonnet,23,RB,17,6,214,6-1,"Michigan , UCLA",1/8/2001,1,6,Seattle Seahawks / 2nd / 52nd pick / 2023
67,Charles Cross,24,T,17,17,311,6-5,Mississippi St.,11/25/2000,2,7,Seattle Seahawks / 1st / 9th pick / 2022
66,McClendon Curtis,25,OT,4,0,325,6-6,Chattanooga,9/16/1999,1,0,
,Jaelon Darden,25,WR,5,0,175,5-8,North Texas,1/14/1999,3,0,Tampa Bay Buccaneers / 4th / 129th pick / 2021
4,Michael Dickson,28,P,17,0,208,6-2,Texas,1/4/1996,6,4,Seattle Seahawks / 5th / 149th pick / 2018
0,Tyrel Dodson,26,LB,9,9,237,6-0,Texas A&M,6/25/1998,4,5,
74,George Fant,32,T,2,2,316,6-5,Western Kentucky,7/19/1992,8,1,
87,Noah Fant,27,TE,14,9,249,6-4,Iowa,11/20/1997,5,4,Denver Broncos / 1st / 20th pick / 2019
30,AJ Finley,23,S,4,0,188,6-0,Mississippi,9/14/2001,1,0,
78,Stone Forsythe,27,T,9,5,307,6-8,Florida,12/29/1997,3,2,Seattle Seahawks / 6th / 208th pick / 2021
50,Trevis Gipson,27,LB,5,0,263,6-4,Tulsa,6/13/1997,4,0,Chicago Bears / 5th / 155th pick / 2020
58,Derick Hall,23,OLB,17,14,254,6-3,Auburn,3/19/2001,1,9,Seattle Seahawks / 2nd / 37th pick / 2023
97,Johnathan Hankins,32,DT,17,8,325,6-3,Ohio St.,3/30/1992,11,5,New York Giants / 2nd / 49th pick / 2013
64,Christian Haynes,24,OG,16,0,318,6-2,Connecticut,4/13/2000,Rook,1,Seattle Seahawks / 3rd / 81st pick / 2024
30,Faion Hicks,27,CB,2,0,192,5-10,Wisconsin,9/17/1997,2,0,Denver Broncos / 7th / 232nd pick / 2022
36,George Holani,25,RB,5,0,210,5-11,Boise St.,12/16/1999,Rook,0,
6,Sam Howell,24,QB,2,0,220,6-1,North Carolina,9/16/2000,2,0,Washington Commanders / 5th / 144th pick / 2022
2,Rayshawn Jenkins,30,SS,13,9,220,6-1,Miami (FL),1/25/1994,7,4,Los Angeles Chargers / 4th / 113th pick / 2017
65,Michael Jerrell,25,OT,10,3,294,6-5,Findlay,8/18/1999,Rook,2,Seattle Seahawks / 6th / 207th pick / 2024
29,Josh Jobe,26,CB,10,6,190,5-11,Alabama,4/9/1998,2,3,
55,Dre'Mont Jones,27,LB,17,7,281,6-3,Ohio St.,1/5/1997,5,5,Denver Broncos / 3rd / 71st pick / 2019
,Ernest Jones,25,LB,10,10,233,6-2,South Carolina,11/22/1999,3,5,Los Angeles Rams / 3rd / 103rd pick / 2021
48,Tyrice Knight,24,LB,16,9,233,6-0,"Independence (KS) , Texas-El Paso",12/20/2000,Rook,6,Seattle Seahawks / 4th / 118th pick / 2024
63,Sataoa Laumea,23,OG,6,6,319,6-4,Utah,1/13/2001,Rook,2,Seattle Seahawks / 6th / 179th pick / 2024
16,Tyler Lockett,32,WR,17,14,182,5-10,Kansas St.,9/28/1992,9,5,Seattle Seahawks / 3rd / 69th pick / 2015
20,Julian Love,26,FS,17,17,195,5-11,Notre Dame,3/19/1998,5,7,New York Giants / 4th / 108th pick / 2019
72,Abraham Lucas,26,T,7,7,322,6-6,Washington St.,10/25/1998,2,3,Seattle Seahawks / 3rd / 72nd pick / 2022
85,Tyler Mabry,28,TE,2,0,247,6-3,"Buffalo , Maryland",11/21/1996,3,0,
53,Boye Mafe,26,LB,15,11,261,6-4,Minnesota,11/30/1998,2,6,Seattle Seahawks / 2nd / 40th pick / 2022
25,Kenny McIntosh,24,RB,17,0,204,6-0,Georgia,3/3/2000,1,1,Seattle Seahawks / 7th / 237th pick / 2023
14,D.K. Metcalf,27,WR,15,12,235,6-4,Mississippi,12/14/1997,5,7,Seattle Seahawks / 2nd / 64th pick / 2019
94,Mike Morris,23,DE,15,0,295,6-6,Michigan,4/22/2001,1,1,Seattle Seahawks / 5th / 151st pick / 2023
91,Byron Murphy,22,DT,14,9,306,6-0,Texas,9/8/2002,Rook,5,Seattle Seahawks / 1st / 16th pick / 2024
5,Jason Myers,33,K,17,0,190,5-10,Marist,5/12/1991,9,4,
10,Uchenna Nwosu,28,LB,6,2,251,6-2,USC,12/28/1996,6,1,Los Angeles Chargers / 2nd / 48th pick / 2018
52,Patrick O'Connell,26,LB,5,0,227,6-1,"Univ. of Mary , Montana",12/31/1998,1,0,
39,Ty Okada,25,FS,4,0,193,5-11,Montana St.,6/4/1999,1,0,
51,Olusegun Oluwatimi,25,C,12,8,309,6-3,"Air Force , Virginia , Michigan",8/5/1999,1,3,Seattle Seahawks / 5th / 154th pick / 2023
28,Nehemiah Pritchett,23,CB,10,1,188,6-0,Auburn,2/11/2001,Rook,1,Seattle Seahawks / 5th / 136th pick / 2024
90,Jarran Reed,32,NT,17,8,306,6-3,"East Mississippi CC , Alabama",12/16/1992,8,5,Seattle Seahawks / 2nd / 49th pick / 2016
32,Jerrick Reed,24,FS,5,0,196,5-9,"Northwest Mississippi CC , New Mexico",8/7/2000,1,0,Seattle Seahawks / 6th / 198th pick / 2023
95,Roy Robertson-Harris,31,DT,11,0,290,6-5,Texas-El Paso,7/23/1993,7,1,
,Josh Ross,25,LB,10,0,229,6-0,Michigan,10/31/1999,2,1,
