Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:25PM ET,boxscore,W,,1-0,,Washington Commanders,37,20,22,392,280,112,,22,299,161,138,,22.08,-9.77,6.66
2,Sun,September 15,1:00PM ET,boxscore,W,,2-0,@,Detroit Lions,20,16,14,216,146,70,1,26,463,324,139,2,0.10,-3.18,4.12
3,Sun,September 22,1:00PM ET,boxscore,L,,2-1,,Denver Broncos,7,26,17,223,132,91,2,18,352,216,136,1,-13.68,-3.34,0.75
4,Sun,September 29,1:00PM ET,boxscore,W,,3-1,,Philadelphia Eagles,33,16,29,445,334,111,,16,227,114,113,2,21.36,4.13,-1.43
5,Thu,October 3,8:15PM ET,boxscore,L,OT,3-2,@,Atlanta Falcons,30,36,21,333,173,160,1,28,550,477,73,1,9.87,-22.44,5.72
6,Sun,October 13,1:00PM ET,boxscore,W,,4-2,@,New Orleans Saints,51,27,31,594,317,277,3,19,303,222,81,3,21.29,13.11,-11.75
7,Mon,October 21,8:15PM ET,boxscore,L,,4-3,,Baltimore Ravens,31,41,28,481,356,125,2,22,508,264,244,1,13.75,-23.15,-0.41
8,Sun,October 27,1:00PM ET,boxscore,L,,4-4,,Atlanta Falcons,26,31,24,432,330,102,3,20,394,265,129,,6.89,-19.02,8.11
9,Mon,November 4,8:15PM ET,boxscore,L,OT,4-5,@,Kansas City Chiefs,24,30,17,284,189,95,,28,384,260,124,1,7.44,-13.78,0.89
10,Sun,November 10,1:00PM ET,boxscore,L,,4-6,,San Francisco 49ers,20,23,18,215,105,110,,24,413,338,75,1,0.91,-18.50,15.44
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 24,1:00PM ET,boxscore,W,,5-6,@,New York Giants,30,7,24,451,294,157,1,17,245,169,76,1,19.82,7.28,-7.47
13,Sun,December 1,4:05PM ET,boxscore,W,OT,6-6,@,Carolina Panthers,26,23,27,445,209,236,2,19,367,289,78,1,0.85,-1.71,5.13
14,Sun,December 8,1:00PM ET,boxscore,W,,7-6,,Las Vegas Raiders,28,13,21,420,268,152,3,16,286,195,91,2,12.48,5.22,-4.26
15,Sun,December 15,4:25PM ET,boxscore,W,,8-6,@,Los Angeles Chargers,40,17,24,506,283,223,2,14,206,174,32,2,19.94,7.54,-0.61
16,Sun,December 22,8:20PM ET,boxscore,L,,8-7,@,Dallas Cowboys,24,26,25,410,276,134,2,15,317,286,31,,5.82,0.21,-9.00
17,Sun,December 29,1:00PM ET,boxscore,W,,9-7,,Carolina Panthers,48,14,33,551,349,202,,13,204,165,39,,35.23,1.67,-2.32
18,Sun,January 5,1:00PM ET,boxscore,W,,10-7,,New Orleans Saints,27,19,20,395,216,179,1,19,292,228,64,,14.98,0.04,-4.89
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
19,Sun,January 12,8:00PM ET,boxscore,L,,10-8,,Washington Commanders,20,23,19,284,183,101,1,22,350,268,82,,7.96,-11.83,0.88
