No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
,Shaquil Barrett,32,OLB,1,0,250,6-2,"Nebraska-Omaha , Colorado St.",11/17/1992,9,0,
62,Graham Barton,22,C,16,16,314,6-5,Duke,6/1/2002,Rook,8,Tampa Bay Buccaneers / 1st / 26th pick / 2024
43,Chris Braswell,23,OLB,17,0,255,6-3,Alabama,10/25/2001,Rook,1,Tampa Bay Buccaneers / 2nd / 57th pick / 2024
68,Ben Bredeson,26,G,17,17,315,6-5,Michigan,2/20/1998,4,8,Baltimore Ravens / 4th / 143rd pick / 2020
95,C.J. Brewer,27,DL,12,0,290,6-2,Coastal Carolina,11/22/1997,2,1,
52,K.J. Britt,25,LB,14,11,235,6-0,Auburn,6/4/1999,3,5,Tampa Bay Buccaneers / 5th / 176th pick / 2021
97,Earnest Brown IV,25,DE,3,0,300,6-5,Northwestern,1/8/1999,2,0,Los Angeles Rams / 5th / 174th pick / 2021
5,Jack Browning,23,P,5,0,190,5-11,"Grossmont College (CA) , San Diego St.",11/14/2001,Rook,0,
85,Marquez Callaway,26,WR,2,0,204,6-2,Tennessee,3/27/1998,4,0,
5,Jake Camarda,25,P,4,0,193,6-1,Georgia,4/20/1999,2,1,Tampa Bay Buccaneers / 4th / 133rd pick / 2022
82,Devin Culp,24,TE,5,0,237,6-4,Washington,2/2/2000,Rook,1,Tampa Bay Buccaneers / 7th / 246th pick / 2024
54,Lavonte David,34,LB,17,17,233,6-1,"Fort Scott (KS) , Nebraska",1/23/1990,12,8,Tampa Bay Buccaneers / 2nd / 58th pick / 2012
35,Jamel Dean,28,CB,12,12,206,6-1,Auburn,10/15/1996,5,4,Tampa Bay Buccaneers / 3rd / 94th pick / 2019
86,Evan Deckers,25,LS,11,0,252,6-3,"Massachusetts , Duke",2/23/1999,1,1,
8,SirVocea Dennis,24,LB,4,0,230,6-0,Pittsburgh,3/9/2000,1,0,Tampa Bay Buccaneers / 5th / 153rd pick / 2023
0,YaYa Diaby,25,OLB,17,17,270,6-4,"Georgia Military , Louisville",5/30/1999,1,8,Tampa Bay Buccaneers / 3rd / 82nd pick / 2023
87,Payne Durham,24,TE,16,6,255,6-5,Purdue,6/15/2000,1,1,Tampa Bay Buccaneers / 5th / 171st pick / 2023
,Mike Edwards,28,S,5,2,205,5-10,"Kentucky , Hawaii",5/18/1996,5,1,Tampa Bay Buccaneers / 3rd / 99th pick / 2019
13,Mike Evans,31,WR,14,14,231,6-5,Texas A&M,8/21/1993,10,10,Tampa Bay Buccaneers / 1st / 7th pick / 2014
28,Dallis Flowers,27,CB,2,0,196,6-1,"Grand View , Pittsburg St.",6/4/1997,2,0,
24,Tyrek Funderburk,24,CB,13,2,185,6-0,"Richmond , Appalachian St.",11/28/2000,Rook,1,
96,Greg Gaines,28,DL,15,3,312,6-1,Washington,5/6/1996,5,2,Los Angeles Rams / 4th / 134th pick / 2019
92,William Gholston,33,DL,17,3,281,6-6,Michigan St.,7/31/1991,11,2,Tampa Bay Buccaneers / 4th / 126th pick / 2013
16,Trenton Gill,25,P,8,0,219,6-4,North Carolina St.,3/5/1999,2,1,Chicago Bears / 7th / 255th pick / 2022
14,Chris Godwin,28,WR,7,7,209,6-1,Penn St.,2/27/1996,7,6,Tampa Bay Buccaneers / 3rd / 84th pick / 2017
67,Luke Goedeke,26,T,13,13,312,6-5,"Wisconsin–Stevens Point , Central Michigan",11/21/1998,2,7,Tampa Bay Buccaneers / 2nd / 57th pick / 2022
91,Mike Greene,25,DL,3,0,293,6-3,James Madison,5/3/1999,1,0,
48,Antonio Grier,24,LB,7,0,230,6-1,"South Florida , Arkansas",1/18/2000,Rook,1,
70,Robert Hainsey,26,C,17,1,306,6-4,Notre Dame,8/12/1998,3,2,Tampa Bay Buccaneers / 3rd / 95th pick / 2021
34,Bryce Hall,27,CB,1,0,202,6-1,Virginia,11/5/1997,4,0,New York Jets / 5th / 158th pick / 2020
90,Logan Hall,24,DL,16,10,283,6-6,Houston,4/22/2000,2,5,Tampa Bay Buccaneers / 2nd / 33rd pick / 2022
32,Josh Hayes,25,DB,15,3,190,6-0,"North Dakota St. , Virginia , Kansas St.",4/24/1999,1,2,Tampa Bay Buccaneers / 6th / 181st pick / 2023
25,Troy Hill,33,CB,2,0,182,5-10,Oregon,8/29/1991,9,0,
7,Bucky Irving,22,RB,17,3,195,5-10,"Minnesota , Oregon",8/19/2002,Rook,12,Tampa Bay Buccaneers / 4th / 125th pick / 2024
,Keenan Isaac,24,CB,5,0,190,6-3,Alabama St.,2/17/2000,1,0,
29,Christian Izien,24,S,14,10,200,5-10,Rutgers,6/8/2000,1,4,
18,Rakim Jarrett,23,WR,10,2,192,6-0,Maryland,1/24/2001,1,1,
19,Kameron Johnson,22,WR,5,0,170,5-10,Barton,3/17/2002,Rook,0,
45,Deion Jones,30,MLB,2,0,222,6-1,LSU,11/4/1994,8,0,Atlanta Falcons / 2nd / 52nd pick / 2016
53,Vi Jones,26,LB,7,0,225,6-2,"USC , North Carolina St.",5/5/1998,2,1,
94,Calijah Kancey,23,DL,12,12,280,6-0,Pittsburgh,3/1/2001,1,6,Tampa Bay Buccaneers / 1st / 19th pick / 2023
41,Ko Kieft,26,TE,17,1,265,6-5,Minnesota,1/20/1998,2,0,Tampa Bay Buccaneers / 6th / 218th pick / 2022
79,Elijah Klein,24,OG,16,0,319,6-4,Texas-El Paso,4/8/2000,Rook,1,Tampa Bay Buccaneers / 6th / 220th pick / 2024
69,Cody Mauch,25,G,17,17,303,6-6,North Dakota St.,1/15/1999,1,8,Tampa Bay Buccaneers / 2nd / 48th pick / 2023
6,Baker Mayfield,29,QB,17,17,215,6-1,Oklahoma,4/14/1995,6,17,Cleveland Browns / 1st / 1st pick / 2018
27,Zyon McCollum,25,CB,17,17,199,6-2,Sam Houston St.,5/3/1999,2,7,Tampa Bay Buccaneers / 5th / 157th pick / 2022
4,Chase McLaughlin,28,K,17,0,190,6-0,Illinois,4/9/1996,5,5,
15,Jalen McMillan,23,WR,13,12,192,6-1,Washington,12/7/2001,Rook,5,Tampa Bay Buccaneers / 3rd / 92nd pick / 2024
,Kaevon Merriweather,25,S,14,5,212,6-0,Iowa,12/20/1999,1,3,
81,Ryan Miller,24,WR,11,3,221,6-2,Furman,2/20/2000,1,1,
36,Ryan Neal,29,S,2,0,200,6-3,Southern Illinois,12/24/1995,6,0,
,Anthony Nelson,27,OLB,17,6,271,6-7,Iowa,3/4/1997,5,4,Tampa Bay Buccaneers / 4th / 107th pick / 2019
64,Royce Newman,27,OG,1,0,310,6-5,Mississippi,8/17/1997,3,0,Green Bay Packers / 4th / 142nd pick / 2021
88,Cade Otton,25,TE,14,14,247,6-5,Washington,4/15/1999,2,6,Tampa Bay Buccaneers / 4th / 106th pick / 2022
10,Trey Palmer,23,WR,15,3,190,6-1,"LSU , Nebraska",4/2/2001,1,2,Tampa Bay Buccaneers / 6th / 191st pick / 2023
33,Jose Ramirez,25,OLB,4,0,252,6-2,"Arizona , Riverside CC , Eastern Michigan",5/9/1999,1,0,Tampa Bay Buccaneers / 6th / 196th pick / 2023
51,J.J. Russell,26,LB,16,3,225,6-1,Memphis,10/12/1998,2,3,
17,Sterling Shepard,31,WR,14,5,194,5-10,Oklahoma,2/10/1993,8,4,New York Giants / 2nd / 40th pick / 2016
77,Justin Skule,28,T,17,5,315,6-6,Vanderbilt,11/23/1996,5,4,San Francisco 49ers / 6th / 183rd pick / 2019
23,Tykee Smith,23,S,13,6,202,5-10,"West Virginia , Georgia",2/18/2001,Rook,3,Tampa Bay Buccaneers / 3rd / 89th pick / 2024
56,Ben Stille,27,DL,3,0,296,6-4,Nebraska,11/12/1997,2,1,
37,Tavierre Thomas,28,CB,17,0,205,5-10,Ferris St.,3/11/1996,6,1,
83,Cody Thompson,28,WR,1,0,205,6-2,Toledo,1/11/1996,3,0,
2,Kyle Trask,26,QB,4,0,236,6-5,Florida,3/6/1998,2,0,Tampa Bay Buccaneers / 2nd / 64th pick / 2021
45,Zach Triner,33,LS,6,0,245,6-3,Assumption,1/30/1991,5,0,
9,Joe Tryon-Shoyinka,25,OLB,15,11,259,6-5,Washington,4/30/1999,3,5,Tampa Bay Buccaneers / 1st / 32nd pick / 2021
44,Sean Tucker,23,RB,17,0,205,5-10,Syracuse,10/25/2001,1,3,
50,Vita Vea,29,NT,16,16,347,6-4,Washington,2/5/1995,6,11,Tampa Bay Buccaneers / 1st / 12th pick / 2018
58,Markees Watts,25,OLB,5,0,240,6-1,Charlotte,12/7/1999,1,0,
1,Rachaad White,25,RB,16,15,214,6-0,"Nebraska-Kearney , Mount San Antonio JC , Arizona St.",1/12/1999,2,8,Tampa Bay Buccaneers / 3rd / 91st pick / 2022
3,Jordan Whitehead,27,S,12,12,198,5-10,Pittsburgh,3/18/1997,6,4,Tampa Bay Buccaneers / 4th / 117th pick / 2018
30,D.J. Williams,24,RB,1,0,225,6-0,"Auburn , Florida St. , Arizona",11/15/2000,Rook,0,
31,Antoine Winfield Jr.,26,S,9,9,203,5-9,Minnesota,8/16/1998,4,4,Tampa Bay Buccaneers / 2nd / 45th pick / 2020
78,Tristan Wirfs,25,T,16,16,320,6-5,Iowa,1/24/1999,4,17,Tampa Bay Buccaneers / 1st / 13th pick / 2020
