No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
33,Jamal Adams,29,SS,3,1,213,6-1,LSU,10/17/1995,7,0,New York Jets / 1st / 6th pick / 2017
94,Abdullah Anderson,28,DL,4,0,295,6-4,Bucknell,1/24/1996,5,0,
23,Tre Avery,27,CB,9,0,185,5-11,"Toledo , Rutgers",2/26/1997,2,1,
13,Chidobe Awuzie,29,CB,8,7,202,6-0,Colorado,5/24/1995,7,3,Dallas Cowboys / 2nd / 60th pick / 2017
39,Darrell Baker,26,CB,17,9,190,6-1,Georgia Southern,3/27/1998,2,4,
,Jerome Baker,28,LB,5,3,232,6-2,Ohio St.,12/25/1996,6,1,Miami Dolphins / 3rd / 73rd pick / 2018
83,Tyler Boyd,30,WR,16,8,203,6-2,Pittsburgh,11/15/1994,8,3,Cincinnati Bengals / 2nd / 55th pick / 2016
67,Chandler Brewer,27,OT,1,0,320,6-6,Middle Tenn. St.,6/12/1997,5,0,
30,Kendell Brooks,24,S,5,0,206,6-0,"North Greenville , Michigan St.",3/3/2000,1,0,
,Mike Brown,25,S,17,4,218,6-1,Miami (OH),4/7/1999,2,2,
29,Jarvis Brownlee,23,CB,17,14,194,5-10,"Florida St. , Louisville",7/13/2001,Rook,5,Tennessee Titans / 5th / 146th pick / 2024
60,Daniel Brunskill,30,OL,17,10,300,6-5,San Diego St.,1/27/1994,5,4,
66,Logan Bruss,26,OG,3,0,317,6-5,Wisconsin,10/6/1998,1,0,Los Angeles Rams / 3rd / 104th pick / 2022
16,Treylon Burks,24,WR,5,2,225,6-2,Arkansas,3/23/2000,2,0,Tennessee Titans / 1st / 18th pick / 2022
36,Julius Chestnut,24,RB,17,0,228,5-11,Sacred Heart,10/26/2000,2,1,
91,Keondre Coburn,24,DL,15,1,332,6-2,Texas,5/23/2000,1,1,Kansas City Chiefs / 6th / 194th pick / 2023
46,Morgan Cox,38,LS,17,0,233,6-4,Tennessee,4/26/1986,14,1,
79,Lloyd Cushenberry III,27,C,8,8,315,6-4,LSU,11/22/1997,4,3,Denver Broncos / 3rd / 83rd pick / 2020
28,Quandre Diggs,31,FS,8,8,197,5-9,Texas,1/22/1993,9,3,Detroit Lions / 6th / 200th pick / 2015
47,Khalid Duke,23,OLB,2,0,246,6-3,Kansas St.,2/27/2001,Rook,0,
71,Jaelyn Duncan,24,OT,5,3,306,6-6,Maryland,7/8/2000,1,1,Tennessee Titans / 6th / 186th pick / 2023
6,Nick Folk,40,K,14,0,225,6-1,Arizona,11/5/1984,17,5,Dallas Cowboys / 6th / 178th pick / 2007
59,Ali Gaye,26,OLB,15,0,265,6-6,"Arizona Western , Garden City (KS) , LSU",11/29/1998,1,1,
50,Jack Gibbens,26,LB,10,5,242,6-3,"Abilene Christian , Minnesota",11/24/1998,2,2,
57,Luke Gifford,29,LB,16,4,243,6-3,Nebraska,8/28/1995,5,3,
51,Cedric Gray,22,LB,7,0,234,6-2,North Carolina,10/30/2002,Rook,0,Tennessee Titans / 4th / 106th pick / 2024
64,Arlington Hambright,28,G,4,0,300,6-5,"Garden City (KS) , Oklahoma St. , Colorado",1/30/1996,4,0,Chicago Bears / 7th / 226th pick / 2020
26,Justin Hardee,30,CB,9,0,200,6-1,Illinois,2/7/1994,7,1,
92,Jaylen Harrell,22,OLB,17,0,247,6-4,Michigan,5/1/2002,Rook,1,Tennessee Titans / 7th / 252nd pick / 2024
37,Amani Hooker,26,S,14,14,210,5-11,Iowa,6/14/1998,5,6,Tennessee Titans / 4th / 116th pick / 2019
10,DeAndre Hopkins,32,WR,6,3,212,6-1,Clemson,6/6/1992,11,1,Houston Texans / 1st / 27th pick / 2013
19,Jha'Quan Jackson,24,WR,12,0,188,5-9,Tulane,5/15/2000,Rook,0,Tennessee Titans / 6th / 182nd pick / 2024
32,Gabe Jeudy-Lally,23,CB,4,0,189,6-1,"Vanderbilt , BYU , Tennessee",2/16/2001,Rook,0,
53,Ernest Jones,25,LB,6,5,233,6-2,South Carolina,11/22/1999,3,2,Los Angeles Rams / 3rd / 103rd pick / 2021
69,Sebastian Joseph-Day,29,DL,17,12,310,6-4,Rutgers,3/21/1995,5,6,Los Angeles Rams / 6th / 195th pick / 2018
25,Joshua Kelley,27,RB,3,0,212,5-11,"UC Davis , UCLA",11/20/1997,4,0,Los Angeles Chargers / 4th / 112th pick / 2020
49,Arden Key,28,OLB,16,15,240,6-5,LSU,5/3/1996,6,7,Oakland Raiders / 3rd / 87th pick / 2018
12,Mason Kinsey,26,WR,6,0,200,5-11,Berry,8/29/1998,3,0,
58,Harold Landry,28,OLB,17,17,252,6-2,Boston Col.,6/5/1996,6,8,Tennessee Titans / 2nd / 41st pick / 2018
55,JC Latham,21,OT,17,17,342,6-6,Alabama,2/8/2003,Rook,7,Tennessee Titans / 1st / 7th pick / 2024
62,Corey Levin,30,OL,10,1,307,6-4,Chattanooga,8/12/1994,6,1,Tennessee Titans / 6th / 217th pick / 2017
8,Will Levis,25,QB,12,12,229,6-4,"Penn St. , Kentucky",6/27/1999,1,5,Tennessee Titans / 2nd / 33rd pick / 2023
97,James Lynch,25,DL,17,0,295,6-4,Baylor,1/20/1999,4,1,Minnesota Vikings / 4th / 130th pick / 2020
18,Tay Martin,27,WR,1,0,185,6-3,"Washington St. , Oklahoma St.",12/14/1997,2,0,
88,David Martin-Robinson,25,TE,5,2,247,6-3,Temple,12/26/1999,Rook,0,
21,Roger McCreary,24,CB,15,7,190,5-11,Auburn,2/10/2000,2,3,Tennessee Titans / 2nd / 35th pick / 2022
42,Raekwon McMillan,29,LB,2,0,250,6-2,Ohio St.,11/17/1995,6,0,Miami Dolphins / 2nd / 54th pick / 2017
42,Caleb Murphy,25,OLB,2,0,254,6-3,"Grand Valley St. , Ferris St.",12/15/1999,1,0,
56,Kenneth Murray,26,LB,14,14,241,6-2,Oklahoma,11/16/1998,4,6,Los Angeles Chargers / 1st / 23rd pick / 2020
7,Brayden Narveson,25,K,1,0,215,6-0,"Iowa St. , Western Kentucky , North Carolina St.",9/28/1999,Rook,0,
89,Thomas Odukoya,27,TE,2,0,253,6-6,"West Hills-Coalinga , Garden City (KS) , Eastern Michigan",5/5/1997,1,0,
61,John Ojukwu,25,OL,11,4,309,6-5,Boise St.,1/9/1999,1,2,
85,Chigoziem Okonkwo,25,TE,17,11,238,6-3,Maryland,9/8/1999,2,4,Tennessee Titans / 4th / 143rd pick / 2022
80,Bryce Oliver,24,WR,10,1,214,6-1,"Kentucky , Youngstown St.",5/19/2000,Rook,1,
33,Gervarrius Owens,25,S,2,0,200,6-0,"NE Oklahoma A&M , Houston",10/14/1999,1,0,New York Giants / 7th / 254th pick / 2023
78,Nicholas Petit-Frere,25,OL,15,10,316,6-5,Ohio St.,9/15/1999,2,4,Tennessee Titans / 3rd / 69th pick / 2022
20,Tony Pollard,27,RB,16,16,209,6-0,Memphis,4/30/1997,5,7,Dallas Cowboys / 4th / 128th pick / 2019
68,Isaiah Prince,27,T,1,0,305,6-7,Ohio St.,7/29/1997,5,0,Miami Dolphins / 6th / 202nd pick / 2019
75,Dillon Radunz,26,OL,15,15,301,6-6,North Dakota St.,3/28/1998,3,5,Tennessee Titans / 2nd / 53rd pick / 2021
41,Otis Reese,26,LB,13,2,214,6-3,"Georgia , Mississippi",7/2/1998,1,2,
0,Calvin Ridley,30,WR,17,14,190,6-1,Alabama,12/20/1994,6,8,Atlanta Falcons / 1st / 26th pick / 2018
11,Mason Rudolph,29,QB,8,5,235,6-5,Oklahoma St.,7/17/1995,5,3,Pittsburgh Steelers / 3rd / 76th pick / 2018
76,Andrew Rupcich,25,OL,7,0,318,6-6,Culver-Stockton,4/1/1999,1,0,
98,Jeffery Simmons,27,DT,16,16,305,6-4,Mississippi St.,7/28/1997,5,11,Tennessee Titans / 1st / 19th pick / 2019
77,Peter Skoronski,23,OL,17,17,313,6-4,Northwestern,7/31/2001,1,6,Tennessee Titans / 1st / 11th pick / 2023
38,L'Jarius Sneed,27,CB,5,5,192,6-1,Louisiana Tech,1/21/1997,4,2,Kansas City Chiefs / 4th / 138th pick / 2020
2,Tyjae Spears,23,RB,12,1,195,5-11,Tulane,6/15/2001,1,3,Tennessee Titans / 3rd / 81st pick / 2023
4,Ryan Stonehouse,25,P,17,0,193,5-10,Colorado St.,5/11/1999,2,4,
93,T'Vondre Sweat,23,NT,17,16,366,6-4,Texas,7/11/2001,Rook,7,Tennessee Titans / 2nd / 38th pick / 2024
84,Nick Vannett,31,TE,17,10,257,6-5,Ohio St.,3/6/1993,8,1,Seattle Seahawks / 3rd / 94th pick / 2016
72,Leroy Watson,26,T,4,4,310,6-5,"Hutchinson (KS) , Texas-San Antonio",6/10/1998,1,2,
15,Nick Westbrook-Ikhine,27,WR,17,9,211,6-2,Indiana,3/21/1997,4,4,
81,Josh Whyle,25,TE,17,4,248,6-6,Cincinnati,9/8/1999,1,2,Tennessee Titans / 5th / 147th pick / 2023
52,James Williams,21,LB,13,1,231,6-4,Miami (FL),2/15/2003,Rook,2,Tennessee Titans / 7th / 242nd pick / 2024
24,Julius Wood,23,S,9,0,193,6-1,"Blinn College (TX) , East Carolina",5/2/2001,Rook,1,
35,Daryl Worley,29,CB,9,7,210,6-1,West Virginia,2/22/1995,8,3,Carolina Panthers / 3rd / 77th pick / 2016
7,Matthew Wright,28,K,2,0,174,5-11,Central Florida,3/22/1996,4,0,
