Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,@,Buffalo Bills,28,34,18,270,146,124,1,23,352,222,130,1,3.22,-13.51,2.25
2,Sun,September 15,4:05PM ET,boxscore,W,,1-1,,Los Angeles Rams,41,10,24,489,258,231,1,14,245,192,53,1,26.58,8.89,-4.42
3,Sun,September 22,4:25PM ET,boxscore,L,,1-2,,Detroit Lions,13,20,17,277,200,77,1,23,373,186,187,1,-5.25,-5.52,2.55
4,Sun,September 29,4:05PM ET,boxscore,L,,1-3,,Washington Commanders,14,42,17,296,115,181,1,29,449,233,216,1,2.67,-31.77,5.34
5,Sun,October 6,4:05PM ET,boxscore,W,,2-3,@,San Francisco 49ers,24,23,19,358,189,169,1,22,384,231,153,3,5.15,0.37,-4.89
6,Sun,October 13,1:00PM ET,boxscore,L,,2-4,@,Green Bay Packers,13,34,16,303,214,89,3,27,437,258,179,1,-6.86,-22.31,3.96
7,Mon,October 21,9:00PM ET,boxscore,W,,3-4,,Los Angeles Chargers,17,15,22,326,145,181,1,20,395,336,59,2,9.33,-3.92,-3.41
8,Sun,October 27,1:00PM ET,boxscore,W,,4-4,@,Miami Dolphins,28,27,22,389,307,82,,22,377,227,150,,12.76,-17.63,3.43
9,Sun,November 3,4:05PM ET,boxscore,W,,5-4,,Chicago Bears,29,9,18,350,137,213,2,16,241,172,69,,1.12,12.48,4.01
10,Sun,November 10,4:25PM ET,boxscore,W,,6-4,,New York Jets,31,6,28,406,259,147,,17,207,128,79,1,30.29,2.78,-6.95
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,November 24,4:25PM ET,boxscore,L,,6-5,@,Seattle Seahawks,6,16,15,298,249,49,1,17,285,220,65,1,-11.53,-0.58,1.29
13,Sun,December 1,1:00PM ET,boxscore,L,,6-6,@,Minnesota Vikings,22,23,25,406,252,154,2,19,273,205,68,1,9.13,-5.27,-6.11
14,Sun,December 8,4:05PM ET,boxscore,L,,6-7,,Seattle Seahawks,18,30,21,356,235,121,2,18,409,233,176,,0.39,-10.26,-2.05
15,Sun,December 15,4:25PM ET,boxscore,W,,7-7,,New England Patriots,30,17,21,395,232,163,,17,311,195,116,1,18.68,-5.28,2.63
16,Sun,December 22,1:00PM ET,boxscore,L,OT,7-8,@,Carolina Panthers,30,36,23,382,176,206,2,22,392,149,243,,12.40,-17.92,-0.74
17,Sat,December 28,8:10PM ET,boxscore,L,,7-9,@,Los Angeles Rams,9,13,24,396,283,113,2,12,257,189,68,,0.09,4.17,-6.46
18,Sun,January 5,4:25PM ET,boxscore,W,,8-9,,San Francisco 49ers,47,24,26,393,242,151,,26,436,298,138,3,24.10,-4.86,2.64
