No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
17,Josh Allen,28,QB,17,17,237,6-5,"Reedley , Wyoming",5/21/1996,6,20,Buffalo Bills / 1st / 7th pick / 2018
70,Alec Anderson,25,T,17,4,305,6-5,UCLA,10/3/1999,1,4,
44,Joe Andreessen,24,LB,13,1,232,6-1,"Bryant , Buffalo",2/7/2000,Rook,1,
51,Eli Ankou,30,DT,2,0,325,6-3,UCLA,6/8/1994,7,0,
2,Tyler Bass,27,K,17,0,183,5-10,Georgia Southern,2/14/1997,4,2,Buffalo Bills / 6th / 188th pick / 2020
47,Christian Benford,24,CB,15,15,205,6-1,Villanova,9/21/2000,2,6,Buffalo Bills / 6th / 185th pick / 2022
43,Terrel Bernard,25,LB,13,13,224,6-1,Baylor,5/7/1999,2,7,Buffalo Bills / 3rd / 89th pick / 2022
24,Cole Bishop,22,S,16,4,207,6-2,Utah,10/24/2002,Rook,2,Buffalo Bills / 2nd / 60th pick / 2024
79,Spencer Brown,26,T,15,15,311,6-6,Northern Iowa,2/28/1998,3,9,Buffalo Bills / 3rd / 93rd pick / 2021
90,DeWayne Carter,24,DT,11,3,305,6-3,Duke,12/10/2000,Rook,2,Buffalo Bills / 3rd / 95th pick / 2024
36,Lewis Cine,25,S,1,0,199,6-2,Georgia,10/5/1999,2,0,Minnesota Vikings / 1st / 32nd pick / 2022
77,Will Clapp,29,OL,1,1,311,6-5,LSU,12/10/1995,6,1,New Orleans Saints / 7th / 245th pick / 2018
96,Kameron Cline,26,DE,1,0,283,6-4,South Dakota,2/19/1998,4,0,
29,Brandon Codrington,24,DB,17,0,185,5-9,North Carolina Central,11/17/2000,Rook,1,
0,Keon Coleman,21,WR,13,12,215,6-4,"Michigan St. , Florida St.",5/17/2003,Rook,7,Buffalo Bills / 2nd / 33rd pick / 2024
4,James Cook,25,RB,16,16,190,5-11,Georgia,9/25/1999,2,11,Buffalo Bills / 2nd / 63rd pick / 2022
,Amari Cooper,30,WR,8,4,211,6-1,Alabama,6/17/1994,9,3,Oakland Raiders / 1st / 4th pick / 2015
84,Zach Davidson,26,TE,2,0,251,6-7,Central Missouri St.,7/15/1998,1,0,Minnesota Vikings / 5th / 168th pick / 2021
22,Ray Davis,25,RB,17,0,220,5-8,"Temple , Vanderbilt , Kentucky",11/11/1999,Rook,6,Buffalo Bills / 4th / 128th pick / 2024
73,Dion Dawkins,30,T,16,16,320,6-5,Temple,4/26/1994,7,13,Buffalo Bills / 2nd / 63rd pick / 2017
,Branson Deen,24,DT,1,0,280,6-2,"Purdue , Miami (FL)",2/12/2000,Rook,0,
31,Rasul Douglas,29,CB,15,15,209,6-2,"Nassau CC , West Virginia",8/29/1995,7,5,Philadelphia Eagles / 3rd / 99th pick / 2017
76,David Edwards,27,G,16,16,308,6-6,Wisconsin,3/20/1997,5,8,Los Angeles Rams / 5th / 169th pick / 2019
21,Mike Edwards,28,S,3,0,205,5-10,"Kentucky , Hawaii",5/18/1996,5,0,Tampa Bay Buccaneers / 3rd / 99th pick / 2019
5,Kaiir Elam,23,CB,13,4,191,6-1,Florida,5/5/2001,2,2,Buffalo Bills / 1st / 23rd pick / 2022
57,A.J. Epenesa,26,DE,17,13,260,6-6,Iowa,9/15/1998,4,7,Buffalo Bills / 2nd / 54th pick / 2020
69,Reid Ferguson,30,LS,17,0,235,6-2,LSU,3/24/1994,7,1,
,Reggie Gilliam,27,FB,15,0,244,6-0,Toledo,8/20/1997,4,0,
75,Richard Gouraige,26,OT,1,0,306,6-5,Florida,10/15/1998,1,0,
68,Tylan Grable,25,OT,4,1,309,6-5,"Jacksonville St. , Central Florida",10/4/1999,Rook,1,Buffalo Bills / 6th / 204th pick / 2024
3,Damar Hamlin,26,S,14,14,200,6-0,Pittsburgh,3/24/1998,3,5,Buffalo Bills / 6th / 212th pick / 2021
13,Mack Hollins,31,WR,17,13,221,6-4,North Carolina,9/16/1993,7,4,Philadelphia Eagles / 4th / 118th pick / 2017
46,Ja'Marcus Ingram,27,CB,17,1,190,6-2,"Utah St. , Texas Tech , Buffalo",9/2/1997,2,2,
27,Kareem Jackson,36,S,2,0,196,5-10,Alabama,4/10/1988,14,0,Houston Texans / 1st / 20th pick / 2010
,Quinton Jefferson,31,DT,7,0,290,6-4,Maryland,3/31/1993,8,1,Seattle Seahawks / 5th / 147th pick / 2016
98,Austin Johnson,30,DT,15,1,314,6-4,Penn St.,5/8/1994,8,2,Tennessee Titans / 2nd / 43rd pick / 2016
7,Taron Johnson,28,CB,12,12,192,5-11,Weber St.,7/27/1996,6,5,Buffalo Bills / 4th / 121st pick / 2018
26,Ty Johnson,27,RB,17,1,210,5-10,Maryland,9/17/1997,5,5,Detroit Lions / 6th / 186th pick / 2019
59,Kingsley Jonathan,26,DE,1,0,260,6-4,Syracuse,4/28/1998,2,0,
92,DaQuan Jones,33,DT,16,16,320,6-4,Penn St.,12/17/1991,10,8,Tennessee Titans / 4th / 112th pick / 2014
86,Dalton Kincaid,25,TE,13,9,240,6-4,"San Diego , Utah",10/18/1999,1,5,Buffalo Bills / 1st / 25th pick / 2023
88,Dawson Knox,28,TE,16,13,254,6-4,Mississippi,11/14/1996,5,4,Buffalo Bills / 3rd / 96th pick / 2019
39,Cameron Lewis,27,DB,17,6,183,5-9,Buffalo,4/13/1997,4,3,
93,Zion Logue,23,DT,2,0,314,6-6,Georgia,7/13/2001,Rook,0,Atlanta Falcons / 6th / 197th pick / 2024
8,Sam Martin,34,P,17,0,211,6-1,Appalachian St.,2/27/1990,11,2,Detroit Lions / 5th / 165th pick / 2013
66,Connor McGovern,27,G,16,16,318,6-5,Penn St.,11/3/1997,4,11,Dallas Cowboys / 3rd / 90th pick / 2019
58,Matt Milano,30,LB,4,4,223,6-0,Boston Col.,7/28/1994,7,2,Buffalo Bills / 5th / 163rd pick / 2017
40,Von Miller,35,LB,13,0,250,6-3,Texas A&M,3/26/1989,13,1,Denver Broncos / 1st / 2nd pick / 2011
85,Quintin Morris,25,TE,16,3,252,6-2,Bowling Green,1/21/1999,2,0,
,Nicholas Morrow,29,LB,11,0,216,6-0,Greenville,7/10/1995,7,1,
91,Ed Oliver,27,DT,14,14,287,6-1,Houston,12/12/1997,5,7,Buffalo Bills / 1st / 9th pick / 2019
,Jordan Phillips,32,DT,7,0,330,6-6,Oklahoma,9/21/1992,9,1,Miami Dolphins / 2nd / 52nd pick / 2015
9,Taylor Rapp,27,S,14,14,208,6-0,Washington,12/22/1997,5,5,Los Angeles Rams / 2nd / 61st pick / 2019
50,Gregory Rousseau,24,DE,16,16,266,6-6,Miami (FL),4/5/2000,3,8,Buffalo Bills / 1st / 30th pick / 2021
1,Curtis Samuel,28,WR,14,2,195,5-11,Ohio St.,8/11/1996,7,3,Carolina Panthers / 2nd / 40th pick / 2017
10,Khalil Shakir,24,WR,15,9,190,6-0,Boise St.,2/3/2000,2,10,Buffalo Bills / 5th / 148th pick / 2022
80,Tyrell Shavers,25,WR,3,0,211,6-4,"Alabama , Mississippi St. , San Diego St.",8/18/1999,1,1,
94,Dawuane Smoot,29,DE,11,4,264,6-3,Illinois,3/2/1995,7,2,Jacksonville Jaguars / 3rd / 68th pick / 2017
56,Javon Solomon,23,DE,14,0,247,6-1,Troy,1/17/2001,Rook,2,Buffalo Bills / 5th / 168th pick / 2024
54,Baylon Spector,26,LB,11,4,233,6-0,Clemson,10/20/1998,2,3,Buffalo Bills / 7th / 231st pick / 2022
99,Casey Toohill,28,DE,14,1,254,6-5,Stanford,8/21/1996,4,2,Philadelphia Eagles / 7th / 233rd pick / 2020
64,O'Cyrus Torrence,24,G,17,16,347,6-5,"Louisiana , Florida",1/20/2000,1,8,Buffalo Bills / 2nd / 59th pick / 2023
11,Mitchell Trubisky,30,QB,9,0,222,6-3,North Carolina,8/20/1994,7,1,Chicago Bears / 1st / 2nd pick / 2017
48,Edefuan Ulofoshio,24,LB,4,1,239,6-1,Washington,1/23/2000,Rook,1,Buffalo Bills / 5th / 160th pick / 2024
15,Marquez Valdes-Scantling,30,WR,6,0,206,6-4,"North Carolina St. , South Florida",10/10/1994,6,0,Green Bay Packers / 5th / 174th pick / 2018
74,Ryan Van Demark,26,T,14,2,307,6-6,Connecticut,3/22/1998,1,2,
62,Sedrick Van Pran-Granger,23,OL,16,1,310,6-4,Georgia,10/23/2001,Rook,2,Buffalo Bills / 5th / 141st pick / 2024
89,Jalen Virgil,26,WR,7,0,210,6-1,Appalachian St.,7/13/1998,2,0,
14,Mike White,29,QB,1,0,216,6-5,"South Florida , Western Kentucky",3/25/1995,3,0,Dallas Cowboys / 5th / 171st pick / 2018
42,Dorian Williams,23,LB,17,11,230,6-2,Tulane,6/8/2001,1,6,Buffalo Bills / 3rd / 91st pick / 2023
