Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,,Tennessee Titans,24,17,11,148,64,84,1,16,244,104,140,3,-12.59,15.20,2.68
2,Sun,September 15,8:20PM ET,boxscore,L,,1-1,@,Houston Texans,13,19,15,205,134,71,2,15,310,235,75,1,-13.71,7.01,-0.27
3,Sun,September 22,1:00PM ET,boxscore,L,,1-2,@,Indianapolis Colts,16,21,26,395,332,63,3,15,306,156,150,2,-6.47,2.98,-2.36
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,,Los Angeles Rams,24,18,17,264,133,131,,21,322,203,119,2,5.29,0.67,3.65
5,Sun,October 6,1:00PM ET,boxscore,W,,3-2,,Carolina Panthers,36,10,24,424,296,128,,14,292,172,120,3,13.90,10.09,-2.68
6,Sun,October 13,9:30AM ET,boxscore,W,,4-2,,Jacksonville Jaguars,35,16,25,373,221,152,1,17,278,210,68,2,20.35,4.25,-7.15
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 27,4:25PM ET,boxscore,L,,4-3,@,Washington Commanders,15,18,15,307,105,202,1,23,481,313,168,,-3.45,-6.47,4.51
9,Sun,November 3,4:05PM ET,boxscore,L,,4-4,@,Arizona Cardinals,9,29,16,241,172,69,,18,350,137,213,2,-12.48,-1.12,-4.01
10,Sun,November 10,1:00PM ET,boxscore,L,,4-5,,New England Patriots,3,19,11,142,69,73,,16,328,184,144,1,-20.08,-0.04,2.41
11,Sun,November 17,1:00PM ET,boxscore,L,,4-6,,Green Bay Packers,19,20,23,391,212,179,,19,366,260,106,1,16.11,-13.66,-2.17
12,Sun,November 24,1:00PM ET,boxscore,L,OT,4-7,,Minnesota Vikings,27,30,20,398,320,78,1,22,452,328,124,1,3.44,-11.47,3.03
13,Thu,November 28,12:30PM ET,boxscore,L,,4-8,@,Detroit Lions,20,23,17,301,223,78,,25,405,211,194,1,5.48,-11.41,3.46
14,Sun,December 8,4:25PM ET,boxscore,L,,4-9,@,San Francisco 49ers,13,38,14,162,94,68,1,22,452,321,131,1,-8.25,-26.53,9.47
15,Mon,December 16,8:00PM ET,boxscore,L,,4-10,@,Minnesota Vikings,12,30,16,284,171,113,1,24,329,215,114,1,-14.01,-8.32,3.74
16,Sun,December 22,1:00PM ET,boxscore,L,,4-11,,Detroit Lions,17,34,19,382,323,59,2,27,475,329,146,,3.86,-24.06,0.82
17,Thu,December 26,8:15PM ET,boxscore,L,,4-12,,Seattle Seahawks,3,6,11,179,76,103,1,12,265,143,122,1,-12.22,6.51,2.22
18,Sun,January 5,1:00PM ET,boxscore,W,,5-12,@,Green Bay Packers,24,22,16,224,141,83,2,20,367,184,183,2,-8.65,2.71,8.37
