No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
13,Keenan Allen,32,WR,15,15,211,6-2,California,4/27/1992,11,6,San Diego Chargers / 3rd / 76th pick / 2013
72,Kiran Amegadjie,22,OL,6,1,326,6-5,Yale,2/1/2002,Rook,1,Chicago Bears / 3rd / 75th pick / 2024
17,Tyson Bagent,24,QB,4,0,213,6-3,Shepherd,6/8/2000,1,0,
71,Ryan Bates,27,OL,3,2,302,6-4,Penn St.,2/14/1997,5,1,
97,Andrew Billings,29,DL,8,8,311,6-1,Baylor,3/6/1995,7,4,Cincinnati Bengals / 4th / 122nd pick / 2016
39,Josh Blackwell,25,DB,17,1,180,5-11,Duke,4/5/1999,2,2,
35,Khari Blasingame,28,FB,2,0,233,6-0,Vanderbilt,7/1/1996,5,0,
94,Austin Booker,22,DL,17,0,245,6-6,"Minnesota , Kansas",12/14/2002,Rook,1,Chicago Bears / 5th / 144th pick / 2024
75,Larry Borom,25,OL,8,4,333,6-5,Missouri,3/30/1999,3,2,Chicago Bears / 5th / 151st pick / 2021
9,Jaquan Brisker,25,DB,5,5,200,6-1,"Lackawanna , Penn St.",4/20/1999,2,2,Chicago Bears / 2nd / 48th pick / 2022
31,Kevin Byard,31,DB,17,17,212,5-11,Middle Tenn. St.,8/17/1993,8,7,Tennessee Titans / 3rd / 64th pick / 2016
11,DeAndre Carter,31,WR,13,0,190,5-8,Sacramento St.,4/10/1993,6,1,
24,Adrian Colbert,31,DB,5,0,205,6-2,Miami (FL),10/6/1993,7,0,San Francisco 49ers / 7th / 229th pick / 2017
93,Byron Cowart,28,DT,15,7,300,6-3,Maryland,5/20/1996,5,4,New England Patriots / 5th / 159th pick / 2019
73,Jake Curhan,26,OL,10,2,316,6-6,California,7/9/1998,3,1,
46,Scott Daly,30,LS,17,0,245,6-1,Notre Dame,2/7/1994,3,1,
64,Nate Davis,28,OL,5,2,316,6-3,Charlotte,9/23/1996,5,1,Tennessee Titans / 3rd / 82nd pick / 2019
99,Gervon Dexter,23,DL,15,15,312,6-6,Florida,10/5/2001,1,8,Chicago Bears / 2nd / 53rd pick / 2023
49,Tremaine Edmunds,26,LB,17,17,250,6-5,Virginia Tech,5/2/1998,6,9,Buffalo Bills / 1st / 16th pick / 2018
53,T.J. Edwards,28,LB,17,17,242,6-1,Wisconsin,8/12/1996,5,9,
25,Darrynton Evans,26,RB,5,0,203,5-10,Appalachian St.,7/9/1998,4,0,Tennessee Titans / 3rd / 93rd pick / 2020
14,Gerald Everett,30,TE,17,4,252,6-3,South Alabama,6/25/1994,7,0,Los Angeles Rams / 2nd / 44th pick / 2017
64,Jonathan Ford,25,DL,4,0,338,6-5,Auburn,9/29/1999,1,0,Green Bay Packers / 7th / 234th pick / 2022
63,Chris Glaser,25,OL,3,0,306,6-4,Virginia,10/1/1999,1,0,
6,Kyler Gordon,25,DB,15,13,200,6-0,Washington,12/17/1999,2,5,Chicago Bears / 2nd / 39th pick / 2022
92,Daniel Hardy,26,DL,17,0,240,6-3,Montana St.,12/15/1998,2,1,Los Angeles Rams / 7th / 235th pick / 2022
24,Khalil Herbert,26,RB,6,0,212,5-9,"Kansas , Virginia Tech",4/21/1998,3,0,Chicago Bears / 6th / 217th pick / 2021
22,Elijah Hicks,25,DB,12,7,200,5-11,California,10/16/1999,2,3,Chicago Bears / 7th / 254th pick / 2022
20,Travis Homer,26,RB,10,0,202,5-10,Miami (FL),8/7/1998,5,0,Seattle Seahawks / 6th / 204th pick / 2019
76,Teven Jenkins,26,OL,14,14,321,6-6,Oklahoma St.,3/3/1998,3,5,Chicago Bears / 2nd / 39th pick / 2021
80,Collin Johnson,27,WR,9,0,222,6-6,Texas,9/23/1997,4,0,Jacksonville Jaguars / 5th / 165th pick / 2020
1,Jaylon Johnson,25,DB,17,17,196,6-0,Utah,4/19/1999,4,8,Chicago Bears / 2nd / 50th pick / 2020
23,Roschon Johnson,23,RB,14,0,225,6-0,Texas,1/31/2001,1,2,Chicago Bears / 4th / 115th pick / 2023
70,Braxton Jones,25,OL,12,12,310,6-5,Southern Utah,3/27/1999,2,4,Chicago Bears / 5th / 168th pick / 2022
50,Carl Jones,23,LB,1,0,230,6-2,UCLA,8/8/2001,Rook,0,
21,Jaylon Jones,27,DB,8,1,190,5-11,Mississippi,10/14/1997,2,1,
12,Velus Jones Jr.,27,WR,1,0,200,6-0,"USC , Tennessee",5/11/1997,2,0,Chicago Bears / 3rd / 71st pick / 2022
85,Cole Kmet,25,TE,17,16,260,6-6,Notre Dame,3/10/1999,4,4,Chicago Bears / 2nd / 43rd pick / 2020
68,Doug Kramer,26,OL,16,0,300,6-2,Illinois,6/4/1998,1,1,Chicago Bears / 6th / 207th pick / 2022
84,Marcedes Lewis,40,TE,17,4,267,6-6,UCLA,5/19/1984,18,0,Jacksonville Jaguars / 1st / 28th pick / 2006
55,Jacob Martin,29,DL,11,0,242,6-2,Temple,12/11/1995,6,1,Seattle Seahawks / 6th / 186th pick / 2018
2,D.J. Moore,27,WR,17,17,210,5-11,Maryland,4/14/1997,6,9,Carolina Panthers / 1st / 24th pick / 2018
30,Tarvarius Moore,28,S,11,0,200,6-2,Southern Miss,8/16/1996,6,1,San Francisco 49ers / 3rd / 95th pick / 2018
60,Bill Murray,27,OL,3,0,307,6-4,William & Mary,7/3/1997,2,0,
15,Rome Odunze,22,WR,17,12,215,6-3,Washington,6/3/2002,Rook,6,Chicago Bears / 1st / 9th pick / 2024
45,Amen Ogbongbemiga,26,LB,17,0,231,6-0,Oklahoma St.,9/4/1998,3,1,
36,Jonathan Owens,29,S,17,5,210,5-11,Missouri Western St.,7/22/1995,5,3,
96,Zacch Pickens,24,DL,9,3,300,6-4,South Carolina,3/6/2000,1,2,Chicago Bears / 3rd / 64th pick / 2023
79,Matt Pryor,30,OL,17,15,332,6-7,TCU,12/16/1994,5,6,Philadelphia Eagles / 6th / 206th pick / 2018
90,Dominique Robinson,26,DL,6,1,253,6-5,Miami (OH),7/2/1998,2,1,Chicago Bears / 5th / 174th pick / 2022
57,Jack Sanborn,24,LB,17,3,234,6-2,Wisconsin,7/29/2000,2,3,
8,Cairo Santos,33,K,17,0,175,5-8,Tulane,11/12/1991,10,4,
10,Tyler Scott,23,WR,11,0,185,5-11,Cincinnati,10/12/2001,1,0,Chicago Bears / 4th / 133rd pick / 2023
44,Noah Sewell,22,LB,9,0,253,6-2,Oregon,4/26/2002,1,1,Chicago Bears / 5th / 148th pick / 2023
65,Coleman Shelton,29,OL,17,17,285,6-5,Washington,7/28/1995,5,6,
32,Terell Smith,25,DB,14,2,207,6-0,Minnesota,7/27/1999,1,2,Chicago Bears / 5th / 165th pick / 2023
38,Ameer Speed,25,CB,2,0,215,6-3,"Georgia , Michigan St.",10/11/1999,1,0,New England Patriots / 6th / 214th pick / 2023
29,Tyrique Stevenson,24,DB,16,14,204,6-0,"Georgia , Miami (FL)",5/26/2000,1,6,Chicago Bears / 2nd / 56th pick / 2023
27,Reddy Steward,23,CB,1,0,178,5-11,Troy,5/4/2001,Rook,0,
98,Montez Sweat,28,DL,16,16,262,6-6,"Michigan St. , Copiah-Lincoln CC , Mississippi St.",9/4/1996,5,8,Washington Redskins / 1st / 26th pick / 2019
4,D'Andre Swift,25,RB,17,17,215,5-9,Georgia,1/14/1999,4,8,Detroit Lions / 2nd / 35th pick / 2020
52,Darrell Taylor,27,DL,16,0,267,6-4,Tennessee,3/24/1997,3,2,Seattle Seahawks / 2nd / 48th pick / 2020
19,Tory Taylor,27,P,17,0,223,6-4,Iowa,7/10/1997,Rook,4,Chicago Bears / 4th / 122nd pick / 2024
95,DeMarcus Walker,30,DL,17,17,280,6-4,Florida St.,9/30/1994,7,8,Denver Broncos / 2nd / 51st pick / 2017
18,Caleb Williams,23,QB,17,17,215,6-1,"Oklahoma , USC",11/18/2001,Rook,12,Chicago Bears / 1st / 1st pick / 2024
91,Chris Williams,26,DT,17,1,302,6-3,Wagner,6/16/1998,3,2,
58,Darnell Wright,23,OL,16,16,333,6-6,Tennessee,8/10/2001,1,6,Chicago Bears / 1st / 10th pick / 2023
