No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
48,Cal Adomitis,26,LS,17,0,238,6-2,Pittsburgh,7/9/1998,2,1,
83,Erick All,24,TE,9,6,253,6-5,"Michigan , Iowa",9/13/2000,Rook,1,Cincinnati Bengals / 4th / 115th pick / 2024
26,Tycen Anderson,25,S,17,0,209,6-2,Toledo,6/13/1999,1,1,Cincinnati Bengals / 5th / 166th pick / 2022
33,Daijahn Anthony,24,S,13,0,195,6-0,"Shepherd , Liberty , Mississippi",9/9/2000,Rook,1,Cincinnati Bengals / 7th / 224th pick / 2024
49,Joe Bachie,26,LB,12,0,235,6-2,Michigan St.,2/26/1998,4,1,
27,Jordan Battle,24,S,17,6,210,6-1,Alabama,12/14/2000,1,3,Cincinnati Bengals / 3rd / 95th pick / 2023
24,Vonn Bell,30,S,17,11,205,5-11,Ohio St.,12/12/1994,8,4,New Orleans Saints / 2nd / 61st pick / 2016
30,Chase Brown,24,RB,16,10,211,5-10,"Western Michigan , Illinois",3/21/2000,1,10,Cincinnati Bengals / 5th / 163rd pick / 2023
75,Orlando Brown Jr.,28,OT,11,11,345,6-8,Oklahoma,5/2/1996,6,6,Baltimore Ravens / 3rd / 83rd pick / 2018
77,Trent Brown,31,OT,3,3,380,6-8,"Georgia Military , Florida",4/13/1993,9,2,San Francisco 49ers / 7th / 244th pick / 2015
6,Jake Browning,28,QB,3,0,209,6-2,Washington,4/11/1996,1,0,
9,Joe Burrow,28,QB,17,17,215,6-4,"Ohio St. , LSU",12/10/1996,4,16,Cincinnati Bengals / 1st / 1st pick / 2020
81,Jermaine Burton,23,WR,14,1,200,6-0,"Georgia , Alabama",6/28/2001,Rook,1,Cincinnati Bengals / 3rd / 80th pick / 2024
65,Alex Cappa,29,G,17,17,310,6-6,Humboldt St.,1/27/1995,6,8,Tampa Bay Buccaneers / 3rd / 94th pick / 2018
95,Zachary Carter,25,DT,4,2,290,6-4,Florida,4/7/1999,2,1,Cincinnati Bengals / 3rd / 95th pick / 2022
1,Ja'Marr Chase,24,WR,17,16,201,6-0,LSU,3/1/2000,3,16,Cincinnati Bengals / 1st / 5th pick / 2021
76,Devin Cochran,26,OT,9,1,310,6-7,"Vanderbilt , Georgia Tech",7/17/1998,1,1,
,Jalen Davis,28,CB,2,0,190,5-10,Utah St.,2/2/1996,6,0,
59,Akeem Davis-Gaither,27,LB,17,7,228,6-2,Appalachian St.,9/21/1997,4,4,Cincinnati Bengals / 4th / 107th pick / 2020
61,Cody Ford,28,G,16,9,329,6-3,Oklahoma,12/28/1996,5,5,Buffalo Bills / 2nd / 38th pick / 2019
88,Mike Gesicki,29,TE,17,3,252,6-6,Penn St.,10/3/1995,6,6,Miami Dolphins / 2nd / 42nd pick / 2018
85,Cam Grandy,24,TE,8,6,253,6-5,"Missouri Western St. , Illinois St.",11/19/2000,Rook,0,
,Lawrence Guy,34,DT,4,2,315,6-4,Arizona St.,3/17/1990,12,1,Green Bay Packers / 7th / 233rd pick / 2011
91,Trey Hendrickson,30,DE,17,17,270,6-4,Florida Atlantic,12/5/1994,7,15,New Orleans Saints / 3rd / 103rd pick / 2017
56,K.J. Henry,25,DE,2,0,255,6-4,Clemson,1/27/1999,1,0,Washington Commanders / 5th / 137th pick / 2023
34,Khalil Herbert,26,RB,8,1,212,5-9,"Kansas , Virginia Tech",4/21/1998,3,1,Chicago Bears / 6th / 217th pick / 2021
50,Shaka Heyward,24,LB,6,0,238,6-3,Duke,4/19/2000,1,0,
5,Tee Higgins,25,WR,12,9,219,6-4,Clemson,1/18/1999,4,8,Cincinnati Bengals / 2nd / 33rd pick / 2020
92,B.J. Hill,29,DT,15,15,311,6-3,North Carolina St.,4/20/1995,6,6,New York Giants / 3rd / 69th pick / 2018
23,Daxton Hill,24,CB,5,5,191,6-0,Michigan,9/29/2000,2,1,Cincinnati Bengals / 1st / 31st pick / 2022
63,Trey Hill,24,C,1,0,335,6-4,Georgia,1/23/2000,3,0,Cincinnati Bengals / 6th / 190th pick / 2021
21,Mike Hilton,30,CB,16,10,184,5-9,Mississippi,3/9/1994,7,3,
94,Sam Hubbard,29,DE,14,14,265,6-5,Ohio St.,6/23/1995,6,6,Cincinnati Bengals / 3rd / 77th pick / 2018
87,Tanner Hudson,30,TE,11,0,239,6-5,Southern Arkansas,11/12/1994,5,1,
80,Andrei Iosivas,25,WR,17,8,205,6-3,Princeton,10/15/1999,1,4,Cincinnati Bengals / 6th / 206th pick / 2023
16,Trenton Irwin,29,WR,7,2,200,6-2,Stanford,12/10/1995,5,0,
38,DJ Ivey,24,CB,11,0,192,6-1,Miami (FL),2/25/2000,1,1,Cincinnati Bengals / 7th / 246th pick / 2023
93,McKinnley Jackson,23,DT,13,1,331,6-2,Texas A&M,12/26/2001,Rook,1,Cincinnati Bengals / 3rd / 97th pick / 2024
90,Kris Jenkins,23,DT,15,9,305,6-3,Michigan,10/10/2001,Rook,4,Cincinnati Bengals / 2nd / 49th pick / 2024
52,Cedric Johnson,22,DE,9,0,260,6-3,Mississippi,9/6/2002,Rook,1,Cincinnati Bengals / 6th / 214th pick / 2024
15,Charlie Jones,26,WR,8,0,183,6-0,"Buffalo , Iowa , Purdue",10/29/1998,1,1,Cincinnati Bengals / 4th / 131st pick / 2023
64,Ted Karras,31,C,17,17,310,6-4,Illinois,3/15/1993,8,8,New England Patriots / 6th / 221st pick / 2016
60,Jaxson Kirkland,26,G,2,0,328,6-7,Washington,7/30/1998,1,0,
62,Matt Lee,23,C,17,1,301,6-4,"Central Florida , Miami (FL)",6/6/2001,Rook,2,Cincinnati Bengals / 7th / 237th pick / 2024
84,Tanner McLachlan,25,TE,2,0,244,6-5,"Southern Utah , Arizona",3/15/1999,Rook,0,Cincinnati Bengals / 6th / 194th pick / 2024
2,Evan McPherson,25,K,12,0,185,5-11,Florida,7/21/1999,3,1,Cincinnati Bengals / 5th / 149th pick / 2021
36,Kendall Milton,22,RB,2,0,232,6-1,Georgia,2/10/2002,Rook,0,
71,Amarius Mims,22,OT,15,13,340,6-8,Georgia,10/14/2002,Rook,8,Cincinnati Bengals / 1st / 18th pick / 2024
31,Zack Moss,27,RB,8,6,215,5-10,Utah,12/15/1997,4,3,Buffalo Bills / 3rd / 86th pick / 2020
99,Myles Murphy,22,DE,13,0,270,6-5,Clemson,1/3/2002,1,1,Cincinnati Bengals / 1st / 28th pick / 2023
28,Josh Newton,24,CB,17,6,190,5-11,"La-Monroe , TCU",9/14/2000,Rook,2,Cincinnati Bengals / 5th / 149th pick / 2024
45,Maema Njongmeta,23,LB,17,1,230,6-0,Wisconsin,3/9/2001,Rook,2,
58,Joseph Ossai,24,DE,17,3,263,6-4,Texas,4/13/2000,2,2,Cincinnati Bengals / 3rd / 69th pick / 2021
57,Germaine Pratt,28,LB,17,17,250,6-3,North Carolina St.,5/21/1996,5,7,Cincinnati Bengals / 3rd / 72nd pick / 2019
19,Kendric Pryor,26,WR,1,0,189,5-11,Wisconsin,1/6/1998,1,0,
98,Sheldon Rankins,30,DT,7,7,305,6-2,Louisville,4/2/1994,8,3,New Orleans Saints / 1st / 12th pick / 2016
8,Ryan Rehkow,26,P,17,0,235,6-4,BYU,9/11/1998,Rook,3,
89,Drew Sample,28,TE,17,15,255,6-5,Washington,4/16/1996,5,1,Cincinnati Bengals / 2nd / 52nd pick / 2019
22,Geno Stone,25,S,17,17,210,5-11,Iowa,4/19/1999,4,6,Baltimore Ravens / 7th / 219th pick / 2020
,Andrew Stueber,25,OT,7,0,338,6-7,Michigan,7/1/1999,Rook,1,New England Patriots / 7th / 245th pick / 2022
29,Cam Taylor-Britt,25,CB,17,17,202,5-11,Nebraska,10/15/1999,2,6,Cincinnati Bengals / 2nd / 60th pick / 2022
97,Jay Tufele,25,DT,13,3,305,6-3,USC,7/25/1999,3,2,Jacksonville Jaguars / 4th / 106th pick / 2021
20,DJ Turner,24,CB,11,6,180,5-11,Michigan,11/9/2000,1,2,Cincinnati Bengals / 2nd / 60th pick / 2023
67,Cordell Volson,26,G,17,15,315,6-6,North Dakota St.,7/20/1998,2,7,Cincinnati Bengals / 4th / 136th pick / 2022
,Isaiah Williams,23,WR,6,0,186,5-10,Illinois,1/29/2001,Rook,0,
32,Trayveon Williams,27,RB,17,0,206,5-8,Texas A&M,10/18/1997,5,0,Cincinnati Bengals / 6th / 182nd pick / 2019
55,Logan Wilson,28,LB,11,11,245,6-2,Wyoming,7/8/1996,4,5,Cincinnati Bengals / 3rd / 65th pick / 2020
,Marco Wilson,25,CB,6,0,191,6-0,Florida,3/3/1999,3,0,Arizona Cardinals / 4th / 136th pick / 2021
3,Cade York,23,K,5,0,206,6-1,LSU,1/27/2001,2,0,Cleveland Browns / 4th / 124th pick / 2022
