Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:25PM ET,boxscore,W,,1-0,@,Cleveland Browns,33,17,15,265,163,102,,15,230,137,93,2,-5.45,19.86,3.02
2,Sun,September 15,1:00PM ET,boxscore,L,,1-1,,New Orleans Saints,19,44,20,353,285,68,2,24,432,242,190,1,-4.63,-26.86,7.86
3,Sun,September 22,4:25PM ET,boxscore,L,,1-2,,Baltimore Ravens,25,28,26,412,361,51,1,24,456,182,274,,8.34,-20.98,5.94
4,Thu,September 26,8:15PM ET,boxscore,W,,2-2,@,New York Giants,20,15,14,293,213,80,,16,303,277,26,1,5.38,0.76,-2.25
5,Sun,October 6,8:20PM ET,boxscore,W,,3-2,@,Pittsburgh Steelers,20,17,25,445,336,109,3,17,226,134,92,1,11.22,-2.75,-2.98
6,Sun,October 13,4:25PM ET,boxscore,L,,3-3,,Detroit Lions,9,47,16,251,198,53,5,27,492,308,184,,-24.28,-24.40,9.24
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,October 27,8:20PM ET,boxscore,L,,3-4,@,San Francisco 49ers,24,30,18,292,236,56,2,19,469,246,223,,2.84,-12.85,-2.18
9,Sun,November 3,1:00PM ET,boxscore,L,,3-5,@,Atlanta Falcons,21,27,23,378,241,137,,17,310,210,100,1,0.36,-3.85,-0.45
10,Sun,November 10,4:25PM ET,boxscore,L,,3-6,,Philadelphia Eagles,6,34,11,146,49,97,5,24,348,161,187,2,-31.22,-6.18,7.13
11,Mon,November 18,8:15PM ET,boxscore,L,,3-7,,Houston Texans,10,34,24,388,324,64,2,21,391,250,141,1,-11.82,-11.80,4.13
12,Sun,November 24,1:00PM ET,boxscore,W,,4-7,@,Washington Commanders,34,26,19,332,241,91,1,19,412,267,145,3,1.77,-4.31,5.36
13,Thu,November 28,4:30PM ET,boxscore,W,,5-7,,New York Giants,27,20,21,317,195,122,,17,247,131,116,2,3.74,12.90,-9.17
14,Mon,December 9,8:15PM ET,boxscore,L,,5-8,,Cincinnati Bengals,20,27,17,322,166,156,2,23,433,359,74,1,0.91,-10.83,2.06
15,Sun,December 15,1:00PM ET,boxscore,W,,6-8,@,Carolina Panthers,30,14,24,410,199,211,1,16,235,175,60,4,13.16,5.80,1.21
16,Sun,December 22,8:20PM ET,boxscore,W,,7-8,,Tampa Bay Buccaneers,26,24,15,317,286,31,,25,410,276,134,2,-0.21,-5.82,9.00
17,Sun,December 29,1:00PM ET,boxscore,L,,7-9,@,Philadelphia Eagles,7,41,16,268,141,127,4,20,376,197,179,,-14.87,-19.78,2.29
18,Sun,January 5,1:00PM ET,boxscore,L,,7-10,,Washington Commanders,19,23,23,378,228,150,,18,269,156,113,1,2.48,-5.93,2.57
