Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,8:20PM ET,boxscore,W,OT,1-0,,Los Angeles Rams,26,20,21,363,200,163,1,26,387,304,83,1,9.52,-8.78,3.90
2,Sun,September 15,1:00PM ET,boxscore,L,,1-1,,Tampa Bay Buccaneers,16,20,26,463,324,139,2,14,216,146,70,1,3.18,-0.10,-4.12
3,Sun,September 22,4:25PM ET,boxscore,W,,2-1,@,Arizona Cardinals,20,13,23,373,186,187,1,17,277,200,77,1,5.52,5.25,-2.55
4,Mon,September 30,8:15PM ET,boxscore,W,,3-1,,Seattle Seahawks,42,29,21,389,273,116,,38,516,383,133,2,24.24,-15.58,1.69
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 13,4:25PM ET,boxscore,W,,4-1,@,Dallas Cowboys,47,9,27,492,308,184,,16,251,198,53,5,24.40,24.28,-9.24
7,Sun,October 20,1:00PM ET,boxscore,W,,5-1,@,Minnesota Vikings,31,29,19,391,247,144,1,16,383,244,139,1,6.31,-5.48,0.54
8,Sun,October 27,1:00PM ET,boxscore,W,,6-1,,Tennessee Titans,52,14,17,225,61,164,,23,416,258,158,4,11.03,10.20,14.05
9,Sun,November 3,4:25PM ET,boxscore,W,,7-1,@,Green Bay Packers,24,14,17,261,137,124,,20,411,273,138,1,6.20,-3.70,6.04
10,Sun,November 10,8:20PM ET,boxscore,W,,8-1,@,Houston Texans,26,23,19,345,240,105,5,16,248,192,56,2,-4.41,8.28,-1.87
11,Sun,November 17,1:00PM ET,boxscore,W,,9-1,,Jacksonville Jaguars,52,6,38,645,449,196,,10,170,129,41,1,48.70,11.69,-11.65
12,Sun,November 24,1:00PM ET,boxscore,W,,10-1,@,Indianapolis Colts,24,6,26,390,253,137,,11,268,172,96,,12.94,8.39,0.16
13,Thu,November 28,12:30PM ET,boxscore,W,,11-1,,Chicago Bears,23,20,25,405,211,194,1,17,301,223,78,,11.41,-5.48,-3.46
14,Thu,December 5,8:15PM ET,boxscore,W,,12-1,,Green Bay Packers,34,31,27,391,280,111,1,17,298,199,99,1,13.69,-11.75,0.80
15,Sun,December 15,4:25PM ET,boxscore,L,,12-2,,Buffalo Bills,42,48,30,521,473,48,1,28,559,362,197,,26.61,-32.07,-4.46
16,Sun,December 22,1:00PM ET,boxscore,W,,13-2,@,Chicago Bears,34,17,27,475,329,146,,19,382,323,59,2,24.06,-3.86,-0.82
17,Mon,December 30,8:15PM ET,boxscore,W,,14-2,@,San Francisco 49ers,40,34,23,439,287,152,,29,475,400,75,2,24.46,-25.85,8.14
18,Sun,January 5,8:20PM ET,boxscore,W,,15-2,,Minnesota Vikings,31,9,24,394,216,178,2,14,262,142,120,,8.19,14.27,-0.26
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
20,Sat,January 18,8:00PM ET,boxscore,L,,15-3,,Washington Commanders,31,45,30,521,320,201,5,27,481,299,182,,13.75,-27.77,1.72
