Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,,Houston Texans,27,29,14,303,199,104,1,26,417,204,213,,7.56,-16.76,2.53
2,Sun,September 15,1:00PM ET,boxscore,L,,0-2,@,Green Bay Packers,10,16,19,338,198,140,3,19,383,122,261,1,-1.85,-3.59,-1.56
3,Sun,September 22,1:00PM ET,boxscore,W,,1-2,,Chicago Bears,21,16,15,306,156,150,2,26,395,332,63,3,-2.98,6.47,2.36
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,,Pittsburgh Steelers,27,24,22,358,225,133,,23,404,282,122,2,12.91,-2.80,-4.94
5,Sun,October 6,1:00PM ET,boxscore,L,,2-3,@,Jacksonville Jaguars,34,37,25,447,348,99,1,20,497,371,126,2,9.91,-17.27,1.32
6,Sun,October 13,1:00PM ET,boxscore,W,,3-3,@,Tennessee Titans,20,17,20,269,189,80,1,16,241,95,146,1,3.63,-0.43,-0.91
7,Sun,October 20,1:00PM ET,boxscore,W,,4-3,,Miami Dolphins,16,10,16,284,129,155,1,18,337,149,188,2,-5.79,11.55,0.70
8,Sun,October 27,1:00PM ET,boxscore,L,,4-4,@,Houston Texans,20,23,17,303,140,163,2,21,363,267,96,1,-4.41,-1.04,2.91
9,Sun,November 3,8:20PM ET,boxscore,L,,4-5,@,Minnesota Vikings,13,21,13,227,159,68,2,29,415,282,133,3,-9.87,-4.42,4.04
10,Sun,November 10,1:00PM ET,boxscore,L,,4-6,,Buffalo Bills,20,30,19,361,240,121,4,21,415,280,135,2,-6.55,-4.88,1.17
11,Sun,November 17,1:00PM ET,boxscore,W,,5-6,@,New York Jets,28,27,18,332,241,91,1,10,253,162,91,,0.71,2.47,-1.15
12,Sun,November 24,1:00PM ET,boxscore,L,,5-7,,Detroit Lions,6,24,11,268,172,96,,26,390,253,137,,-8.39,-12.94,-0.16
13,Sun,December 1,1:00PM ET,boxscore,W,,6-7,@,New England Patriots,25,24,20,253,109,144,2,23,422,222,200,1,8.79,-12.16,2.11
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 15,4:25PM ET,boxscore,L,,6-8,@,Denver Broncos,13,31,18,310,161,149,5,13,193,121,72,3,-29.19,12.23,0.60
16,Sun,December 22,1:00PM ET,boxscore,W,,7-8,,Tennessee Titans,38,30,19,458,123,335,1,18,307,242,65,3,19.12,-11.64,-2.32
17,Sun,December 29,1:00PM ET,boxscore,L,,7-9,@,New York Giants,33,45,25,446,320,126,3,15,389,309,80,,10.15,-14.78,-10.37
18,Sun,January 5,1:00PM ET,boxscore,W,OT,8-9,,Jacksonville Jaguars,26,23,24,429,252,177,,19,319,206,113,1,8.74,-3.34,-2.66
