No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
95,Adetomiwa Adebawore,23,DT,16,0,282,6-2,Northwestern,3/4/2001,1,1,Indianapolis Colts / 4th / 110th pick / 2023
81,Mo Alie-Cox,31,TE,17,13,267,6-5,Virginia Commonwealth,9/19/1993,6,1,
47,Liam Anderson,24,LB,3,0,226,6-3,Holy Cross,4/30/2000,1,0,
92,Genard Avery,29,DE,1,0,250,6-0,Memphis,4/26/1995,6,0,Cleveland Browns / 5th / 150th pick / 2018
32,Julian Blackmon,26,S,16,16,202,6-0,Utah,8/24/1998,4,6,Indianapolis Colts / 3rd / 85th pick / 2020
60,Tanor Bortolini,22,G,12,5,303,6-4,Wisconsin,6/18/2002,Rook,2,Indianapolis Colts / 4th / 117th pick / 2024
29,Julius Brents,24,CB,2,1,198,6-3,"Iowa , Kansas St.",1/18/2000,1,0,Indianapolis Colts / 2nd / 44th pick / 2023
96,Taven Bryan,28,DT,17,6,291,6-4,Florida,3/11/1996,6,4,Jacksonville Jaguars / 1st / 29th pick / 2018
99,DeForest Buckner,30,DT,12,11,295,6-7,Oregon,3/17/1994,8,5,San Francisco 49ers / 1st / 7th pick / 2016
57,Jaylon Carlies,23,LB,10,6,227,6-3,Missouri,9/13/2001,Rook,3,Indianapolis Colts / 5th / 151st pick / 2024
20,Nick Cross,23,S,17,17,212,6-0,Maryland,9/10/2001,2,6,Indianapolis Colts / 3rd / 96th pick / 2022
98,Raekwon Davis,27,DT,17,0,325,6-7,Alabama,8/21/1997,4,1,Miami Dolphins / 2nd / 56th pick / 2020
43,Trevor Denbow,26,S,8,0,208,5-10,"Navarro , SMU",8/26/1998,2,0,
1,Josh Downs,23,WR,14,8,171,5-9,North Carolina,8/12/2001,1,7,Indianapolis Colts / 3rd / 79th pick / 2023
16,Ashton Dulin,27,WR,15,2,215,6-2,Malone,5/15/1997,5,1,
15,Joe Flacco,39,QB,8,6,230,6-6,"Pittsburgh , Delaware",1/16/1985,16,5,Baltimore Ravens / 1st / 18th pick / 2008
21,Dallis Flowers,27,CB,4,0,196,6-1,"Grand View , Pittsburg St.",6/4/1997,2,0,
37,Tre Flowers,29,CB,1,0,200,6-3,Oklahoma St.,6/2/1995,6,0,Seattle Seahawks / 5th / 146th pick / 2018
44,Zaire Franklin,28,LB,17,17,235,6-0,Syracuse,7/2/1996,6,13,Indianapolis Colts / 7th / 235th pick / 2018
73,Blake Freeland,23,T,9,0,302,6-6,BYU,5/3/2001,1,1,Indianapolis Colts / 4th / 106th pick / 2023
75,Will Fries,26,G,5,5,305,6-6,Penn St.,4/4/1998,3,2,Indianapolis Colts / 7th / 248th pick / 2021
7,Matt Gay,30,K,16,0,232,6-0,Utah,3/15/1994,5,3,Tampa Bay Buccaneers / 5th / 145th pick / 2019
64,Mark Glowinski,32,G,5,5,310,6-4,"Lackawanna , West Virginia",5/3/1992,9,2,Seattle Seahawks / 4th / 134th pick / 2015
71,Matt Goncalves,23,T,17,8,317,6-6,Pittsburgh,1/26/2001,Rook,4,Indianapolis Colts / 3rd / 79th pick / 2024
31,Tyler Goodson,24,RB,16,0,197,5-9,Iowa,11/10/2000,1,1,
93,Adam Gotsis,32,DT,5,0,290,6-4,Georgia Tech,9/23/1992,8,0,Denver Broncos / 2nd / 63rd pick / 2016
6,Anthony Gould,23,WR,8,0,174,5-8,Oregon St.,4/6/2001,Rook,0,Indianapolis Colts / 5th / 142nd pick / 2024
83,Kylen Granson,26,TE,17,6,242,6-3,"Rice , SMU",3/27/1998,3,2,Indianapolis Colts / 4th / 127th pick / 2021
48,Ronnie Harrison,27,S,10,0,207,6-2,Alabama,4/18/1997,6,1,Jacksonville Jaguars / 3rd / 93rd pick / 2018
26,Evan Hull,24,RB,1,0,209,5-10,Northwestern,10/26/2000,1,0,Indianapolis Colts / 5th / 176th pick / 2023
40,Jaylon Jones,22,CB,17,17,203,6-2,Texas A&M,4/3/2002,1,6,Indianapolis Colts / 7th / 221st pick / 2023
38,Kelvin Joseph,25,CB,2,0,195,6-1,"LSU , Kentucky",11/11/1999,3,0,Dallas Cowboys / 2nd / 44th pick / 2021
78,Ryan Kelly,31,C,10,10,307,6-4,Alabama,5/30/1993,8,4,Indianapolis Colts / 1st / 18th pick / 2016
35,Chris Lammons,28,CB,14,1,190,5-10,South Carolina,1/31/1996,5,2,
55,Isaiah Land,24,DE,10,0,225,6-4,Florida A&M,2/5/2000,1,1,
97,Laiatu Latu,24,DE,17,1,265,6-5,"Washington , UCLA",12/31/2000,Rook,2,Indianapolis Colts / 1st / 15th pick / 2024
94,Tyquan Lewis,29,DE,10,4,267,6-3,Ohio St.,1/30/1995,6,2,Indianapolis Colts / 2nd / 64th pick / 2018
34,David Long,26,CB,13,0,196,5-11,Michigan,2/6/1998,5,1,Los Angeles Rams / 3rd / 79th pick / 2019
65,Atonio Mafi,24,G,3,0,330,6-3,UCLA,10/20/2000,1,0,New England Patriots / 5th / 144th pick / 2023
86,Will Mallory,25,TE,10,0,239,6-4,Miami (FL),6/22/1999,1,0,Indianapolis Colts / 5th / 162nd pick / 2023
59,Cameron McGrone,24,LB,9,0,236,6-1,Michigan,6/22/2000,2,1,New England Patriots / 5th / 177th pick / 2021
10,Adonai Mitchell,22,WR,17,7,205,6-2,"Georgia , Texas",10/8/2002,Rook,3,Indianapolis Colts / 2nd / 52nd pick / 2024
23,Kenny Moore,29,CB,15,15,190,5-9,Valdosta St.,8/23/1995,7,6,
56,Quenton Nelson,28,G,17,17,330,6-5,Notre Dame,3/19/1996,6,10,Indianapolis Colts / 1st / 6th pick / 2018
54,Dayo Odeyingbo,25,DE,17,14,286,6-6,Vanderbilt,9/24/1999,3,6,Indianapolis Colts / 2nd / 54th pick / 2021
85,Andrew Ogletree,26,TE,17,6,260,6-5,"Findlay , Youngstown St.",7/28/1998,1,1,Indianapolis Colts / 6th / 192nd pick / 2022
50,Segun Olubi,25,LB,17,0,225,6-0,"Col. of Idaho , Saddleback College , Harding , San Diego St.",11/1/1999,2,1,
51,Kwity Paye,26,DE,15,15,265,6-3,Michigan,11/19/1998,3,7,Indianapolis Colts / 1st / 21st pick / 2021
14,Alec Pierce,24,WR,16,13,211,6-3,Cincinnati,5/2/2000,2,7,Indianapolis Colts / 2nd / 53rd pick / 2022
63,Danny Pinter,28,C,14,2,301,6-4,Ball St.,6/19/1996,4,1,Indianapolis Colts / 5th / 149th pick / 2020
11,Michael Pittman Jr.,27,WR,16,14,223,6-4,USC,10/5/1997,4,7,Indianapolis Colts / 2nd / 34th pick / 2020
79,Bernhard Raimann,27,T,14,14,303,6-6,Central Michigan,9/23/1997,2,6,Indianapolis Colts / 3rd / 77th pick / 2022
46,Luke Rhodes,32,LS,17,0,238,6-2,William & Mary,12/2/1992,8,1,
5,Anthony Richardson,22,QB,11,11,244,6-4,Florida,5/22/2002,1,6,Indianapolis Colts / 1st / 4th pick / 2023
8,Rigoberto Sanchez,30,P,17,0,195,6-0,Hawaii,9/8/1994,7,4,
27,Trey Sermon,25,RB,17,3,215,6-0,"Oklahoma , Ohio St.",1/30/1999,3,2,San Francisco 49ers / 3rd / 88th pick / 2021
3,Spencer Shrader,25,K,1,0,201,6-2,"South Florida , Notre Dame",5/19/1999,Rook,0,
72,Braden Smith,28,T,12,12,312,6-6,Auburn,3/25/1996,6,5,Indianapolis Colts / 2nd / 37th pick / 2018
45,E.J. Speed,29,LB,15,15,227,6-4,Tarleton St.,6/1/1995,5,6,Indianapolis Colts / 5th / 164th pick / 2019
90,Grover Stewart,31,DT,17,17,314,6-4,Albany State (GA),10/20/1993,7,8,Indianapolis Colts / 4th / 144th pick / 2017
41,Grant Stuard,26,LB,17,5,230,5-11,Houston,10/15/1998,3,3,Tampa Bay Buccaneers / 7th / 259th pick / 2021
28,Jonathan Taylor,25,RB,14,13,226,5-10,Wisconsin,1/19/1999,4,9,Indianapolis Colts / 2nd / 41st pick / 2020
