No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
56,Yasir Abdullah,24,LB,14,3,240,6-1,Louisville,4/12/2000,1,2,Jacksonville Jaguars / 5th / 136th pick / 2023
91,Arik Armstead,31,DE,17,1,290,6-7,Oregon,11/15/1993,9,1,San Francisco 49ers / 1st / 17th pick / 2015
4,Tank Bigsby,23,RB,16,1,215,5-11,Auburn,8/30/2001,1,5,Jacksonville Jaguars / 3rd / 88th pick / 2023
21,Christian Braswell,25,CB,3,0,185,5-11,Rutgers,9/27/1999,1,0,Jacksonville Jaguars / 6th / 202nd pick / 2023
30,Montaric Brown,25,CB,17,10,190,6-0,Arkansas,8/24/1999,2,4,Jacksonville Jaguars / 7th / 222nd pick / 2022
3,Tyson Campbell,24,CB,12,12,195,6-1,Georgia,3/17/2000,3,4,Jacksonville Jaguars / 2nd / 33rd pick / 2021
80,Joshua Cephus,23,WR,1,0,193,6-2,Texas-San Antonio,3/5/2001,Rook,0,
5,Andre Cisco,24,S,16,14,210,6-0,Syracuse,3/23/2000,3,5,Jacksonville Jaguars / 3rd / 65th pick / 2021
76,Ezra Cleveland,26,OL,15,15,312,6-6,Boise St.,5/8/1998,4,6,Minnesota Vikings / 2nd / 58th pick / 2020
59,Myles Cole,24,DE,8,0,278,6-6,"La-Monroe , Texas Tech",4/29/2000,Rook,0,Jacksonville Jaguars / 7th / 236th pick / 2024
54,DJ Coleman,26,DE,1,0,283,6-5,"Jacksonville St. , Missouri",9/2/1998,Rook,0,
9,Logan Cooke,29,P,17,0,230,6-5,Mississippi St.,7/28/1995,6,4,Jacksonville Jaguars / 7th / 247th pick / 2018
14,Elijah Cooks,26,WR,2,0,215,6-4,"Nevada , San Jose St.",10/13/1998,1,0,
25,Ronald Darby,30,CB,13,12,193,5-11,Florida St.,1/2/1994,9,4,Buffalo Bills / 2nd / 50th pick / 2015
0,Gabriel Davis,25,WR,10,9,225,6-2,Central Florida,4/1/1999,4,2,Buffalo Bills / 4th / 128th pick / 2020
81,Josiah Deguara,27,TE,15,0,238,6-2,Cincinnati,2/14/1997,4,0,Green Bay Packers / 3rd / 94th pick / 2020
12,Devin Duvernay,27,WR,13,1,202,5-11,Texas,9/12/1997,4,1,Baltimore Ravens / 3rd / 92nd pick / 2020
34,Terrell Edmunds,27,S,1,0,217,6-1,Virginia Tech,1/20/1997,6,0,Pittsburgh Steelers / 1st / 28th pick / 2018
17,Evan Engram,30,TE,9,9,240,6-3,Mississippi,9/2/1994,7,3,New York Giants / 1st / 23rd pick / 2017
1,Travis Etienne,25,RB,15,15,215,5-10,Clemson,1/26/1999,2,5,Jacksonville Jaguars / 1st / 25th pick / 2021
89,Luke Farrell,27,TE,17,8,250,6-5,Ohio St.,10/14/1997,3,1,Jacksonville Jaguars / 5th / 145th pick / 2021
37,Tre Flowers,29,CB,4,0,200,6-3,Oklahoma St.,6/2/1995,6,0,Seattle Seahawks / 5th / 146th pick / 2018
79,Luke Fortner,26,OL,17,0,307,6-4,Kentucky,5/15/1998,2,1,Jacksonville Jaguars / 3rd / 65th pick / 2022
62,Javon Foster,24,OL,4,0,313,6-6,Missouri,3/31/2000,Rook,0,Jacksonville Jaguars / 4th / 114th pick / 2024
97,Joe Gaziano,28,DE,3,0,280,6-4,Northwestern,9/27/1996,4,0,
43,Joe Giles-Harris,27,LB,2,0,234,6-2,Duke,4/1/1997,5,0,
52,DaVon Hamilton,27,DT,17,14,335,6-4,Ohio St.,2/1/1997,4,5,Jacksonville Jaguars / 3rd / 73rd pick / 2020
73,Blake Hance,28,OL,9,1,310,6-5,Northwestern,1/11/1996,3,1,
77,Anton Harrison,22,OL,16,16,315,6-4,Oklahoma,2/2/2002,1,7,Jacksonville Jaguars / 1st / 27th pick / 2023
41,Josh Hines-Allen,27,DE,16,16,255,6-5,Kentucky,7/13/1997,5,7,Jacksonville Jaguars / 1st / 7th pick / 2019
75,Cooper Hodges,24,OL,9,1,305,6-4,Appalachian St.,7/13/2000,1,1,Jacksonville Jaguars / 7th / 226th pick / 2023
35,Matthew Jackson,26,CB,1,0,209,6-1,Eastern Kentucky,11/9/1998,1,0,
98,Jordan Jefferson,23,DT,8,0,316,6-2,"West Virginia , LSU",9/24/2001,Rook,1,Jacksonville Jaguars / 4th / 116th pick / 2024
26,Antonio Johnson,23,S,17,8,198,6-2,Texas A&M,10/29/2001,1,3,Jacksonville Jaguars / 5th / 160th pick / 2023
57,Caleb Johnson,26,LB,17,0,220,6-2,Houston Christian,7/28/1998,3,1,
2,D'Ernest Johnson,28,RB,14,1,208,5-10,South Florida,2/27/1996,5,2,
22,Jarrian Jones,23,CB,17,4,190,5-11,"Mississippi St. , Florida St.",5/8/2001,Rook,2,Jacksonville Jaguars / 3rd / 96th pick / 2024
10,Mac Jones,26,QB,10,7,220,6-3,Alabama,9/5/1998,3,3,New England Patriots / 1st / 15th pick / 2021
15,Tim Jones,26,WR,17,0,200,6-1,Southern Miss,5/16/1998,2,0,
13,Christian Kirk,28,WR,8,7,200,5-11,Texas A&M,11/18/1996,6,3,Arizona Cardinals / 2nd / 47th pick / 2018
93,Tyler Lacy,25,DT,13,8,279,6-4,Oklahoma St.,11/10/1999,1,3,Jacksonville Jaguars / 4th / 130th pick / 2023
16,Trevor Lawrence,25,QB,10,10,220,6-6,Clemson,10/6/1999,3,6,Jacksonville Jaguars / 1st / 1st pick / 2021
