No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
97,Felix Anudike-Uzomah,22,DE,17,3,255,6-4,Kansas St.,1/24/2002,1,3,Kansas City Chiefs / 1st / 31st pick / 2023
14,Matt Araiza,24,P,17,0,200,6-1,San Diego St.,5/16/2000,1,3,Buffalo Bills / 6th / 180th pick / 2022
32,Nick Bolton,24,LB,16,16,237,5-11,Missouri,3/10/2000,3,8,Kansas City Chiefs / 2nd / 58th pick / 2021
50,Swayze Bozeman,26,LB,3,0,224,6-1,"Copiah-Lincoln CC , Southern Miss",11/2/1998,Rook,0,
5,Marquise Brown,27,WR,2,1,180,5-9,"College of the Canyons (CA) , Oklahoma",6/4/1997,5,1,Baltimore Ravens / 1st / 25th pick / 2019
26,Deon Bush,31,DB,2,0,200,6-0,Miami (FL),8/14/1993,8,0,Chicago Bears / 4th / 124th pick / 2016
7,Harrison Butker,29,K,13,0,205,6-4,Georgia Tech,7/14/1995,7,2,Carolina Panthers / 7th / 233rd pick / 2017
66,Mike Caliendo,27,OL,17,3,301,6-4,Western Michigan,10/21/1997,1,2,
54,Leo Chenal,24,LB,17,14,250,6-3,Wisconsin,10/26/2000,2,6,Kansas City Chiefs / 3rd / 103rd pick / 2022
,Cole Christiansen,27,LB,9,0,230,6-1,Army,7/30/1997,4,1,
43,Jack Cochrane,25,LB,15,0,236,6-3,South Dakota,2/9/1999,2,1,
27,Chamarri Conner,24,DB,15,9,202,6-0,Virginia Tech,7/11/2000,1,4,Kansas City Chiefs / 4th / 119th pick / 2023
6,Bryan Cook,25,S,17,17,206,6-1,"Howard , Cincinnati",9/7/1999,2,6,Kansas City Chiefs / 2nd / 62nd pick / 2022
47,Baylor Cupp,24,TE,1,0,243,6-6,"Texas A&M , Texas Tech",5/10/2000,Rook,0,
51,Michael Danna,27,DE,13,12,257,6-2,"Central Michigan , Michigan",12/1/1997,4,5,Kansas City Chiefs / 5th / 177th pick / 2020
75,Ethan Driskell,24,OT,2,0,313,6-8,Marshall,6/29/2000,Rook,0,
0,Anthony Firkser,29,TE,3,0,241,6-2,Harvard,2/19/1995,6,0,
89,Jody Fortson,29,TE,3,0,235,6-4,Valdosta St.,12/7/1995,3,0,
83,Noah Gray,25,TE,17,10,240,6-3,Duke,4/30/1999,3,4,Kansas City Chiefs / 5th / 162nd pick / 2021
61,C.J. Hanson,23,OL,1,0,300,6-5,Holy Cross,3/3/2001,Rook,0,Kansas City Chiefs / 7th / 248th pick / 2024
17,Mecole Hardman,26,WR,12,0,187,5-10,Georgia,3/12/1998,5,1,Kansas City Chiefs / 2nd / 56th pick / 2019
88,Peyton Hendershot,25,TE,7,1,254,6-4,Indiana,4/23/1999,2,0,
94,Malik Herring,27,DE,12,0,275,6-3,Georgia,11/9/1997,2,1,
21,Jaden Hicks,22,DB,17,1,215,6-1,Washington St.,8/16/2002,Rook,2,Kansas City Chiefs / 4th / 133rd pick / 2024
,DeAndre Hopkins,32,WR,10,5,212,6-1,Clemson,6/6/1992,11,4,Houston Texans / 1st / 27th pick / 2013
52,Creed Humphrey,25,C,17,17,302,6-4,Oklahoma,6/28/1999,3,12,Kansas City Chiefs / 2nd / 63rd pick / 2021
,D.J. Humphries,31,OL,2,2,307,6-5,Florida,12/28/1993,8,1,Arizona Cardinals / 1st / 24th pick / 2015
29,Kareem Hunt,29,RB,13,8,216,5-11,Toledo,8/6/1995,7,5,Kansas City Chiefs / 3rd / 86th pick / 2017
38,Keaontay Ingram,25,RB,1,0,220,6-0,"Texas , USC",10/26/1999,2,0,Arizona Cardinals / 6th / 201st pick / 2022
13,Nazeeh Johnson,26,S,16,6,199,5-10,Marshall,7/17/1998,2,2,Kansas City Chiefs / 7th / 259th pick / 2022
44,Cam Jones,25,LB,17,1,227,6-2,Indiana,10/21/1999,1,2,
95,Chris Jones,30,DT,15,15,310,6-6,Mississippi St.,7/3/1994,8,16,Kansas City Chiefs / 2nd / 37th pick / 2016
,Nic Jones,23,CB,1,0,189,6-0,Ball St.,10/15/2001,1,0,Kansas City Chiefs / 7th / 250th pick / 2023
