No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
,Tucker Addington,27,LS,1,0,230,6-2,Sam Houston St.,7/16/1997,2,0,
60,David Andrews,32,C,4,4,300,6-2,Georgia,7/10/1992,9,1,
28,Alex Austin,23,CB,9,3,191,6-1,Oregon St.,5/22/2001,1,1,Buffalo Bills / 7th / 252nd pick / 2023
6,Javon Baker,22,WR,11,1,202,6-1,"Alabama , Central Florida",2/18/2002,Rook,0,New England Patriots / 4th / 110th pick / 2024
51,Keshawn Banks,25,LB,3,0,251,6-3,San Diego St.,12/21/1999,1,0,
17,Bryce Baringer,25,P,17,0,215,6-2,Michigan St.,4/26/1999,1,4,New England Patriots / 6th / 192nd pick / 2023
90,Christian Barmore,25,DT,4,0,315,6-5,Alabama,7/28/1999,3,0,New England Patriots / 2nd / 38th pick / 2021
35,Miles Battle,24,CB,1,0,196,6-3,"Mississippi , Utah",1/4/2000,Rook,0,
88,Jaheim Bell,23,TE,15,0,241,6-2,"South Carolina , Florida St.",6/14/2001,Rook,0,New England Patriots / 7th / 231st pick / 2024
8,Ja'Whaun Bentley,28,LB,2,2,250,6-2,Purdue,8/24/1996,6,1,New England Patriots / 5th / 143rd pick / 2018
29,Isaiah Bolden,25,CB,14,0,205,6-2,"Florida St. , Jackson St.",12/16/1999,1,1,New England Patriots / 7th / 245th pick / 2023
84,Kendrick Bourne,29,WR,12,9,205,6-1,Eastern Washington,8/4/1995,7,3,
9,Kayshon Boutte,22,WR,15,13,197,5-11,LSU,5/7/2002,1,5,New England Patriots / 6th / 187th pick / 2023
7,Jacoby Brissett,32,QB,8,5,235,6-4,"Florida , North Carolina St.",12/11/1992,8,0,New England Patriots / 3rd / 91st pick / 2016
77,Ben Brown,26,C,10,10,313,6-5,Mississippi,5/19/1998,1,3,
49,Joe Cardona,32,LS,16,0,245,6-2,Navy,4/16/1992,9,1,New England Patriots / 5th / 166th pick / 2015
,Lester Cotton,28,G,3,0,330,6-4,Alabama,2/20/1996,5,0,
