No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
17,Davante Adams,32,WR,11,11,215,6-1,Fresno St.,12/24/1992,10,8,Green Bay Packers / 2nd / 53rd pick / 2014
22,Tony Adams,25,S,15,11,203,5-11,Illinois,1/24/1999,2,4,
0,Braelon Allen,20,RB,17,2,235,6-1,Wisconsin,1/20/2004,Rook,3,New York Jets / 4th / 134th pick / 2024
69,Zack Bailey,29,OL,1,0,299,6-5,South Carolina,11/8/1995,2,0,
84,Brenden Bates,25,TE,5,0,255,6-5,Kentucky,10/17/1999,Rook,0,
29,Jarrick Bernard-Converse,24,CB,7,0,205,6-1,"Oklahoma St. , LSU",4/29/2000,1,0,New York Jets / 6th / 204th pick / 2023
,Anders Carlson,26,K,5,0,219,6-5,Auburn,6/16/1998,1,1,Green Bay Packers / 6th / 207th pick / 2023
30,Michael Carter II,25,CB,13,1,184,5-10,Duke,3/8/1999,3,1,New York Jets / 5th / 154th pick / 2021
19,Irvin Charles,27,WR,13,0,219,6-4,"Penn St. , Indiana (PA)",4/13/1997,1,0,
36,Chuck Clark,29,S,12,12,209,6-0,Virginia Tech,4/19/1995,7,4,Baltimore Ravens / 6th / 186th pick / 2017
72,Micheal Clemons,27,DL,17,17,263,6-5,"Cisco (TX) , Texas A&M",8/21/1997,2,7,New York Jets / 4th / 117th pick / 2022
83,Tyler Conklin,29,TE,16,15,248,6-3,Central Michigan,7/30/1995,6,4,Minnesota Vikings / 5th / 157th pick / 2018
14,Malachi Corley,22,WR,9,1,215,5-11,Western Kentucky,3/21/2002,Rook,0,New York Jets / 3rd / 65th pick / 2024
21,Ashtyn Davis,28,S,15,1,202,6-1,California,10/10/1996,4,2,New York Jets / 3rd / 68th pick / 2020
32,Isaiah Davis,22,RB,17,0,220,6-1,South Dakota St.,2/21/2002,Rook,2,New York Jets / 5th / 173rd pick / 2024
26,Brandin Echols,27,CB,16,4,179,5-10,"Northwest Mississippi CC , Kentucky",10/16/1997,3,3,New York Jets / 6th / 200th pick / 2021
52,Samuel Eguavoen,31,LB,17,1,236,6-1,Texas Tech,2/22/1993,5,2,
74,Olumuyiwa Fashanu,22,OL,15,7,312,6-6,Penn St.,12/9/2002,Rook,4,New York Jets / 1st / 11th pick / 2024
48,Anthony Firkser,29,TE,4,0,241,6-2,Harvard,2/19/1995,6,0,
92,Leki Fotu,26,DT,2,1,335,6-5,Utah,8/23/1998,4,0,Arizona Cardinals / 4th / 114th pick / 2020
1,Sauce Gardner,24,CB,15,15,190,6-3,Cincinnati,8/31/2000,2,5,New York Jets / 1st / 4th pick / 2022
82,Xavier Gipson,23,WR,17,0,189,5-9,S.F. Austin,3/8/2001,1,0,
20,Breece Hall,23,RB,16,16,217,5-11,Iowa St.,5/31/2001,2,9,New York Jets / 2nd / 36th pick / 2022
62,Jake Hanson,27,OL,12,2,303,6-4,Oregon,4/29/1997,3,2,Green Bay Packers / 6th / 208th pick / 2020
98,Bruce Hector,30,DL,6,0,296,6-2,South Florida,10/7/1994,6,0,
42,Thomas Hennessy,30,LS,17,0,246,6-2,Duke,6/11/1994,7,1,
97,Jalyn Holmes,28,DL,5,0,283,6-5,Ohio St.,1/25/1996,6,0,Minnesota Vikings / 4th / 102nd pick / 2018
11,Jermaine Johnson II,25,LB,2,2,254,6-5,"Independence (KS) , Georgia , Florida St.",1/7/1999,2,1,New York Jets / 1st / 26th pick / 2022
40,Greg Joseph,30,K,1,0,206,6-0,Florida Atlantic,8/4/1994,6,0,
54,Javon Kinlaw,27,DT,17,17,319,6-5,South Carolina,10/3/1997,4,8,San Francisco 49ers / 1st / 14th pick / 2020
81,Zack Kuntz,25,TE,1,0,251,6-8,"Penn St. , Old Dominion",6/6/1999,1,0,New York Jets / 7th / 220th pick / 2023
10,Allen Lazard,29,WR,12,10,227,6-5,Iowa St.,12/11/1995,6,5,
70,Alec Lindstrom,26,C,1,0,300,6-3,Boston Col.,7/7/1998,1,0,
41,Marcelino McCrary-Ball,25,LB,12,0,214,6-0,Indiana,3/23/1999,1,1,
99,Will McDonald,25,DE,17,15,236,6-4,Iowa St.,6/4/1999,1,7,New York Jets / 1st / 15th pick / 2023
,Connor McGovern,31,C,1,0,306,6-4,Missouri,4/27/1993,7,0,Denver Broncos / 5th / 144th pick / 2016
91,Braiden McGregor,23,DE,7,0,267,6-6,Michigan,7/12/2001,Rook,0,
93,Takkarist McKinley,29,DL,7,0,250,6-2,UCLA,11/2/1995,7,1,Atlanta Falcons / 1st / 26th pick / 2017
35,Jalen Mills,30,S,9,8,200,6-0,LSU,4/6/1994,8,3,Philadelphia Eagles / 7th / 233rd pick / 2016
61,Max Mitchell,25,OL,10,2,307,6-6,Louisiana,10/12/1999,2,1,New York Jets / 4th / 111th pick / 2022
39,Jarius Monroe,24,S,5,0,205,6-2,"Nicholls St. , Tulane",10/6/2000,Rook,0,
6,Thomas Morstead,38,P,17,0,225,6-4,SMU,3/8/1986,15,3,New Orleans Saints / 5th / 164th pick / 2009
78,Morgan Moses,33,OL,14,14,318,6-6,Virginia,3/3/1991,10,6,Washington Redskins / 3rd / 66th pick / 2014
57,C.J. Mosley,32,LB,4,3,231,6-2,Alabama,6/19/1992,10,1,Baltimore Ravens / 1st / 17th pick / 2014
65,Xavier Newman-Johnson,25,OL,9,0,297,6-2,Baylor,8/4/1999,2,1,
34,Kene Nwangwu,26,RB,2,0,210,6-1,Iowa St.,2/9/1998,3,1,Minnesota Vikings / 4th / 119th pick / 2021
23,Isaiah Oliver,28,CB,17,7,202,6-0,Colorado,9/30/1996,6,3,Atlanta Falcons / 2nd / 58th pick / 2018
46,Riley Patterson,25,K,1,0,190,6-0,Memphis,9/7/1999,3,0,
7,Haason Reddick,30,LB,10,2,240,6-1,Temple,9/22/1994,7,1,Arizona Cardinals / 1st / 13th pick / 2017
4,D.J. Reed,28,CB,14,14,188,5-9,Kansas St.,11/11/1996,6,5,San Francisco 49ers / 5th / 142nd pick / 2018
8,Aaron Rodgers,41,QB,17,17,223,6-2,"Butte JC (CA) , California",12/2/1983,19,12,Green Bay Packers / 1st / 24th pick / 2005
