No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
57,Montravius Adams,29,DT,11,0,304,6-4,Auburn,7/24/1995,7,1,Green Bay Packers / 3rd / 93rd pick / 2017
4,Kyle Allen,28,QB,1,0,210,6-3,"Texas A&M , Houston",3/8/1996,6,0,
,Calvin Anderson,28,OT,4,0,305,6-5,"Rice , Texas",3/25/1996,4,0,
74,Spencer Anderson,24,OL,17,4,305,6-5,Maryland,6/7/2000,1,2,Pittsburgh Steelers / 7th / 251st pick / 2023
19,Calvin Austin III,25,WR,17,8,162,5-9,Memphis,3/24/1999,1,6,Pittsburgh Steelers / 4th / 138th pick / 2022
95,Keeanu Benton,23,DL,17,14,309,6-4,Wisconsin,7/17/2001,1,7,Pittsburgh Steelers / 2nd / 49th pick / 2023
30,Beanie Bishop,25,CB,17,6,182,5-9,"Western Kentucky , Minnesota , West Virginia",12/17/1999,Rook,4,
9,Chris Boswell,33,K,17,0,185,6-2,Rice,3/16/1991,9,6,
78,James Daniels,27,OL,4,4,327,6-4,Iowa,9/13/1997,6,2,Chicago Bears / 2nd / 39th pick / 2018
38,Terrell Edmunds,27,S,5,0,217,6-1,Virginia Tech,1/20/1997,6,0,Pittsburgh Steelers / 1st / 28th pick / 2018
25,DeShon Elliott,27,S,15,14,210,6-0,Texas,4/21/1997,5,6,Baltimore Ravens / 6th / 190th pick / 2018
34,Jalen Elliott,26,S,2,0,205,6-1,Notre Dame,7/7/1998,3,0,
76,Troy Fautanu,24,OT,1,1,317,6-4,Washington,10/11/2000,Rook,0,Pittsburgh Steelers / 1st / 20th pick / 2024
2,Justin Fields,25,QB,10,6,227,6-3,"Georgia , Ohio St.",3/5/1999,3,6,Chicago Bears / 1st / 11th pick / 2021
39,Minkah Fitzpatrick,28,S,17,17,207,6-1,Alabama,11/17/1996,6,8,Miami Dolphins / 1st / 11th pick / 2018
54,Zach Frazier,23,C,15,15,310,6-3,West Virginia,8/29/2001,Rook,6,Pittsburgh Steelers / 2nd / 51st pick / 2024
88,Pat Freiermuth,26,TE,17,11,258,6-5,Penn St.,10/25/1998,3,6,Pittsburgh Steelers / 2nd / 55th pick / 2021
37,Thomas Graham,25,DB,1,0,196,5-10,Oregon,6/26/1999,3,0,Chicago Bears / 6th / 228th pick / 2021
22,Najee Harris,26,RB,17,17,242,6-1,Alabama,3/9/1998,3,8,Pittsburgh Steelers / 1st / 24th pick / 2021
51,Nick Herbig,23,LB,13,5,240,6-2,Wisconsin,11/21/2001,1,4,Pittsburgh Steelers / 4th / 132nd pick / 2023
97,Cameron Heyward,35,DT,17,17,295,6-5,Ohio St.,5/6/1989,13,16,Pittsburgh Steelers / 1st / 31st pick / 2011
83,Connor Heyward,25,TE,17,5,230,6-0,Michigan St.,1/22/1999,2,0,Pittsburgh Steelers / 6th / 208th pick / 2022
56,Alex Highsmith,27,LB,11,11,242,6-4,Charlotte,8/7/1997,4,5,Pittsburgh Steelers / 3rd / 102nd pick / 2020
26,Donte Jackson,29,CB,15,15,180,5-10,LSU,11/8/1995,6,6,Carolina Panthers / 2nd / 55th pick / 2018
11,Van Jefferson,28,WR,17,12,200,6-1,"Mississippi , Florida",7/26/1996,4,3,Los Angeles Rams / 2nd / 57th pick / 2020
89,Brandon Johnson,26,WR,3,0,195,6-2,"Tennessee , Central Florida",7/26/1998,2,0,
5,Cameron Johnston,32,P,1,0,194,5-11,Ohio St.,2/24/1992,6,0,
77,Broderick Jones,23,OT,17,16,311,6-5,Georgia,5/16/2001,1,8,Pittsburgh Steelers / 1st / 14th pick / 2023
23,Damontae Kazee,31,S,15,1,174,5-11,San Diego St.,6/5/1993,7,1,Atlanta Falcons / 5th / 149th pick / 2017
28,Miles Killebrew,31,S,17,0,222,6-2,Southern Utah,5/10/1993,8,3,Detroit Lions / 4th / 111th pick / 2016
46,Christian Kuntz,30,LS,17,0,228,6-1,Duquesne,4/13/1994,3,1,
