Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,September 9,8:15PM ET,boxscore,W,,1-0,,New York Jets,32,19,24,401,221,180,,14,266,198,68,2,11.24,2.83,0.93
2,Sun,September 15,1:00PM ET,boxscore,L,,1-1,@,Minnesota Vikings,17,23,24,396,294,102,2,17,403,257,146,2,0.86,-3.76,-4.39
3,Sun,September 22,4:25PM ET,boxscore,L,,1-2,@,Los Angeles Rams,24,27,25,425,288,137,1,19,296,198,98,,19.10,-15.13,-3.14
4,Sun,September 29,4:05PM ET,boxscore,W,,2-2,,New England Patriots,30,13,19,431,283,148,2,12,216,143,73,3,11.48,24.17,-16.28
5,Sun,October 6,4:05PM ET,boxscore,L,,2-3,,Arizona Cardinals,23,24,22,384,231,153,3,19,358,189,169,1,-0.37,-5.15,4.89
6,Thu,October 10,8:15PM ET,boxscore,W,,3-3,@,Seattle Seahawks,36,24,21,483,255,228,,22,358,306,52,3,19.50,-0.59,-7.06
7,Sun,October 20,4:25PM ET,boxscore,L,,3-4,,Kansas City Chiefs,18,28,19,310,209,101,3,22,329,145,184,2,-4.03,-5.57,-2.89
8,Sun,October 27,8:20PM ET,boxscore,W,,4-4,,Dallas Cowboys,30,24,19,469,246,223,,18,292,236,56,2,12.85,-2.84,2.18
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,November 10,1:00PM ET,boxscore,W,,5-4,@,Tampa Bay Buccaneers,23,20,24,413,338,75,1,18,215,105,110,,18.50,-0.91,-15.44
11,Sun,November 17,4:05PM ET,boxscore,L,,5-5,,Seattle Seahawks,17,20,21,277,146,131,1,19,289,195,94,1,4.48,-3.33,-1.86
12,Sun,November 24,4:25PM ET,boxscore,L,,5-6,@,Green Bay Packers,10,38,11,241,197,44,3,22,325,156,169,,-19.42,-12.20,2.13
13,Sun,December 1,8:20PM ET,boxscore,L,,5-7,@,Buffalo Bills,10,35,15,239,86,153,3,20,372,152,220,,-5.31,-19.20,0.58
14,Sun,December 8,4:25PM ET,boxscore,W,,6-7,,Chicago Bears,38,13,22,452,321,131,1,14,162,94,68,1,26.53,8.25,-9.47
15,Thu,December 12,8:15PM ET,boxscore,L,,6-8,,Los Angeles Rams,6,12,11,191,128,63,1,14,302,160,142,,-14.31,4.30,3.29
16,Sun,December 22,4:25PM ET,boxscore,L,,6-9,@,Miami Dolphins,17,29,20,374,293,81,1,21,381,215,166,,3.96,-11.08,-3.97
17,Mon,December 30,8:15PM ET,boxscore,L,,6-10,,Detroit Lions,34,40,29,475,400,75,2,23,439,287,152,,25.85,-24.46,-8.14
18,Sun,January 5,4:25PM ET,boxscore,L,,6-11,@,Arizona Cardinals,24,47,26,436,298,138,3,26,393,242,151,,4.86,-24.10,-2.64
