Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,@,Chicago Bears,17,24,16,244,104,140,3,11,148,64,84,1,-15.20,12.59,-2.68
2,Sun,September 15,1:00PM ET,boxscore,L,,0-2,,New York Jets,17,24,20,300,170,130,2,16,265,164,101,,1.62,-5.83,-1.94
3,Sun,September 22,1:00PM ET,boxscore,L,,0-3,,Green Bay Packers,14,30,18,237,204,33,3,16,378,190,188,,-9.81,-4.57,0.24
4,Mon,September 30,7:30PM ET,boxscore,W,,1-3,@,Miami Dolphins,31,12,16,244,102,142,1,13,184,78,106,1,-4.49,18.65,4.18
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,October 13,1:00PM ET,boxscore,L,,1-4,,Indianapolis Colts,17,20,16,241,95,146,1,20,269,189,80,1,0.43,-3.63,0.91
7,Sun,October 20,1:00PM ET,boxscore,L,,1-5,@,Buffalo Bills,10,34,18,289,200,89,2,18,389,315,74,,-12.71,-15.86,4.40
8,Sun,October 27,1:00PM ET,boxscore,L,,1-6,@,Detroit Lions,14,52,23,416,258,158,4,17,225,61,164,,-10.20,-11.03,-14.05
9,Sun,November 3,1:00PM ET,boxscore,W,OT,2-6,,New England Patriots,20,17,24,400,233,167,1,20,295,185,110,3,5.69,5.06,-5.69
10,Sun,November 10,4:05PM ET,boxscore,L,,2-7,@,Los Angeles Chargers,17,27,19,289,157,132,,23,309,164,145,,7.48,-14.29,-0.84
11,Sun,November 17,1:00PM ET,boxscore,L,,2-8,,Minnesota Vikings,13,23,11,294,261,33,1,24,318,236,82,1,-7.51,-5.25,3.94
12,Sun,November 24,1:00PM ET,boxscore,W,,3-8,@,Houston Texans,32,27,19,369,237,132,3,12,260,220,40,2,-5.50,8.16,4.49
13,Sun,December 1,1:00PM ET,boxscore,L,,3-9,@,Washington Commanders,19,42,12,245,210,35,2,29,463,196,267,1,-7.00,-28.94,7.42
14,Sun,December 8,1:00PM ET,boxscore,L,,3-10,,Jacksonville Jaguars,6,10,17,272,146,126,,16,291,220,71,2,-9.43,1.81,1.21
15,Sun,December 15,1:00PM ET,boxscore,L,,3-11,,Cincinnati Bengals,27,37,25,374,291,83,6,24,370,269,101,4,-1.11,-12.25,5.63
16,Sun,December 22,1:00PM ET,boxscore,L,,3-12,@,Indianapolis Colts,30,38,18,307,242,65,3,19,458,123,335,1,11.64,-19.12,2.32
17,Sun,December 29,1:00PM ET,boxscore,L,,3-13,@,Jacksonville Jaguars,13,20,23,337,178,159,1,18,295,173,122,,3.03,-7.91,-2.11
18,Sun,January 5,1:00PM ET,boxscore,L,,3-14,,Houston Texans,14,23,14,314,229,85,1,18,374,167,207,1,-9.00,-7.70,2.85
