Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:25PM ET,boxscore,L,,0-1,@,Tampa Bay Buccaneers,20,37,22,299,161,138,,22,392,280,112,,9.77,-22.08,-6.66
2,Sun,September 15,1:00PM ET,boxscore,W,,1-1,,New York Giants,21,18,22,425,210,215,,18,304,175,129,1,11.88,-6.93,0.31
3,Mon,September 23,8:15PM ET,boxscore,W,,2-1,@,Cincinnati Bengals,38,33,22,356,248,108,,30,436,312,124,,27.28,-27.31,8.79
4,Sun,September 29,4:05PM ET,boxscore,W,,3-1,@,Arizona Cardinals,42,14,29,449,233,216,1,17,296,115,181,1,31.77,-2.67,-5.34
5,Sun,October 6,1:00PM ET,boxscore,W,,4-1,,Cleveland Browns,34,13,19,434,219,215,2,12,212,108,104,1,12.01,16.08,-10.61
6,Sun,October 13,1:00PM ET,boxscore,L,,4-2,@,Baltimore Ravens,23,30,18,305,253,52,,28,484,308,176,1,9.50,-20.33,3.41
7,Sun,October 20,4:05PM ET,boxscore,W,,5-2,,Carolina Panthers,40,7,26,421,207,214,,10,180,85,95,2,20.00,17.78,-5.00
8,Sun,October 27,4:25PM ET,boxscore,W,,6-2,,Chicago Bears,18,15,23,481,313,168,,15,307,105,202,1,6.47,3.45,-4.51
9,Sun,November 3,1:00PM ET,boxscore,W,,7-2,@,New York Giants,27,22,21,358,209,149,,25,326,162,164,1,18.49,-10.44,0.72
10,Sun,November 10,1:00PM ET,boxscore,L,,7-3,,Pittsburgh Steelers,27,28,19,242,182,60,1,21,312,172,140,2,0.18,-4.39,1.86
11,Thu,November 14,8:15PM ET,boxscore,L,,7-4,@,Philadelphia Eagles,18,26,18,264,171,93,1,23,434,206,228,,-2.93,-17.00,9.28
12,Sun,November 24,1:00PM ET,boxscore,L,,7-5,,Dallas Cowboys,26,34,19,412,267,145,3,19,332,241,91,1,4.31,-1.77,-5.36
13,Sun,December 1,1:00PM ET,boxscore,W,,8-5,,Tennessee Titans,42,19,29,463,196,267,1,12,245,210,35,2,28.94,7.00,-7.42
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 15,1:00PM ET,boxscore,W,,9-5,@,New Orleans Saints,20,19,23,326,189,137,,17,245,176,69,1,6.99,-1.53,-3.73
16,Sun,December 22,1:00PM ET,boxscore,W,,10-5,,Philadelphia Eagles,36,33,23,368,255,113,5,20,338,127,211,2,2.28,-8.68,2.23
17,Sun,December 29,8:20PM ET,boxscore,W,OT,11-5,,Atlanta Falcons,30,24,29,412,196,216,1,23,337,211,126,1,14.05,-10.20,2.41
18,Sun,January 5,1:00PM ET,boxscore,W,,12-5,@,Dallas Cowboys,23,19,18,269,156,113,1,23,378,228,150,,5.93,-2.48,-2.57
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
19,Sun,January 12,8:00PM ET,boxscore,W,,13-5,@,Tampa Bay Buccaneers,23,20,22,350,268,82,,19,284,183,101,1,11.83,-7.96,-0.88
20,Sat,January 18,8:00PM ET,boxscore,W,,14-5,@,Detroit Lions,45,31,27,481,299,182,,30,521,320,201,5,27.77,-13.75,-1.72
21,Sun,January 26,3:00PM ET,boxscore,L,,14-6,@,Philadelphia Eagles,23,55,22,350,251,99,4,28,459,230,229,,-3.54,-34.18,0.96
