No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
29,Micah Abernathy,27,S,6,0,195,6-0,Tennessee,2/10/1997,2,0,
20,DeAundre Alford,27,CB,16,11,177,5-11,Tusculum,11/5/1997,2,4,
25,Tyler Allgeier,24,RB,17,0,220,5-11,BYU,4/15/2000,2,4,Atlanta Falcons / 5th / 151st pick / 2022
44,Troy Andersen,25,LB,7,4,239,6-4,Montana St.,4/23/1999,2,2,Atlanta Falcons / 2nd / 58th pick / 2022
3,Jessie Bates III,27,S,17,17,200,6-1,Wake Forest,2/26/1997,6,6,Cincinnati Bengals / 2nd / 54th pick / 2018
65,Matthew Bergeron,24,OL,17,17,323,6-5,Syracuse,2/26/2000,1,7,Atlanta Falcons / 2nd / 38th pick / 2023
40,JD Bertrand,24,LB,12,0,233,6-1,Notre Dame,5/5/2000,Rook,1,Atlanta Falcons / 5th / 143rd pick / 2024
19,Chris Blair,27,WR,4,0,198,6-2,"Hinds CC , Alcorn St.",10/6/1997,1,0,
35,Natrone Brooks,25,CB,9,0,176,5-11,"Copiah-Lincoln CC , Southern Miss",12/11/1999,1,0,
0,Lorenzo Carter,29,OLB,13,11,264,6-5,Georgia,12/10/1995,6,4,New York Giants / 3rd / 66th pick / 2018
18,Kirk Cousins,36,QB,14,14,205,6-3,Michigan St.,8/19/1988,12,10,Washington Redskins / 4th / 102nd pick / 2012
37,Dane Cruikshank,29,S,2,0,209,6-1,Arizona,4/27/1995,6,0,Tennessee Titans / 5th / 152nd pick / 2018
67,Drew Dalman,26,OL,9,9,305,6-3,Stanford,10/15/1998,3,4,Atlanta Falcons / 4th / 114th pick / 2021
54,Brandon Dorlus,23,DT,2,0,290,6-3,Oregon,3/22/2001,Rook,0,Atlanta Falcons / 4th / 109th pick / 2024
85,Ross Dwelley,29,TE,17,0,235,6-5,San Diego,1/26/1995,6,0,
17,Arnold Ebiketie,25,OLB,17,2,250,6-2,"Temple , Penn St.",1/23/1999,2,2,Atlanta Falcons / 2nd / 38th pick / 2022
55,Kaden Elliss,29,LB,17,17,238,6-2,Idaho,7/10/1995,5,7,New Orleans Saints / 7th / 244th pick / 2019
43,Rashaan Evans,29,LB,2,0,232,6-2,Alabama,11/8/1995,6,0,Tennessee Titans / 1st / 22nd pick / 2018
99,Eddie Goldman,30,DL,17,10,325,6-3,Florida St.,1/6/1994,9,4,Chicago Bears / 2nd / 39th pick / 2015
95,Ta'Quon Graham,26,DL,10,0,307,6-4,Texas,12/1/1998,3,1,Atlanta Falcons / 5th / 148th pick / 2021
27,Richie Grant,27,S,17,1,204,6-0,Central Florida,11/9/1997,3,1,Atlanta Falcons / 2nd / 40th pick / 2021
56,Jovaughn Gwyn,25,OL,1,0,301,6-2,South Carolina,3/18/1999,1,0,Atlanta Falcons / 7th / 225th pick / 2023
33,Antonio Hamilton,31,CB,11,0,188,6-0,South Carolina St.,1/24/1993,8,1,
91,Demone Harris,29,DL,9,0,272,6-4,Buffalo,12/30/1995,6,1,
96,Zach Harrison,23,DL,17,1,274,6-5,Ohio St.,8/14/2001,1,1,Atlanta Falcons / 3rd / 75th pick / 2023
61,Matt Hennessy,27,OL,4,0,295,6-4,Temple,11/17/1997,4,0,Atlanta Falcons / 3rd / 78th pick / 2020
68,Kyle Hinton,26,OL,17,0,295,6-2,Washburn,2/27/1998,2,1,Minnesota Vikings / 7th / 253rd pick / 2020
12,KhaDarel Hodge,29,WR,17,2,208,6-2,"Alcorn St. , Hinds CC , Prairie View A&M",1/3/1995,6,1,
,Mike Hughes,27,CB,15,15,191,5-10,"North Carolina , Central Florida",2/11/1997,6,4,Minnesota Vikings / 1st / 30th pick / 2018
38,Lamar Jackson,26,CB,2,0,208,6-2,Nebraska,4/13/1998,4,0,
97,Grady Jarrett,31,DL,17,17,288,6-0,Clemson,4/28/1993,9,7,Atlanta Falcons / 5th / 137th pick / 2015
15,Matt Judon,32,OLB,17,15,275,6-3,Grand Valley St.,8/15/1992,8,7,Baltimore Ravens / 5th / 146th pick / 2016
92,Khalid Kareem,26,OLB,2,0,268,6-4,Notre Dame,4/28/1998,4,0,Cincinnati Bengals / 5th / 147th pick / 2020
,Kevin King,29,CB,15,1,200,6-3,Washington,5/5/1995,7,1,Green Bay Packers / 2nd / 33rd pick / 2017
6,Younghoe Koo,30,K,14,0,193,5-10,Georgia Southern,8/3/1994,7,1,
53,Nathan Landman,26,LB,13,9,238,6-3,Colorado,11/19/1998,2,4,
63,Chris Lindstrom,27,G,17,17,307,6-3,Boston Col.,2/28/1997,5,11,Atlanta Falcons / 1st / 14th pick / 2019
5,Drake London,23,WR,17,17,213,6-4,USC,7/24/2001,2,10,Atlanta Falcons / 1st / 8th pick / 2022
51,DeAngelo Malone,25,OLB,17,0,246,6-3,Western Kentucky,7/12/1999,2,1,Atlanta Falcons / 3rd / 82nd pick / 2022
70,Jake Matthews,32,T,17,17,309,6-5,Texas A&M,2/11/1992,10,8,Atlanta Falcons / 1st / 6th pick / 2014
30,Jase McClellan,22,RB,2,0,212,5-11,Alabama,6/25/2002,Rook,0,Atlanta Falcons / 6th / 186th pick / 2024
34,Ray-Ray McCloud,28,WR,17,13,190,5-9,Clemson,10/15/1996,6,6,Buffalo Bills / 6th / 187th pick / 2018
49,Liam McCullough,27,LS,17,0,247,6-2,Ohio St.,6/5/1997,2,1,
76,Kaleb McGary,29,T,16,16,306,6-6,Washington,2/22/1995,5,8,Atlanta Falcons / 1st / 31st pick / 2019
1,Darnell Mooney,27,WR,16,16,177,5-11,Tulane,10/29/1997,4,8,Chicago Bears / 5th / 173rd pick / 2020
64,Ryan Neuzil,27,OL,17,8,301,6-3,Appalachian St.,7/31/1997,2,4,
77,Storm Norton,30,OL,17,1,317,6-7,Toledo,5/16/1994,6,1,
90,David Onyemata,32,DL,17,16,300,6-4,Manitoba,11/13/1992,8,6,New Orleans Saints / 4th / 120th pick / 2016
98,Ruke Orhorhoro,23,DT,8,0,294,6-4,Clemson,10/13/2001,Rook,1,Atlanta Falcons / 2nd / 35th pick / 2024
37,Riley Patterson,25,K,3,0,190,6-0,Memphis,9/7/1999,3,0,
9,Michael Penix,24,QB,5,3,216,6-2,"Indiana , Washington",5/8/2000,Rook,2,Atlanta Falcons / 1st / 8th pick / 2024
22,Clark Phillips,23,CB,16,2,184,5-9,Utah,12/19/2001,1,2,Atlanta Falcons / 4th / 113th pick / 2023
13,Bradley Pinion,30,P,17,0,255,6-5,Clemson,6/1/1994,9,2,San Francisco 49ers / 5th / 165th pick / 2015
8,Kyle Pitts,24,TE,17,15,246,6-6,Florida,10/6/2000,3,5,Atlanta Falcons / 1st / 4th pick / 2021
7,Bijan Robinson,22,RB,17,17,215,5-11,Texas,1/30/2002,1,12,Atlanta Falcons / 1st / 8th pick / 2023
31,Justin Simmons,31,S,16,16,202,6-2,Boston Col.,11/19/1993,8,5,Denver Broncos / 3rd / 98th pick / 2016
50,James Smith-Williams,27,DL,10,5,265,6-3,North Carolina St.,7/29/1997,4,2,Washington Football Team / 7th / 229th pick / 2020
93,Kentavius Street,28,DL,13,0,287,6-2,North Carolina St.,5/8/1996,5,1,San Francisco 49ers / 4th / 128th pick / 2018
24,AJ Terrell,26,CB,17,17,194,6-1,Clemson,9/23/1998,4,5,Atlanta Falcons / 1st / 16th pick / 2020
28,Carlos Washington,26,RB,1,0,220,5-11,"New Hampshire , Southeastern Louisiana",12/26/1998,1,0,
82,Casey Washington,23,WR,8,0,200,6-0,Illinois,3/6/2001,Rook,0,Atlanta Falcons / 6th / 187th pick / 2024
71,Elijah Wilkinson,29,OL,2,0,314,6-6,Massachusetts,2/10/1995,7,0,
26,Avery Williams,26,RB,17,0,195,5-9,Boise St.,7/15/1998,3,0,Atlanta Falcons / 5th / 183rd pick / 2021
89,Charlie Woerner,27,TE,16,5,241,6-5,Georgia,10/16/1997,4,0,San Francisco 49ers / 6th / 190th pick / 2020
42,Josh Woods,28,LB,5,0,230,6-1,Maryland,7/1/1996,5,0,
