No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
15,Nelson Agholor,31,WR,14,7,200,6-0,USC,5/24/1993,9,2,Philadelphia Eagles / 1st / 20th pick / 2015
26,Rasheen Ali,23,RB,6,0,212,5-11,Marshall,2/16/2001,Rook,0,Baltimore Ravens / 5th / 165th pick / 2024
89,Mark Andrews,29,TE,17,13,250,6-5,Oklahoma,9/6/1995,6,7,Baltimore Ravens / 3rd / 86th pick / 2018
5,Jalyn Armour-Davis,25,CB,7,2,197,6-1,Alabama,9/3/1999,2,1,Baltimore Ravens / 4th / 119th pick / 2022
71,Malaesala Aumavae-Laulu,25,G,2,0,344,6-5,"Navarro , Oregon",5/25/1999,1,0,Baltimore Ravens / 6th / 199th pick / 2023
7,Rashod Bateman,25,WR,17,14,195,6-1,Minnesota,11/29/1999,3,8,Baltimore Ravens / 1st / 27th pick / 2021
49,Chris Board,29,LB,17,1,240,6-2,North Dakota St.,7/23/1995,6,2,
24,Beau Brade,22,S,11,0,209,6-0,Maryland,1/29/2002,Rook,0,
66,Ben Cleveland,26,G,17,0,360,6-6,Georgia,8/25/1998,3,1,Baltimore Ravens / 3rd / 94th pick / 2021
38,Chris Collier,24,RB,5,0,210,5-11,"Nassau CC , Wagner , Lock Haven",3/24/2000,Rook,0,
31,Bump Cooper,23,CB,1,0,192,5-11,"San Mateo , Oregon St.",8/31/2001,Rook,0,
77,Daniel Faalele,25,T,17,17,380,6-6,Minnesota,11/9/1999,2,9,Baltimore Ravens / 4th / 110th pick / 2022
4,Zay Flowers,24,WR,17,15,175,5-9,Boston Col.,9/11/2000,1,11,Baltimore Ravens / 1st / 22nd pick / 2023
14,Kyle Hamilton,23,S,17,17,220,6-4,Notre Dame,3/16/2001,2,8,Baltimore Ravens / 1st / 14th pick / 2022
40,Malik Harrison,26,LB,15,7,255,6-3,Ohio St.,3/5/1998,4,3,Baltimore Ravens / 3rd / 98th pick / 2020
3,Deonte Harty,27,WR,5,0,170,5-6,Assumption,12/4/1997,5,0,
22,Derrick Henry,30,RB,17,17,247,6-2,Alabama,1/4/1994,8,16,Tennessee Titans / 2nd / 45th pick / 2016
43,Justice Hill,27,RB,15,0,195,5-10,Oklahoma St.,11/14/1997,5,5,Baltimore Ravens / 4th / 113th pick / 2019
25,Ka'dar Hollman,30,CB,3,0,196,6-0,Toledo,9/18/1994,5,0,Green Bay Packers / 6th / 185th pick / 2019
44,Marlon Humphrey,28,CB,16,16,203,6-0,Alabama,7/8/1996,7,12,Baltimore Ravens / 1st / 16th pick / 2017
50,Adisa Isaac,23,OLB,4,0,253,6-4,Penn St.,10/4/2001,Rook,0,Baltimore Ravens / 3rd / 93rd pick / 2024
39,Eddie Jackson,31,FS,9,4,202,6-0,Alabama,12/10/1993,7,1,Chicago Bears / 4th / 112th pick / 2017
8,Lamar Jackson,27,QB,17,17,205,6-2,Louisville,1/7/1997,6,21,Baltimore Ravens / 1st / 32nd pick / 2018
,Diontae Johnson,28,WR,4,1,183,5-10,Toledo,7/5/1996,5,0,Pittsburgh Steelers / 3rd / 66th pick / 2019
17,Josh Johnson,38,QB,6,0,214,6-3,San Diego,5/15/1986,15,0,Tampa Bay Buccaneers / 5th / 160th pick / 2008
74,Josh Jones,27,OL,16,0,339,6-5,Houston,6/22/1997,4,1,Arizona Cardinals / 3rd / 72nd pick / 2020
98,Travis Jones,25,DT,17,15,338,6-4,Connecticut,10/15/1999,2,6,Baltimore Ravens / 3rd / 76th pick / 2022
28,Sanoussi Kane,23,S,15,0,210,5-11,Purdue,10/6/2001,Rook,1,Baltimore Ravens / 7th / 250th pick / 2024
33,John Kelly,28,RB,2,0,205,5-10,Tennessee,10/4/1996,6,0,Los Angeles Rams / 6th / 176th pick / 2018
35,Desmond King,30,CB,2,0,201,5-10,Iowa,12/14/1994,7,0,Los Angeles Chargers / 5th / 151st pick / 2017
88,Charlie Kolar,25,TE,13,3,267,6-6,Iowa St.,2/10/1999,2,1,Baltimore Ravens / 4th / 128th pick / 2022
57,William Kwenkeu,27,LB,2,0,235,6-1,Temple,1/8/1997,2,0,
80,Isaiah Likely,24,TE,16,9,247,6-4,Coastal Carolina,4/18/2000,2,5,Baltimore Ravens / 4th / 139th pick / 2022
64,Tyler Linderbaum,24,C,17,17,314,6-2,Iowa,4/7/2000,2,10,Baltimore Ravens / 1st / 25th pick / 2022
92,Nnamdi Madubuike,27,DT,17,17,305,6-3,Texas A&M,11/17/1997,4,10,Baltimore Ravens / 3rd / 71st pick / 2020
