No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
38,Amare Barno,25,OLB,5,0,245,6-6,"Butler (KS) , Virginia Tech",4/26/1999,2,0,Carolina Panthers / 6th / 189th pick / 2022
27,Shemar Bartholomew,24,CB,5,0,200,6-1,"Northwestern St. (LA) , Georgia Southern",6/6/2000,Rook,0,
3,Raheem Blackshear,25,RB,16,1,190,5-9,"Rutgers , Virginia Tech",6/5/1999,2,1,
34,Mike Boone,29,RB,6,0,206,5-10,Cincinnati,6/30/1995,6,0,
24,Jonathon Brooks,21,RB,3,1,207,6-0,Texas,7/21/2003,Rook,0,Carolina Panthers / 2nd / 46th pick / 2024
95,Derrick Brown,26,DE,1,1,320,6-5,Auburn,4/15/1998,4,0,Carolina Panthers / 1st / 7th pick / 2020
29,Tariq Castro-Fields,25,CB,2,0,197,6-1,Penn St.,1/14/1999,2,0,San Francisco 49ers / 6th / 221st pick / 2022
53,Claudin Cherelus,26,LB,13,2,230,6-2,"Massachusetts , Alcorn St.",12/29/1998,1,1,
88,Dan Chisena,27,WR,6,0,203,6-3,Penn St.,2/25/1997,4,0,
,Brady Christensen,28,G,17,6,300,6-6,BYU,9/27/1996,3,3,Carolina Panthers / 3rd / 70th pick / 2021
7,Jadeveon Clowney,31,OLB,14,14,266,6-5,South Carolina,2/14/1993,10,5,Houston Texans / 1st / 1st pick / 2014
18,Jalen Coker,23,WR,11,4,213,6-3,Holy Cross,10/30/2001,Rook,4,
63,Austin Corbett,29,C,5,5,305,6-4,Nevada,9/5/1995,6,2,Cleveland Browns / 2nd / 33rd pick / 2018
96,Jaden Crumedy,24,DT,5,0,309,6-4,Mississippi St.,7/30/2000,Rook,0,Carolina Panthers / 6th / 200th pick / 2024
14,Andy Dalton,37,QB,6,5,220,6-2,TCU,10/29/1987,13,1,Cincinnati Bengals / 2nd / 35th pick / 2011
55,Kenny Dyson,23,OLB,2,0,235,6-3,Bryant,6/27/2001,Rook,0,
79,Ikem Ekwonu,24,T,15,15,320,6-4,North Carolina St.,10/31/2000,2,7,Carolina Panthers / 1st / 6th pick / 2022
,Akayleb Evans,25,CB,2,1,198,6-2,"Tulsa , Missouri",6/22/1999,2,0,Minnesota Vikings / 4th / 118th pick / 2022
31,Caleb Farley,26,CB,9,1,197,6-2,Virginia Tech,11/2/1998,3,1,Tennessee Titans / 1st / 22nd pick / 2021
