No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
,Bryan Anger,36,P,17,0,202,6-3,California,10/6/1988,12,3,Jacksonville Jaguars / 3rd / 70th pick / 2012
17,Brandon Aubrey,29,K,17,0,218,6-3,Notre Dame,3/14/1995,1,5,
66,T.J. Bass,25,G,15,3,325,6-4,"Butte JC (CA) , Oregon",3/31/1999,1,2,
56,Cooper Beebe,23,OG,16,16,335,6-4,Kansas St.,5/19/2001,Rook,5,Dallas Cowboys / 3rd / 73rd pick / 2024
14,Markquese Bell,25,S,9,0,205,6-3,Florida A&M,1/6/1999,2,0,
26,DaRon Bland,25,CB,7,7,197,6-0,"Sacramento St. , Fresno St.",7/12/1999,2,2,Dallas Cowboys / 5th / 167th pick / 2022
25,Andrew Booth,24,CB,7,2,194,6-0,Clemson,9/28/2000,2,1,Minnesota Vikings / 2nd / 42nd pick / 2022
83,Jalen Brooks,24,WR,14,1,205,6-2,South Carolina,5/7/2000,1,1,Dallas Cowboys / 7th / 244th pick / 2023
31,Josh Butler,28,CB,5,3,182,6-0,Michigan St.,11/25/1996,1,1,
21,Caelen Carson,22,CB,6,5,195,6-0,Wake Forest,3/3/2002,Rook,1,Dallas Cowboys / 5th / 174th pick / 2024
18,Damone Clark,24,LB,14,2,240,6-3,LSU,6/28/2000,2,2,Dallas Cowboys / 5th / 176th pick / 2022
20,Dalvin Cook,29,RB,2,0,210,5-10,Florida St.,8/10/1995,7,0,Minnesota Vikings / 2nd / 41st pick / 2017
3,Brandin Cooks,31,WR,10,9,189,5-10,Oregon St.,9/25/1993,10,2,New Orleans Saints / 1st / 20th pick / 2014
7,Trevon Diggs,26,CB,11,11,195,6-2,Alabama,9/20/1998,4,4,Dallas Cowboys / 2nd / 51st pick / 2020
23,Rico Dowdle,26,RB,16,15,215,6-0,South Carolina,6/14/1998,4,8,
71,Chuma Edoga,27,G,5,4,308,6-3,USC,5/25/1997,5,1,New York Jets / 3rd / 92nd pick / 2019
15,Ezekiel Elliott,29,RB,15,2,228,6-0,Ohio St.,7/22/1995,8,2,Dallas Cowboys / 1st / 4th pick / 2016
85,Princeton Fant,25,TE,8,0,235,6-2,Tennessee,3/11/1999,1,0,
87,Jake Ferguson,25,TE,14,14,244,6-5,Wisconsin,1/18/1999,2,4,Dallas Cowboys / 4th / 129th pick / 2022
80,Ryan Flournoy,25,WR,11,1,200,6-1,"Central Missouri St. , Iowa Western , SE Missouri St.",10/27/1999,Rook,1,Dallas Cowboys / 6th / 216th pick / 2024
99,Chauncey Golston,26,DE,17,13,268,6-5,Iowa,2/10/1998,3,6,Dallas Cowboys / 3rd / 84th pick / 2021
29,C.J. Goodwin,34,CB,17,0,190,6-3,California (PA),2/4/1990,8,1,
60,Tyler Guyton,23,OT,15,11,322,6-7,"TCU , Oklahoma",6/11/2001,Rook,4,Dallas Cowboys / 1st / 29th pick / 2024
43,Kemon Hall,27,CB,6,0,190,5-11,North Texas,6/2/1997,3,0,
47,Darius Harris,28,LB,4,0,238,6-2,Middle Tenn. St.,1/17/1996,4,0,
52,K.J. Henry,25,DE,2,0,255,6-4,Clemson,1/27/1999,1,0,Washington Commanders / 5th / 137th pick / 2023
67,Brock Hoffman,25,C,17,7,302,6-4,"Coastal Carolina , Virginia Tech",7/2/1999,2,3,
28,Malik Hooker,28,S,17,17,212,6-2,Ohio St.,4/2/1996,7,5,Indianapolis Colts / 1st / 15th pick / 2017
57,Buddy Johnson,25,LB,14,0,240,6-2,Texas A&M,2/27/1999,3,1,Pittsburgh Steelers / 4th / 140th pick / 2021
93,Linval Joseph,36,DT,17,0,329,6-4,East Carolina,10/10/1988,14,1,New York Giants / 2nd / 46th pick / 2010
