Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:05PM ET,boxscore,L,,0-1,@,Seattle Seahawks,20,26,13,231,132,99,3,19,304,158,146,2,-19.83,3.15,11.19
2,Sun,September 15,4:25PM ET,boxscore,L,,0-2,,Pittsburgh Steelers,6,13,13,295,231,64,2,16,251,110,141,,-6.86,1.20,1.25
3,Sun,September 22,1:00PM ET,boxscore,W,,1-2,@,Tampa Bay Buccaneers,26,7,18,352,216,136,1,17,223,132,91,2,3.34,13.68,-0.75
4,Sun,September 29,1:00PM ET,boxscore,W,,2-2,@,New York Jets,10,9,12,186,60,126,1,16,248,184,64,1,-15.24,17.17,-1.09
5,Sun,October 6,4:05PM ET,boxscore,W,,3-2,,Las Vegas Raiders,34,18,18,289,180,109,,20,330,215,115,3,2.41,13.82,2.95
6,Sun,October 13,4:05PM ET,boxscore,L,,3-3,,Los Angeles Chargers,16,23,17,316,206,110,2,22,350,222,128,,-0.86,-8.10,0.01
7,Thu,October 17,8:15PM ET,boxscore,W,,4-3,@,New Orleans Saints,33,10,22,389,164,225,1,15,271,174,97,2,6.09,17.45,2.05
8,Sun,October 27,4:25PM ET,boxscore,W,,5-3,,Carolina Panthers,28,14,23,400,298,102,2,16,284,215,69,2,9.09,10.80,-4.01
9,Sun,November 3,1:00PM ET,boxscore,L,,5-4,@,Baltimore Ravens,10,41,20,319,197,122,1,25,396,269,127,,-7.44,-23.60,2.92
10,Sun,November 10,1:00PM ET,boxscore,L,,5-5,@,Kansas City Chiefs,14,16,16,260,182,78,,19,300,243,57,,3.45,-5.30,2.58
11,Sun,November 17,4:05PM ET,boxscore,W,,6-5,,Atlanta Falcons,38,6,22,400,295,105,,13,226,176,50,1,22.98,7.97,-4.61
12,Sun,November 24,4:05PM ET,boxscore,W,,7-5,@,Las Vegas Raiders,29,19,19,325,262,63,,21,369,300,69,2,3.06,2.09,1.49
13,Mon,December 2,8:15PM ET,boxscore,W,,8-5,,Cleveland Browns,41,32,19,400,294,106,2,28,552,475,77,3,9.38,1.27,1.39
14,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
15,Sun,December 15,4:25PM ET,boxscore,W,,9-5,,Indianapolis Colts,31,13,13,193,121,72,3,18,310,161,149,5,-12.23,29.19,-0.60
16,Thu,December 19,8:15PM ET,boxscore,L,,9-6,@,Los Angeles Chargers,27,34,22,355,245,110,,23,380,263,117,1,12.91,-17.32,-1.66
17,Sat,December 28,4:30PM ET,boxscore,L,OT,9-7,@,Cincinnati Bengals,24,30,19,329,206,123,1,34,499,384,115,1,8.06,-18.79,4.41
18,Sun,January 5,4:25PM ET,boxscore,W,,10-7,,Kansas City Chiefs,38,0,29,479,321,158,,5,98,71,27,,31.94,12.77,-6.98
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
19,Sun,January 12,1:00PM ET,boxscore,L,,10-8,@,Buffalo Bills,7,31,13,224,145,79,,26,471,261,210,,-2.04,-22.62,0.62
