No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
23,Jaire Alexander,27,CB,7,7,196,5-10,Louisville,2/9/1997,6,3,Green Bay Packers / 1st / 18th pick / 2018
39,Zayne Anderson,27,S,16,2,206,6-2,BYU,1/3/1997,3,2,
26,Corey Ballentine,28,CB,15,1,196,5-11,Washburn,4/13/1996,5,1,New York Giants / 6th / 180th pick / 2019
47,Andrew Beck,28,FB,3,0,255,6-3,Texas,5/15/1996,5,0,
30,Chris Brooks,24,RB,15,0,226,6-1,"California , BYU",1/11/2000,1,2,
94,Karl Brooks,24,DL,17,0,296,6-3,Bowling Green,5/8/2000,1,3,Green Bay Packers / 6th / 179th pick / 2023
40,Omar Brown,24,S,2,0,200,6-1,"Northern Iowa , Nebraska",10/12/2000,Rook,0,
20,Javon Bullard,22,S,15,11,198,5-10,Georgia,9/5/2002,Rook,4,Green Bay Packers / 2nd / 58th pick / 2024
97,Kenny Clark,29,DL,17,17,314,6-3,UCLA,10/4/1995,8,9,Green Bay Packers / 1st / 27th pick / 2016
56,Edgerrin Cooper,23,LB,14,4,229,6-2,Texas A&M,11/17/2001,Rook,4,Green Bay Packers / 2nd / 45th pick / 2024
57,Brenton Cox,24,DL,7,0,250,6-4,"Georgia , Florida",1/30/2000,1,1,
73,Andre Dillard,29,T,10,0,315,6-5,Washington St.,10/3/1995,5,1,Philadelphia Eagles / 1st / 22nd pick / 2019
87,Romeo Doubs,24,WR,13,12,204,6-2,Nevada,4/13/2000,2,6,Green Bay Packers / 4th / 132nd pick / 2022
55,Kingsley Enagbare,24,DL,17,7,258,6-4,South Carolina,1/18/2000,2,4,Green Bay Packers / 5th / 179th pick / 2022
,John FitzPatrick,24,TE,9,0,250,6-7,Georgia,3/9/2000,1,0,Atlanta Falcons / 6th / 213th pick / 2022
52,Rashan Gary,27,DL,17,17,277,6-5,Michigan,12/3/1997,5,12,Green Bay Packers / 1st / 12th pick / 2019
79,Travis Glover,24,T,7,0,317,6-6,Georgia St.,8/17/2000,Rook,1,Green Bay Packers / 6th / 202nd pick / 2024
36,Kamal Hadden,23,CB,2,0,192,6-1,"Independence (KS) , Tennessee",1/17/2001,Rook,0,Kansas City Chiefs / 6th / 211th pick / 2024
18,Malik Heath,24,WR,13,1,213,6-2,"Copiah-Lincoln CC , Mississippi St. , Mississippi",3/3/2000,1,1,
59,Ty'Ron Hopper,23,LB,17,0,228,6-2,"Florida , Missouri",4/26/2001,Rook,1,Green Bay Packers / 3rd / 91st pick / 2024
8,Josh Jacobs,26,RB,17,17,223,5-10,Alabama,2/11/1998,5,12,Oakland Raiders / 1st / 24th pick / 2019
74,Elgton Jenkins,29,OL,17,17,311,6-5,Mississippi St.,12/26/1995,5,9,Green Bay Packers / 2nd / 44th pick / 2019
85,Tucker Kraft,24,TE,17,17,259,6-5,South Dakota St.,11/3/2000,1,7,Green Bay Packers / 3rd / 78th pick / 2023
32,MarShawn Lloyd,23,RB,1,0,220,5-9,"South Carolina , USC",1/5/2001,Rook,0,Green Bay Packers / 3rd / 88th pick / 2024
10,Jordan Love,26,QB,15,15,219,6-4,Utah St.,11/2/1998,3,12,Green Bay Packers / 1st / 26th pick / 2020
58,Isaiah McDuffie,25,LB,17,17,227,6-1,Boston Col.,7/21/1999,3,8,Green Bay Packers / 6th / 220th pick / 2021
29,Xavier McKinney,26,S,17,17,201,6-0,Alabama,8/8/1998,4,15,New York Giants / 2nd / 36th pick / 2020
,Brandon McManus,33,K,11,0,201,6-3,Temple,7/25/1991,10,3,
80,Bo Melton,25,WR,17,0,189,5-11,Rutgers,5/18/1999,1,1,Seattle Seahawks / 7th / 229th pick / 2022
62,Jacob Monk,23,OL,10,0,308,6-3,Duke,6/4/2001,Rook,1,Green Bay Packers / 5th / 163rd pick / 2024
77,Jordan Morgan,23,OT,6,1,311,6-5,Arizona,8/4/2001,Rook,1,Green Bay Packers / 1st / 25th pick / 2024
53,Arron Mosby,25,DL,16,0,250,6-3,Fresno St.,4/13/1999,2,1,
88,Luke Musgrave,24,TE,7,3,253,6-6,Oregon St.,9/2/2000,1,0,Green Bay Packers / 2nd / 42nd pick / 2023
71,Josh Myers,26,OL,16,16,310,6-5,Ohio St.,7/16/1998,3,8,Green Bay Packers / 2nd / 62nd pick / 2021
44,Brayden Narveson,25,K,6,0,215,6-0,"Iowa St. , Western Kentucky , North Carolina St.",9/28/1999,Rook,0,
25,Keisean Nixon,27,CB,17,15,200,5-10,South Carolina,6/22/1997,5,6,
27,Kitan Oladapo,24,S,9,0,216,6-2,Oregon St.,10/10/2000,Rook,1,Green Bay Packers / 5th / 169th pick / 2024
,Matthew Orzech,29,LS,17,0,245,6-3,Azusa Pacific,4/12/1995,5,1,
11,Jayden Reed,24,WR,17,10,187,5-11,"Western Michigan , Michigan St.",4/28/2000,1,9,Green Bay Packers / 2nd / 50th pick / 2023
75,Sean Rhyan,24,G,17,17,321,6-5,UCLA,9/15/2000,2,9,Green Bay Packers / 3rd / 92nd pick / 2022
22,Robert Rochell,26,CB,11,0,193,6-0,Central Arkansas,4/26/1998,3,1,Los Angeles Rams / 4th / 130th pick / 2021
89,Ben Sims,24,TE,17,5,250,6-5,Baylor,5/16/2000,1,0,
93,Tedarrell Slaton,27,DL,17,17,330,6-4,Florida,10/3/1997,3,8,Green Bay Packers / 5th / 173rd pick / 2021
91,Preston Smith,32,DL,9,9,265,6-5,Mississippi St.,11/17/1992,9,4,Washington Redskins / 2nd / 38th pick / 2015
21,Eric Stokes,25,CB,17,7,194,6-1,Georgia,3/1/1999,3,3,Green Bay Packers / 1st / 29th pick / 2021
76,Kadeem Telfort,26,T,16,0,322,6-6,"Florida , Garden City (KS) , Ala-Birmingham",11/10/1998,1,1,
50,Zach Tom,25,OL,17,17,304,6-4,Wake Forest,3/26/1999,2,9,Green Bay Packers / 4th / 140th pick / 2022
24,Carrington Valentine,23,CB,15,7,189,6-0,Kentucky,9/9/2001,1,3,Green Bay Packers / 7th / 232nd pick / 2023
90,Lukas Van Ness,23,DL,17,0,272,6-5,Iowa,7/6/2001,1,2,Green Bay Packers / 1st / 13th pick / 2023
7,Quay Walker,24,LB,13,13,241,6-4,Georgia,5/8/2000,2,6,Green Bay Packers / 1st / 22nd pick / 2022
63,Rasheed Walker,24,T,17,17,324,6-6,Penn St.,2/13/2000,2,10,Green Bay Packers / 7th / 249th pick / 2022
9,Christian Watson,25,WR,15,15,208,6-4,North Dakota St.,5/12/1999,2,6,Green Bay Packers / 2nd / 34th pick / 2022
19,Daniel Whelan,25,P,17,0,216,6-5,UC Davis,2/10/1999,1,2,
