Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,L,,0-1,@,Miami Dolphins,17,20,17,267,139,128,1,18,400,319,81,,-4.76,-5.83,7.59
2,Sun,September 15,1:00PM ET,boxscore,L,,0-2,,Cleveland Browns,13,18,18,323,196,127,,17,297,172,125,,6.78,-0.32,-8.92
3,Mon,September 23,7:30PM ET,boxscore,L,,0-3,@,Buffalo Bills,10,47,19,239,147,92,2,25,388,266,122,,-12.44,-28.39,6.15
4,Sun,September 29,1:00PM ET,boxscore,L,,0-4,@,Houston Texans,20,24,17,313,155,158,,26,435,334,101,1,-1.45,-14.04,9.28
5,Sun,October 6,1:00PM ET,boxscore,W,,1-4,,Indianapolis Colts,37,34,20,497,371,126,2,25,447,348,99,1,17.27,-9.91,-1.32
6,Sun,October 13,9:30AM ET,boxscore,L,,1-5,@,Chicago Bears,16,35,17,278,210,68,2,25,373,221,152,1,-4.25,-20.35,7.15
7,Sun,October 20,9:30AM ET,boxscore,W,,2-5,,New England Patriots,32,16,23,364,193,171,,17,295,257,38,,17.60,-3.61,-0.01
8,Sun,October 27,1:00PM ET,boxscore,L,,2-6,,Green Bay Packers,27,30,19,390,299,91,2,22,422,252,170,1,5.42,-10.14,1.46
9,Sun,November 3,4:05PM ET,boxscore,L,,2-7,@,Philadelphia Eagles,23,28,14,215,155,60,3,21,447,210,237,1,-7.21,3.71,0.00
10,Sun,November 10,1:00PM ET,boxscore,L,,2-8,,Minnesota Vikings,7,12,10,143,87,56,3,28,402,233,169,3,-12.24,1.19,5.31
11,Sun,November 17,1:00PM ET,boxscore,L,,2-9,@,Detroit Lions,6,52,10,170,129,41,1,38,645,449,196,,-11.69,-48.70,11.65
12,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
13,Sun,December 1,1:00PM ET,boxscore,L,,2-10,,Houston Texans,20,23,19,373,276,97,1,20,326,218,108,,5.91,-6.79,-5.80
14,Sun,December 8,1:00PM ET,boxscore,W,,3-10,@,Tennessee Titans,10,6,16,291,220,71,2,17,272,146,126,,-1.81,9.43,-1.21
15,Sun,December 15,1:00PM ET,boxscore,L,,3-11,,New York Jets,25,32,27,421,285,136,2,22,400,275,125,,14.36,-23.94,3.35
16,Sun,December 22,4:25PM ET,boxscore,L,,3-12,@,Las Vegas Raiders,14,19,15,308,236,72,2,21,314,245,69,,-8.86,3.51,1.02
17,Sun,December 29,1:00PM ET,boxscore,W,,4-12,,Tennessee Titans,20,13,18,295,173,122,,23,337,178,159,1,7.91,-3.03,2.11
18,Sun,January 5,1:00PM ET,boxscore,L,OT,4-13,@,Indianapolis Colts,23,26,19,319,206,113,1,24,429,252,177,,3.34,-8.74,2.66
