Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 5,8:20PM ET,boxscore,W,,1-0,,Baltimore Ravens,27,20,21,353,281,72,1,25,452,267,185,1,11.81,-9.42,2.11
2,Sun,September 15,4:25PM ET,boxscore,W,,2-0,,Cincinnati Bengals,26,25,19,286,137,149,3,18,320,246,74,1,0.08,-0.29,0.99
3,Sun,September 22,8:20PM ET,boxscore,W,,3-0,@,Atlanta Falcons,22,17,22,345,217,128,1,19,311,229,82,1,5.90,-2.09,-1.56
4,Sun,September 29,4:25PM ET,boxscore,W,,4-0,@,Los Angeles Chargers,17,10,16,329,228,101,2,12,224,169,55,,-4.00,10.62,0.87
5,Mon,October 7,8:15PM ET,boxscore,W,,5-0,,New Orleans Saints,26,13,28,460,321,139,1,14,220,174,46,1,12.27,3.67,-4.34
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 20,4:25PM ET,boxscore,W,,6-0,@,San Francisco 49ers,28,18,22,329,145,184,2,19,310,209,101,3,5.57,4.03,2.89
8,Sun,October 27,4:25PM ET,boxscore,W,,7-0,@,Las Vegas Raiders,27,20,23,334,252,82,1,15,228,195,33,1,10.99,3.15,-7.33
9,Mon,November 4,8:15PM ET,boxscore,W,OT,8-0,,Tampa Bay Buccaneers,30,24,28,384,260,124,1,17,284,189,95,,13.78,-7.44,-0.89
10,Sun,November 10,1:00PM ET,boxscore,W,,9-0,,Denver Broncos,16,14,19,300,243,57,,16,260,182,78,,5.30,-3.45,-2.58
11,Sun,November 17,4:25PM ET,boxscore,L,,9-1,@,Buffalo Bills,21,30,19,259,181,78,2,24,366,262,104,1,6.03,-14.81,0.41
12,Sun,November 24,1:00PM ET,boxscore,W,,10-1,@,Carolina Panthers,30,27,27,391,226,165,,21,334,249,85,,20.35,-12.51,-2.84
13,Fri,November 29,3:00PM ET,boxscore,W,,11-1,,Las Vegas Raiders,19,17,18,329,266,63,,20,434,318,116,1,2.92,-4.76,6.69
14,Sun,December 8,8:20PM ET,boxscore,W,,12-1,,Los Angeles Chargers,19,17,20,298,202,96,,20,288,194,94,,4.46,-10.64,5.79
15,Sun,December 15,1:00PM ET,boxscore,W,,13-1,@,Cleveland Browns,21,7,18,311,179,132,,16,266,127,139,6,-4.31,22.38,-0.74
16,Sat,December 21,1:00PM ET,boxscore,W,,14-1,,Houston Texans,27,19,25,375,251,124,,20,311,227,84,2,15.32,-5.59,-0.61
17,Wed,December 25,1:00PM ET,boxscore,W,,15-1,@,Pittsburgh Steelers,29,10,20,389,320,69,,23,364,162,202,2,12.44,3.80,-4.01
18,Sun,January 5,4:25PM ET,boxscore,L,,15-2,@,Denver Broncos,0,38,5,98,71,27,,29,479,321,158,,-12.77,-31.94,6.98
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
20,Sat,January 18,4:30PM ET,boxscore,W,,16-2,,Houston Texans,23,14,14,212,162,50,,18,336,187,149,,6.41,-3.58,6.50
21,Sun,January 26,6:30PM ET,boxscore,W,,17-2,,Buffalo Bills,32,29,28,368,233,135,1,22,374,227,147,,18.77,-11.91,-1.26
22,Sun,February 9,6:30PM ET,boxscore,L,,17-3,N,Philadelphia Eagles,22,40,12,275,226,49,3,21,345,210,135,1,-18.21,-3.33,-0.66
