Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:05PM ET,boxscore,L,,0-1,@,Los Angeles Chargers,10,22,14,296,225,71,3,11,316,140,176,,-14.87,5.13,0.65
2,Sun,September 15,1:00PM ET,boxscore,W,,1-1,@,Baltimore Ravens,26,23,18,260,233,27,1,21,383,232,151,1,-0.50,-6.12,6.24
3,Sun,September 22,4:05PM ET,boxscore,L,,1-2,,Carolina Panthers,22,36,20,331,276,55,1,24,437,306,131,,1.38,-15.32,0.97
4,Sun,September 29,4:25PM ET,boxscore,W,,2-2,,Cleveland Browns,20,16,17,268,116,152,1,16,241,149,92,1,-4.09,6.26,-1.12
5,Sun,October 6,4:05PM ET,boxscore,L,,2-3,@,Denver Broncos,18,34,20,330,215,115,3,18,289,180,109,,-13.82,-2.41,-2.95
6,Sun,October 13,4:05PM ET,boxscore,L,,2-4,,Pittsburgh Steelers,13,32,16,275,218,57,3,18,293,110,183,,-9.91,-1.93,-7.51
7,Sun,October 20,4:05PM ET,boxscore,L,,2-5,@,Los Angeles Rams,15,20,20,317,195,122,4,15,259,144,115,1,-19.97,7.94,5.08
8,Sun,October 27,4:25PM ET,boxscore,L,,2-6,,Kansas City Chiefs,20,27,15,228,195,33,1,23,334,252,82,1,-3.15,-10.99,7.33
9,Sun,November 3,1:00PM ET,boxscore,L,,2-7,@,Cincinnati Bengals,24,41,16,217,157,60,2,26,373,243,130,1,-10.19,-12.75,7.06
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 17,1:00PM ET,boxscore,L,,2-8,@,Miami Dolphins,19,34,22,328,268,60,1,25,353,271,82,,7.86,-25.84,3.17
12,Sun,November 24,4:05PM ET,boxscore,L,,2-9,,Denver Broncos,19,29,21,369,300,69,2,19,325,262,63,,-2.09,-3.06,-1.49
13,Fri,November 29,3:00PM ET,boxscore,L,,2-10,@,Kansas City Chiefs,17,19,20,434,318,116,1,18,329,266,63,,4.76,-2.92,-6.69
14,Sun,December 8,1:00PM ET,boxscore,L,,2-11,@,Tampa Bay Buccaneers,13,28,16,286,195,91,2,21,420,268,152,3,-5.22,-12.48,4.26
15,Mon,December 16,8:30PM ET,boxscore,L,,2-12,,Atlanta Falcons,9,15,16,249,184,65,3,14,261,93,168,1,-12.24,6.96,-1.41
16,Sun,December 22,4:25PM ET,boxscore,W,,3-12,,Jacksonville Jaguars,19,14,21,314,245,69,,15,308,236,72,2,-3.51,8.86,-1.02
17,Sun,December 29,1:00PM ET,boxscore,W,,4-12,@,New Orleans Saints,25,10,22,388,232,156,,13,269,188,81,2,8.77,11.13,-3.55
18,Sun,January 5,4:25PM ET,boxscore,L,,4-13,,Los Angeles Chargers,20,34,16,264,225,39,1,26,473,336,137,,0.48,-21.79,6.53
