No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
76,Joe Alt,21,OT,16,16,322,6-8,Notre Dame,2/28/2003,Rook,8,Los Angeles Chargers / 1st / 5th pick / 2024
24,Eli Apple,29,CB,4,0,203,6-1,Ohio St.,8/9/1995,8,0,New York Giants / 1st / 10th pick / 2016
35,Dicaprio Bootle,27,CB,6,0,180,5-10,Nebraska,9/17/1997,3,0,
97,Joey Bosa,29,OLB,14,9,280,6-5,Ohio St.,7/11/1995,8,9,San Diego Chargers / 1st / 3rd pick / 2016
75,Bradley Bozeman,30,C,17,17,317,6-3,Alabama,11/24/1994,6,7,Baltimore Ravens / 6th / 215th pick / 2018
9,DJ Chark,28,WR,7,0,200,6-3,LSU,9/23/1996,6,0,Jacksonville Jaguars / 2nd / 61st pick / 2018
25,Junior Colson,22,LB,11,1,247,6-3,Michigan,12/6/2002,Rook,1,Los Angeles Chargers / 3rd / 69th pick / 2024
12,Derius Davis,24,WR,15,2,165,5-8,TCU,9/11/2000,1,1,Los Angeles Chargers / 4th / 125th pick / 2023
11,Cameron Dicker,24,K,17,0,216,6-1,Texas,5/6/2000,2,5,
81,Will Dissly,28,TE,15,8,265,6-4,Washington,7/8/1996,6,5,Seattle Seahawks / 4th / 120th pick / 2018
27,J.K. Dobbins,26,RB,13,11,215,5-10,Ohio St.,12/17/1998,4,7,Baltimore Ravens / 2nd / 55th pick / 2020
48,Bud Dupree,31,OLB,17,0,269,6-4,Kentucky,2/12/1993,9,2,Pittsburgh Steelers / 1st / 22nd pick / 2015
43,Troy Dye,28,LB,17,5,231,6-3,Oregon,9/18/1996,4,4,Minnesota Vikings / 4th / 132nd pick / 2020
92,Justin Eboigbe,23,DL,5,0,292,6-5,Alabama,4/9/2001,Rook,0,Los Angeles Chargers / 4th / 105th pick / 2024
4,Gus Edwards,29,RB,11,6,238,6-1,"Miami (FL) , Rutgers",4/13/1995,6,2,
87,Simi Fehoko,27,WR,8,2,218,6-4,Stanford,11/5/1997,3,1,Dallas Cowboys / 5th / 179th pick / 2021
24,AJ Finley,23,S,10,0,188,6-0,Mississippi,9/14/2001,1,1,
42,Tucker Fisk,25,TE,9,5,285,6-4,Stanford,1/19/1999,1,0,
41,Dez Fitzpatrick,27,WR,1,0,208,6-2,Louisville,12/17/1997,3,0,Tennessee Titans / 4th / 109th pick / 2021
95,Poona Ford,29,DT,17,17,310,5-11,Texas,11/19/1995,6,9,
56,Morgan Fox,30,DL,17,3,275,6-3,Colorado State-Pueblo,9/12/1994,8,3,
7,Kristian Fulton,26,CB,15,14,197,5-11,LSU,9/3/1998,4,5,Tennessee Titans / 2nd / 61st pick / 2020
32,Alohi Gilman,27,S,11,11,201,5-10,"Navy , Notre Dame",9/17/1997,4,4,Los Angeles Chargers / 6th / 186th pick / 2020
47,Josh Harris,35,LS,17,0,224,6-1,Auburn,4/27/1989,12,1,
20,Cam Hart,24,CB,14,6,207,6-2,Notre Dame,12/5/2000,Rook,3,Los Angeles Chargers / 5th / 140th pick / 2024
28,Hassan Haskins,25,RB,17,0,228,6-2,Michigan,11/26/1999,2,1,Tennessee Titans / 4th / 131st pick / 2022
8,Taylor Heinicke,31,QB,4,0,210,6-1,Old Dominion,3/15/1993,7,0,
0,Daiyan Henley,25,LB,17,17,225,6-1,"Nevada , Washington St.",11/18/1999,1,9,Los Angeles Chargers / 3rd / 85th pick / 2023
10,Justin Herbert,26,QB,17,17,236,6-6,Oregon,3/10/1998,4,14,Los Angeles Chargers / 1st / 6th pick / 2020
88,Hayden Hurst,31,TE,9,2,245,6-4,South Carolina,8/24/1993,6,1,Baltimore Ravens / 1st / 25th pick / 2018
49,Eddie Jackson,31,FS,2,0,202,6-0,Alabama,12/10/1993,7,0,Chicago Bears / 4th / 112th pick / 2017
64,Brenden Jaimes,25,OL,9,0,300,6-5,Nebraska,5/28/1999,3,1,Los Angeles Chargers / 5th / 159th pick / 2021
3,Derwin James,28,S,16,16,215,6-2,Florida St.,8/3/1996,6,11,Los Angeles Chargers / 1st / 17th pick / 2018
23,Tony Jefferson,32,S,8,4,212,5-11,Oklahoma,1/27/1992,11,2,
39,Jaylen Johnson,24,WR,1,0,194,6-2,"Georgia , East Carolina",5/26/2000,Rook,0,
77,Zion Johnson,25,G,17,17,316,6-3,"Davidson , Boston Col.",11/18/1999,2,7,Los Angeles Chargers / 1st / 17th pick / 2022
1,Quentin Johnston,23,WR,15,11,215,6-4,TCU,9/6/2001,1,7,Los Angeles Chargers / 1st / 21st pick / 2023
33,Deane Leonard,25,DB,10,0,195,6-0,"Calgary , Mississippi",11/20/1999,2,1,Los Angeles Chargers / 7th / 236th pick / 2022
,Blake Lynch,27,LB,1,0,225,6-3,Baylor,2/14/1997,4,0,
52,Khalil Mack,33,OLB,16,16,269,6-3,Buffalo,2/22/1991,10,12,Oakland Raiders / 1st / 5th pick / 2014
44,Scott Matlock,24,DL,17,11,296,6-4,Boise St.,6/28/2000,1,6,Los Angeles Chargers / 6th / 200th pick / 2023
,Marcus Maye,31,S,4,1,207,6-0,Florida,3/9/1993,7,1,New York Jets / 2nd / 39th pick / 2017
15,Ladd McConkey,23,WR,16,14,185,6-0,Georgia,11/11/2001,Rook,11,Los Angeles Chargers / 2nd / 34th pick / 2024
71,Jordan McFadden,25,OL,1,0,303,6-2,Clemson,11/16/1999,1,0,Los Angeles Chargers / 5th / 156th pick / 2023
22,Elijah Molden,25,CB,15,12,192,5-10,Washington,1/30/1999,3,6,Tennessee Titans / 3rd / 100th pick / 2021
50,Caleb Murphy,25,LB,3,0,254,6-3,"Grand Valley St. , Ferris St.",12/15/1999,1,0,
62,Sam Mustipher,28,C,12,1,306,6-3,Notre Dame,8/13/1996,4,1,
31,Nick Niemann,27,LB,13,0,244,6-3,Iowa,12/2/1997,3,1,Los Angeles Chargers / 6th / 185th pick / 2021
93,Otito Ogbonnia,24,DT,17,17,320,6-4,UCLA,8/25/2000,2,9,Los Angeles Chargers / 5th / 160th pick / 2022
5,Josh Palmer,25,WR,15,7,210,6-1,Tennessee,9/22/1999,3,6,Los Angeles Chargers / 3rd / 77th pick / 2021
34,Jaret Patterson,25,RB,1,0,195,5-8,Buffalo,12/23/1999,3,0,
6,Denzel Perryman,32,LB,11,11,240,5-11,Miami (FL),12/5/1992,9,6,San Diego Chargers / 2nd / 48th pick / 2015
79,Trey Pipkins,28,T,15,15,307,6-6,Sioux Falls,9/5/1996,5,8,Los Angeles Chargers / 3rd / 91st pick / 2019
58,Shaquille Quarterman,27,LB,10,0,234,6-0,Miami (FL),10/28/1997,4,1,Jacksonville Jaguars / 4th / 140th pick / 2020
89,Jalen Reagor,25,WR,8,2,197,5-11,TCU,1/2/1999,4,1,Philadelphia Eagles / 1st / 21st pick / 2020
82,Brenden Rice,22,WR,3,0,210,6-3,"Colorado , USC",3/18/2002,Rook,0,Los Angeles Chargers / 7th / 225th pick / 2024
68,Jamaree Salyer,24,OL,17,4,325,6-4,Georgia,7/13/2000,2,3,Los Angeles Chargers / 6th / 195th pick / 2022
26,Asante Samuel Jr.,25,CB,4,4,180,5-10,Florida St.,10/3/1999,3,1,Los Angeles Chargers / 2nd / 47th pick / 2021
73,Foster Sarell,26,T,11,0,322,6-6,Stanford,8/28/1998,2,1,
16,JK Scott,29,P,17,0,208,6-5,Alabama,10/30/1995,6,3,Green Bay Packers / 5th / 172nd pick / 2018
86,Laviska Shenault Jr.,26,WR,1,1,224,6-1,Colorado,10/5/1998,4,0,Jacksonville Jaguars / 2nd / 42nd pick / 2020
70,Rashawn Slater,25,T,15,15,315,6-4,Northwestern,3/26/1999,3,10,Los Angeles Chargers / 1st / 13th pick / 2021
84,Stone Smartt,26,TE,15,2,226,6-4,"Northern Arizona , Riverside CC , Old Dominion",10/4/1998,2,2,
29,Tarheeb Still,22,CB,14,12,196,6-1,Maryland,6/9/2002,Rook,6,Los Angeles Chargers / 5th / 137th pick / 2024
90,Teair Tart,27,DT,17,0,315,6-2,Florida International,2/28/1997,4,2,
36,Ja'Sir Taylor,25,DB,15,2,185,5-10,Wake Forest,1/8/1999,2,2,Los Angeles Chargers / 6th / 214th pick / 2022
83,Eric Tomlinson,32,TE,9,1,265,6-6,Texas-El Paso,4/22/1992,8,0,
45,Tuli Tuipulotu,22,OLB,17,9,266,6-3,USC,9/3/2002,1,6,Los Angeles Chargers / 2nd / 54th pick / 2023
30,Kimani Vidal,23,RB,10,0,215,5-8,Troy,8/28/2001,Rook,2,Los Angeles Chargers / 6th / 181st pick / 2024
40,Kendall Williamson,24,DB,2,0,203,6-0,Stanford,8/24/2000,1,0,Chicago Bears / 7th / 258th pick / 2023
