Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,8:20PM ET,boxscore,L,OT,0-1,@,Detroit Lions,20,26,26,387,304,83,1,21,363,200,163,1,8.78,-9.52,-3.90
2,Sun,September 15,4:05PM ET,boxscore,L,,0-2,@,Arizona Cardinals,10,41,14,245,192,53,1,24,489,258,231,1,-8.89,-26.58,4.42
3,Sun,September 22,4:25PM ET,boxscore,W,,1-2,,San Francisco 49ers,27,24,19,296,198,98,,25,425,288,137,1,15.13,-19.10,3.14
4,Sun,September 29,1:00PM ET,boxscore,L,,1-3,@,Chicago Bears,18,24,21,322,203,119,2,17,264,133,131,,-0.67,-5.29,-3.65
5,Sun,October 6,4:25PM ET,boxscore,L,,1-4,,Green Bay Packers,19,24,24,370,236,134,2,19,328,202,126,1,-0.39,-2.84,-2.74
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 20,4:05PM ET,boxscore,W,,2-4,,Las Vegas Raiders,20,15,15,259,144,115,1,20,317,195,122,4,-7.94,19.97,-5.08
8,Thu,October 24,8:15PM ET,boxscore,W,,3-4,,Minnesota Vikings,30,20,26,386,279,107,1,17,276,212,64,,18.78,-6.94,0.25
9,Sun,November 3,4:25PM ET,boxscore,W,OT,4-4,@,Seattle Seahawks,26,20,22,366,298,68,1,20,424,317,107,3,0.01,12.59,-5.33
10,Mon,November 11,8:15PM ET,boxscore,L,,4-5,,Miami Dolphins,15,23,20,327,257,70,2,15,238,171,67,2,-8.90,2.50,-3.64
11,Sun,November 17,1:00PM ET,boxscore,W,,5-5,@,New England Patriots,28,22,19,402,295,107,,26,382,257,125,2,19.37,-10.52,-2.87
12,Sun,November 24,8:20PM ET,boxscore,L,,5-6,,Philadelphia Eagles,20,37,23,290,198,92,1,24,481,167,314,,5.78,-23.71,0.13
13,Sun,December 1,4:05PM ET,boxscore,W,,6-6,@,New Orleans Saints,21,14,22,322,166,156,,19,327,184,143,,13.85,-3.89,-2.20
14,Sun,December 8,4:25PM ET,boxscore,W,,7-6,,Buffalo Bills,44,42,28,457,320,137,,25,445,342,103,,29.74,-31.07,8.60
15,Thu,December 12,8:15PM ET,boxscore,W,,8-6,@,San Francisco 49ers,12,6,14,302,160,142,,11,191,128,63,1,-4.30,14.31,-3.29
16,Sun,December 22,1:00PM ET,boxscore,W,,9-6,@,New York Jets,19,9,17,242,110,132,1,17,321,246,75,2,3.87,3.81,4.63
17,Sat,December 28,8:10PM ET,boxscore,W,,10-6,,Arizona Cardinals,13,9,12,257,189,68,,24,396,283,113,2,-4.17,-0.09,6.46
18,Sun,January 5,4:25PM ET,boxscore,L,,10-7,,Seattle Seahawks,25,30,20,403,319,84,1,18,336,210,126,,7.91,-13.35,1.29
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
19,Mon,January 13,8:00PM ET,boxscore,W,,11-7,,Minnesota Vikings,27,9,16,292,202,90,,20,269,163,106,2,2.78,21.02,-1.73
20,Sun,January 19,3:00PM ET,boxscore,L,,11-8,@,Philadelphia Eagles,22,28,18,402,291,111,2,16,350,65,285,,-3.60,-7.76,6.02
