No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
87,Davis Allen,23,TE,15,5,251,6-6,Clemson,2/3/2001,1,0,Los Angeles Rams / 5th / 175th pick / 2023
61,AJ Arcuri,27,OL,2,0,308,6-7,Michigan St.,8/13/1997,2,0,Los Angeles Rams / 7th / 261st pick / 2022
5,Tutu Atwell,25,WR,17,5,165,5-9,Louisville,10/7/1999,3,5,Los Angeles Rams / 2nd / 57th pick / 2021
73,Steve Avila,25,OL,10,10,338,6-3,TCU,10/16/1999,1,5,Los Angeles Rams / 2nd / 36th pick / 2023
95,Bobby Brown,24,NT,17,16,332,6-4,Texas A&M,8/7/2000,3,7,Los Angeles Rams / 4th / 117th pick / 2021
60,Logan Bruss,26,OL,8,3,317,6-5,Wisconsin,10/6/1998,1,2,Los Angeles Rams / 3rd / 104th pick / 2022
59,Geron Christian,28,OL,1,0,315,6-5,Louisville,9/10/1996,6,0,Washington Redskins / 3rd / 74th pick / 2018
22,Blake Corum,24,RB,17,1,210,5-8,Michigan,11/25/2000,Rook,2,Los Angeles Rams / 3rd / 83rd pick / 2024
3,Kamren Curl,25,DB,16,16,205,6-2,Arkansas,3/31/1999,4,6,Washington Football Team / 7th / 216th pick / 2020
90,Tyler Davis,24,DL,16,0,299,6-2,Clemson,11/1/2000,Rook,1,Los Angeles Rams / 6th / 196th pick / 2024
67,Justin Dedich,24,OL,13,3,300,6-2,USC,4/24/2000,Rook,2,
69,Kevin Dotson,28,OL,16,16,330,6-4,Louisiana,9/18/1996,4,8,Pittsburgh Steelers / 4th / 135th pick / 2020
14,Cobie Durant,26,DB,15,14,182,5-11,South Carolina St.,2/9/1998,2,5,Los Angeles Rams / 4th / 142nd pick / 2022
42,Ethan Evans,23,P,16,0,250,6-3,Wingate,7/19/2001,1,2,Los Angeles Rams / 7th / 223rd pick / 2023
55,Braden Fiske,24,DE,17,8,295,6-4,"Western Michigan , Florida St.",1/18/2000,Rook,5,Los Angeles Rams / 2nd / 39th pick / 2024
,Emmanuel Forbes,23,CB,2,1,180,6-0,Mississippi St.,1/13/2001,1,0,Washington Commanders / 1st / 16th pick / 2023
92,Neville Gallimore,27,NT,14,4,315,6-2,Oklahoma,1/17/1997,4,2,Dallas Cowboys / 3rd / 82nd pick / 2020
11,Jimmy Garoppolo,33,QB,1,1,225,6-2,Eastern Illinois,11/2/1991,10,1,New England Patriots / 2nd / 62nd pick / 2014
31,Nick Hampton,24,OLB,14,0,247,6-3,Appalachian St.,4/5/2000,1,1,Los Angeles Rams / 5th / 161st pick / 2023
79,Rob Havenstein,32,OL,11,11,323,6-8,Wisconsin,5/13/1992,9,5,St. Louis Rams / 2nd / 57th pick / 2015
89,Tyler Higbee,31,TE,3,3,255,6-6,Western Kentucky,1/1/1993,8,1,Los Angeles Rams / 4th / 110th pick / 2016
97,Michael Hoecht,27,OLB,17,5,267,6-4,Brown,10/5/1997,3,3,
35,Jake Hummel,25,LB,17,1,227,6-1,Iowa St.,1/4/1999,2,2,
77,Alaric Jackson,26,OL,14,14,345,6-7,Iowa,7/14/1998,3,7,
44,Brennan Jackson,24,OLB,7,1,266,6-4,Washington St.,10/14/2000,Rook,1,Los Angeles Rams / 5th / 154th pick / 2024
72,Jonah Jackson,27,G,4,4,315,6-4,"Rutgers , Ohio St.",2/5/1997,4,2,Detroit Lions / 3rd / 75th pick / 2020
94,Desjuan Johnson,25,DE,10,0,285,6-3,Toledo,9/3/1999,1,1,Los Angeles Rams / 7th / 259th pick / 2023
43,John Johnson,29,S,2,1,204,6-0,Boston Col.,12/19/1995,7,1,Los Angeles Rams / 3rd / 91st pick / 2017
18,Tyler Johnson,26,WR,15,2,208,6-1,Minnesota,8/25/1998,4,3,Tampa Bay Buccaneers / 5th / 161st pick / 2020
83,Nikola Kalinic,27,TE,2,0,248,6-4,York,1/21/1997,2,0,
16,Joshua Karty,22,K,17,0,207,6-2,Stanford,3/7/2002,Rook,2,Los Angeles Rams / 6th / 209th pick / 2024
26,Kamren Kinchens,22,DB,17,4,207,5-11,Miami (FL),9/29/2002,Rook,3,Los Angeles Rams / 3rd / 99th pick / 2024
10,Cooper Kupp,31,WR,12,11,207,6-2,Eastern Washington,6/15/1993,7,6,Los Angeles Rams / 3rd / 69th pick / 2017
37,Quentin Lake,25,DB,17,16,196,6-1,UCLA,1/29/1999,2,5,Los Angeles Rams / 6th / 211th pick / 2022
33,Cam Lampkin,23,DB,4,0,176,5-11,"Utah St. , Washington St.",7/31/2001,Rook,0,
50,Beaux Limmer,23,OL,16,14,312,6-5,Arkansas,6/10/2001,Rook,7,Los Angeles Rams / 6th / 217th pick / 2024
84,Hunter Long,26,TE,17,2,243,6-5,Boston Col.,8/19/1998,3,1,Miami Dolphins / 3rd / 81st pick / 2021
