Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,1:00PM ET,boxscore,W,,1-0,,Jacksonville Jaguars,20,17,18,400,319,81,,17,267,139,128,1,5.83,4.76,-7.59
2,Thu,September 12,8:15PM ET,boxscore,L,,1-1,,Buffalo Bills,10,31,20,351,212,139,3,13,247,139,108,,-14.11,-8.59,2.53
3,Sun,September 22,4:05PM ET,boxscore,L,,1-2,@,Seattle Seahawks,3,24,13,205,140,65,,21,370,270,100,2,-20.39,-0.77,1.24
4,Mon,September 30,7:30PM ET,boxscore,L,,1-3,,Tennessee Titans,12,31,13,184,78,106,1,16,244,102,142,1,-18.65,4.49,-4.18
5,Sun,October 6,1:00PM ET,boxscore,W,,2-3,@,New England Patriots,15,10,24,372,179,193,2,15,299,148,151,,-5.25,7.94,-0.91
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,October 20,1:00PM ET,boxscore,L,,2-4,@,Indianapolis Colts,10,16,18,337,149,188,2,16,284,129,155,1,-11.55,5.79,-0.70
8,Sun,October 27,1:00PM ET,boxscore,L,,2-5,,Arizona Cardinals,27,28,22,377,227,150,,22,389,307,82,,17.63,-12.76,-3.43
9,Sun,November 3,1:00PM ET,boxscore,L,,2-6,@,Buffalo Bills,27,30,26,373,224,149,1,24,325,231,94,1,15.80,-13.82,-6.12
10,Mon,November 11,8:15PM ET,boxscore,W,,3-6,@,Los Angeles Rams,23,15,15,238,171,67,2,20,327,257,70,2,-2.50,8.90,3.64
11,Sun,November 17,1:00PM ET,boxscore,W,,4-6,,Las Vegas Raiders,34,19,25,353,271,82,,22,328,268,60,1,25.84,-7.86,-3.17
12,Sun,November 24,1:00PM ET,boxscore,W,,5-6,,New England Patriots,34,15,23,373,308,65,1,14,269,183,86,2,2.50,16.92,-0.20
13,Thu,November 28,8:20PM ET,boxscore,L,,5-7,@,Green Bay Packers,17,30,21,375,336,39,1,19,388,274,114,,1.74,-14.75,-2.71
14,Sun,December 8,1:00PM ET,boxscore,W,OT,6-7,,New York Jets,32,26,28,375,331,44,,23,402,319,83,,16.40,-14.47,1.80
15,Sun,December 15,1:00PM ET,boxscore,L,,6-8,@,Houston Texans,12,20,18,224,172,52,4,12,181,104,77,1,-15.14,7.91,-0.51
16,Sun,December 22,4:25PM ET,boxscore,W,,7-8,,San Francisco 49ers,29,17,21,381,215,166,,20,374,293,81,1,11.08,-3.96,3.97
17,Sun,December 29,4:05PM ET,boxscore,W,,8-8,@,Cleveland Browns,20,3,18,280,206,74,,18,276,162,114,2,-4.50,23.73,-2.96
18,Sun,January 5,4:25PM ET,boxscore,L,,8-9,@,New York Jets,20,32,21,334,199,135,4,22,375,257,118,1,-4.67,-9.16,4.05
