No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
49,Matthew Adams,29,LB,13,0,230,6-0,Houston,12/12/1995,6,1,Indianapolis Colts / 7th / 221st pick / 2018
3,Deonte Banks,23,CB,14,14,200,6-2,Maryland,3/3/2001,1,5,New York Giants / 1st / 24th pick / 2023
55,Boogie Basham,27,OLB,4,0,274,6-3,Wake Forest,12/16/1997,3,0,Buffalo Bills / 2nd / 61st pick / 2021
82,Daniel Bellinger,24,TE,17,8,255,6-6,San Diego St.,9/22/2000,2,1,New York Giants / 4th / 112th pick / 2022
24,Dane Belton,24,S,17,6,190,6-1,Iowa,12/7/2000,2,3,New York Giants / 4th / 114th pick / 2022
36,Curtis Bolton,29,LB,1,0,228,6-0,Oklahoma,12/18/1995,3,0,
12,Tim Boyle,30,QB,1,0,233,6-4,"Connecticut , Eastern Kentucky",10/3/1994,5,0,
0,Brian Burns,26,OLB,17,17,250,6-5,Florida St.,4/23/1998,5,8,Carolina Panthers / 1st / 16th pick / 2019
94,Elijah Chatman,24,DT,17,3,278,6-0,SMU,12/5/2000,Rook,3,
52,Carter Coughlin,27,LB,1,0,240,6-3,Minnesota,7/20/1997,4,0,New York Giants / 7th / 218th pick / 2020
98,D.J. Davidson,25,DL,12,2,320,6-5,Arizona St.,12/16/1999,2,2,New York Giants / 5th / 147th pick / 2022
15,Tommy DeVito,26,QB,3,2,210,6-2,"Syracuse , Illinois",8/7/1998,1,1,
,Greg Dulcich,24,TE,5,0,245,6-4,UCLA,3/26/2000,2,0,Denver Broncos / 3rd / 80th pick / 2022
,Cory Durden,25,NT,4,0,316,6-4,"Florida St. , North Carolina St.",1/26/1999,1,0,
72,Jermaine Eluemunor,30,OL,15,15,338,6-4,"Lackawanna , Texas A&M",12/13/1994,7,5,Baltimore Ravens / 5th / 159th pick / 2017
75,Joshua Ezeudu,25,OL,17,3,310,6-4,North Carolina,9/19/1999,2,2,New York Giants / 3rd / 67th pick / 2022
28,Cordale Flott,23,CB,14,10,175,6-2,LSU,8/24/2001,2,4,New York Giants / 3rd / 81st pick / 2022
88,Bryce Ford-Wheaton,24,WR,14,0,220,6-3,West Virginia,3/9/2000,1,0,
,Tomon Fox,26,OLB,11,0,245,6-2,North Carolina,3/16/1998,2,1,
9,Graham Gano,37,K,10,0,202,6-2,Florida St.,4/9/1987,15,1,
90,Elijah Garcia,26,DL,5,3,302,6-5,Rice,3/11/1998,2,2,
6,Jamie Gillan,27,P,13,0,207,6-1,Ark-Pine Bluff,7/4/1997,5,2,
20,Eric Gray,25,RB,17,0,211,5-10,"Tennessee , Oklahoma",11/4/1999,1,1,New York Giants / 5th / 172nd pick / 2023
35,Art Green,24,CB,9,0,201,6-1,"Hutchinson (KS) , Houston",4/29/2000,1,1,
,Matt Haack,30,P,4,0,205,6-0,Arizona St.,7/25/1994,7,1,
37,Tre Hawkins,24,CB,3,1,195,6-3,"Trinity Valley CC (TX) , Old Dominion",8/1/2000,1,1,New York Giants / 6th / 209th pick / 2023
18,Isaiah Hodgins,26,WR,3,0,200,6-3,Oregon St.,10/21/1998,3,0,Buffalo Bills / 6th / 207th pick / 2020
70,Chris Hubbard,33,OT,8,3,295,6-4,Ala-Birmingham,4/23/1991,10,1,
13,Jalin Hyatt,23,WR,16,3,185,6-0,Tennessee,9/25/2001,1,0,New York Giants / 3rd / 73rd pick / 2023
21,Adoree' Jackson,29,CB,14,5,185,5-11,USC,9/18/1995,7,3,Tennessee Titans / 1st / 18th pick / 2017
23,Anthony Johnson,25,S,9,0,205,6-0,Iowa St.,12/2/1999,1,1,Green Bay Packers / 7th / 242nd pick / 2023
54,Dyontae Johnson,24,LB,2,0,230,6-2,Toledo,9/28/2000,1,0,
,Jakob Johnson,30,FB,3,1,255,6-3,Tennessee,12/15/1994,5,0,
,Patrick Johnson,26,OLB,12,0,248,6-2,Tulane,1/10/1998,3,1,Philadelphia Eagles / 7th / 234th pick / 2021
84,Theo Johnson,23,TE,12,11,264,6-6,Penn St.,2/26/2001,Rook,2,New York Giants / 4th / 107th pick / 2024
8,Daniel Jones,27,QB,10,10,230,6-5,Duke,5/27/1997,5,5,New York Giants / 1st / 6th pick / 2019
,Greg Joseph,30,K,6,0,206,6-0,Florida Atlantic,8/4/1994,6,1,
59,Casey Kreiter,34,LS,17,0,250,6-1,Iowa,8/13/1990,8,1,
63,Jake Kubas,24,OG,5,3,308,6-4,North Dakota St.,8/13/2000,Rook,1,
97,Dexter Lawrence,27,DL,12,12,340,6-4,Clemson,11/12/1997,5,9,New York Giants / 1st / 17th pick / 2019
43,Raheem Layne,25,S,2,0,192,5-11,Indiana,7/2/1999,2,0,
2,Drew Lock,28,QB,8,5,228,6-4,Missouri,11/10/1996,5,1,Denver Broncos / 2nd / 42nd pick / 2019
85,Chris Manhertz,32,TE,17,11,235,6-6,Canisius,4/10/1992,8,0,
99,Jude McAtamney,24,K,1,0,205,6-2,"Chowan , Rutgers",5/9/2000,Rook,0,
44,Nick McCloud,26,CB,7,5,193,6-1,"North Carolina St. , Notre Dame",7/9/1998,3,2,
41,Micah McFadden,24,LB,14,14,232,6-2,Indiana,1/3/2000,2,7,New York Giants / 5th / 146th pick / 2022
77,Joshua Miles,28,T,1,0,325,6-5,Morgan St.,1/4/1996,5,0,Arizona Cardinals / 7th / 248th pick / 2019
25,Dante Miller,25,RB,2,0,200,5-9,"Columbia , South Carolina",5/14/1999,1,0,
53,Darius Muasau,23,LB,15,7,234,6-0,"Hawaii , UCLA",2/10/2001,Rook,4,New York Giants / 6th / 183rd pick / 2024
1,Malik Nabers,21,WR,15,13,200,6-0,LSU,7/28/2003,Rook,9,New York Giants / 1st / 6th pick / 2024
73,Evan Neal,24,T,9,7,340,6-7,Alabama,9/19/2000,2,3,New York Giants / 1st / 7th pick / 2022
31,Tyler Nubin,23,S,13,13,210,6-2,Minnesota,6/14/2001,Rook,5,New York Giants / 2nd / 47th pick / 2024
93,Rakeem Nunez-Roches,31,DL,15,15,305,6-2,Southern Miss,7/3/1993,9,7,Kansas City Chiefs / 6th / 217th pick / 2015
51,Azeez Ojulari,24,OLB,11,5,240,6-3,Georgia,6/16/2000,3,3,New York Giants / 2nd / 50th pick / 2021
58,Bobby Okereke,28,LB,12,12,235,6-2,Stanford,7/29/1996,5,6,Indianapolis Colts / 3rd / 89th pick / 2019
22,Andru Phillips,23,CB,14,6,180,5-11,Kentucky,11/30/2001,Rook,3,New York Giants / 3rd / 70th pick / 2024
79,Tyre Phillips,27,T,3,1,330,6-5,"East Mississippi CC , Mississippi St.",1/29/1997,4,0,Baltimore Ravens / 3rd / 106th pick / 2020
27,Jason Pinnock,25,S,16,16,200,6-0,Pittsburgh,6/30/1999,3,6,New York Jets / 5th / 175th pick / 2021
95,Jordon Riley,26,DL,13,5,315,6-5,"North Carolina , Garden City (KS) , Nebraska , Oregon",5/19/1998,1,3,New York Giants / 7th / 243rd pick / 2023
17,Wan'Dale Robinson,23,WR,17,7,185,5-8,"Nebraska , Kentucky",1/5/2001,2,5,New York Giants / 2nd / 43rd pick / 2022
91,Casey Rogers,26,DL,2,0,305,6-5,"Nebraska , Oregon",12/18/1998,Rook,0,
76,Jon Runyan Jr.,27,G,13,13,307,6-4,Michigan,8/8/1997,4,4,Green Bay Packers / 6th / 192nd pick / 2020
65,Austin Schlottmann,29,OL,1,0,300,6-6,TCU,9/18/1995,5,0,
61,John Michael Schmitz,25,C,15,15,320,6-4,Minnesota,3/19/1999,1,5,New York Giants / 2nd / 57th pick / 2023
33,Duke Shelley,28,CB,1,0,176,5-9,Kansas St.,10/8/1996,5,0,Chicago Bears / 6th / 205th pick / 2019
19,Isaiah Simmons,26,S,17,1,238,6-4,Clemson,7/26/1998,4,1,Arizona Cardinals / 1st / 8th pick / 2020
26,Devin Singletary,27,RB,15,5,203,5-7,Florida Atlantic,9/3/1997,5,3,Buffalo Bills / 3rd / 74th pick / 2019
86,Darius Slayton,27,WR,16,13,198,6-1,Auburn,1/12/1997,5,4,New York Giants / 5th / 171st pick / 2019
87,Ihmir Smith-Marsette,25,WR,15,0,185,6-1,Iowa,8/29/1999,3,1,Minnesota Vikings / 5th / 157th pick / 2021
64,Aaron Stinnie,30,G,16,3,312,6-3,James Madison,2/18/1994,6,2,
30,Greg Stroman,28,CB,4,1,180,5-11,Virginia Tech,3/8/1996,6,1,Washington Redskins / 7th / 241st pick / 2018
47,Ty Summers,29,LB,16,2,241,6-1,TCU,12/31/1995,5,2,Green Bay Packers / 7th / 226th pick / 2019
5,Kayvon Thibodeaux,24,OLB,12,12,258,6-5,Oregon,12/15/2000,2,6,New York Giants / 1st / 5th pick / 2022
78,Andrew Thomas,25,T,6,6,315,6-5,Georgia,1/22/1999,4,2,New York Giants / 1st / 4th pick / 2020
29,Tyrone Tracy Jr.,25,RB,17,12,210,5-11,"Iowa , Purdue",11/23/1999,Rook,6,New York Giants / 5th / 166th pick / 2024
74,Greg Van Roten,34,OG,17,17,295,6-4,Pennsylvania,2/26/1990,12,5,
96,Armon Watts,28,DT,5,0,307,6-5,Arkansas,7/22/1996,5,0,Minnesota Vikings / 6th / 190th pick / 2019
48,Benton Whitley,25,OLB,2,0,260,6-4,Holy Cross,2/12/1999,1,0,
33,Dee Williams,25,DB,1,0,190,5-10,"East Central CC (MS) , Tennessee",12/6/1999,Rook,0,
39,Divaad Wilson,24,CB,3,0,195,6-0,"Georgia , Central Florida",1/26/2000,1,0,
