Week,Day,Date,Time,,Win/Loss,OT,Rec,Location,Opp,ScoreTm,ScoreOpp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 8,4:05PM ET,boxscore,W,,1-0,,Denver Broncos,26,20,19,304,158,146,2,13,231,132,99,3,-3.15,19.83,-11.19
2,Sun,September 15,1:00PM ET,boxscore,W,OT,2-0,@,New England Patriots,23,20,18,358,312,46,,19,310,125,185,,7.65,-3.42,-1.23
3,Sun,September 22,4:05PM ET,boxscore,W,,3-0,,Miami Dolphins,24,3,21,370,270,100,2,13,205,140,65,,0.77,20.39,-1.24
4,Mon,September 30,8:15PM ET,boxscore,L,,3-1,@,Detroit Lions,29,42,38,516,383,133,2,21,389,273,116,,15.58,-24.24,-1.69
5,Sun,October 6,4:25PM ET,boxscore,L,,3-2,,New York Giants,20,29,17,333,231,102,1,24,420,245,175,1,-5.39,1.17,-7.07
6,Thu,October 10,8:15PM ET,boxscore,L,,3-3,,San Francisco 49ers,24,36,22,358,306,52,3,21,483,255,228,,0.59,-19.50,7.06
7,Sun,October 20,1:00PM ET,boxscore,W,,4-3,@,Atlanta Falcons,34,14,20,339,236,103,,22,369,214,155,3,13.35,0.56,3.91
8,Sun,October 27,4:05PM ET,boxscore,L,,4-4,,Buffalo Bills,10,31,17,233,201,32,2,29,445,281,164,1,-8.68,-16.41,2.10
9,Sun,November 3,4:25PM ET,boxscore,L,OT,4-5,,Los Angeles Rams,20,26,20,424,317,107,3,22,366,298,68,1,-12.59,-0.01,5.33
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 17,4:05PM ET,boxscore,W,,5-5,@,San Francisco 49ers,20,17,19,289,195,94,1,21,277,146,131,1,3.33,-4.48,1.86
12,Sun,November 24,4:25PM ET,boxscore,W,,6-5,,Arizona Cardinals,16,6,17,285,220,65,1,15,298,249,49,1,0.58,11.53,-1.29
13,Sun,December 1,1:00PM ET,boxscore,W,,7-5,@,New York Jets,26,21,16,259,175,84,2,17,258,169,89,2,6.51,14.98,-14.94
14,Sun,December 8,4:05PM ET,boxscore,W,,8-5,@,Arizona Cardinals,30,18,18,409,233,176,,21,356,235,121,2,10.26,-0.39,2.05
15,Sun,December 15,8:20PM ET,boxscore,L,,8-6,,Green Bay Packers,13,30,14,208,128,80,2,21,369,229,140,1,-13.45,-11.94,9.51
16,Sun,December 22,4:05PM ET,boxscore,L,,8-7,,Minnesota Vikings,24,27,23,361,302,59,2,19,298,217,81,,4.40,-3.78,-4.44
17,Thu,December 26,8:15PM ET,boxscore,W,,9-7,@,Chicago Bears,6,3,12,265,143,122,1,11,179,76,103,1,-6.51,12.22,-2.22
18,Sun,January 5,4:25PM ET,boxscore,W,,10-7,@,Los Angeles Rams,30,25,18,336,210,126,,20,403,319,84,1,13.35,-7.91,-1.29
